"","X","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","Gb","QC","Sf","Wb","IE_20170918_02701","IE_20170918_02801","IE_20170918_02901","IE_20170918_03901","IE_20170918_04201","IE_20170918_04501","IE_20170918_05001","IE_20170918_05201","IE_20170918_05401","IE_20170918_05501","IE_20170918_05601","IE_20170918_06101","IE_20170918_06401","IE_20170918_06501","IE_20170918_06601","IE_20170918_07201","IE_20170918_07401","IE_20170918_02001","IE_20170918_02601","IE_20170918_03201","IE_20170918_03801","IE_20170918_04401","IE_20170918_05101","IE_20170918_05701","IE_20170918_06301","IE_20170918_07001","IE_20170918_07601","IE_20170918_02101","IE_20170918_02201","IE_20170918_02501","IE_20170918_03501","IE_20170918_03701","IE_20170918_04001","IE_20170918_04801","IE_20170918_05901","IE_20170918_06201","IE_20170918_06701","IE_20170918_06901","IE_20170918_07301","IE_20170918_07501","IE_20170918_02301","IE_20170918_03001","IE_20170918_03101","IE_20170918_03301","IE_20170918_03401","IE_20170918_03601","IE_20170918_04101","IE_20170918_04301","IE_20170918_04601","IE_20170918_04701","IE_20170918_04901","IE_20170918_05301","IE_20170918_05801","IE_20170918_06001","IE_20170918_06801","IE_20170918_07101","isotopes","adduct","pcgroup","SD","MEAN","CV","fss","[M+H]+"
"123",123,110.035296784829,110.024021114454,110.097205860717,138.320001831055,61.9560018348694,203.470993232727,141,17,10,11,16,19394.1872931451,26992.4063326424,124053.361143318,21255.421713411,36413.8814881339,45861.5337973855,44899.656819622,113956.212873229,16472.8972784593,60308.5553971492,63257.5534785249,41440.4788305519,55705.2007879391,42360.0349690077,14081.34965894,39495.3175471164,24530.3373218288,52447.9610633198,51048.4512198251,44473.0120097869,49298.4180753092,48558.736017599,47486.578211881,49555.1043441516,48905.2637831746,43803.348876314,43576.1408470149,43337.072193034,62345.5220087053,1175698.15743217,12799.2492683166,74925.4107646264,16634.1771817429,33418.693004048,204125.731111459,9276.84565466916,1341.68248077839,63366.2365996928,32956.7161594433,45337.9315797252,141424.547601635,148279.181745621,139489.696947102,148164.457747261,120647.166078601,57951.6759846624,80507.1562066209,143982.375258607,141244.96886021,129152.82898677,122140.486450275,133750.9882842,88482.9167495489,92444.8296164315,147778.970129077,117508.784647886,"","[M+H]+ 109.028",48,3057.36375470006,47915.3014448376,0.0638076702537256,4998145.8579117,TRUE
"3630",3630,918.828881986909,918.825615311391,918.924685830232,569.446976013184,520.602972564697,570.519992370605,31,0,10,1,16,669.494609126006,427.951484617175,557.414482281543,443.280460191174,443.57052314179,518.666856607422,319.189531257749,438.072645571083,542.407867392259,350.896554974257,494.497583130957,363.293231492222,779.490181354185,11501.852417097,215.28147403216,373.297708385131,513.82906086155,90184.1957040131,89697.6522944302,87629.4406119827,80406.5127514955,79261.5868425437,79391.5862576167,80243.1464029322,70170.0578162726,73716.2141726799,70355.0658762534,571.47821334357,480.428784234848,462.038869688279,14689.3581593143,198.103514198835,199.93655520957,260.336673920974,147.475219046431,308.510430179536,159.723125751202,350.720832995339,81.1283413882234,144.639587402344,80525.3706716336,383220.372731499,327827.65553413,131828.773187413,216908.777501886,252684.897748302,266902.946312036,281943.280016052,282380.145871008,168631.519133792,113486.092393358,287589.525695117,125194.349655524,268875.945531756,385815.399339946,309932.338158078,"","[M+H]+ 917.823",50,7349.50900003103,80105.545873022,0.0917478174567462,4721809.21318994,TRUE
"3232",3232,736.499236049017,736.413386582029,736.502389231442,344.611011123657,328.191990280151,406.443996429443,15,10,1,1,0,756.042729585618,324969.913609464,115427.658382951,471.554652872411,53933.4503430786,647.209392188117,47524.1571627092,1034.9852872226,1380.32812612919,109840.174344884,259661.692362312,319955.113545712,430.576881628018,53196.160145998,229018.487162907,63785.6498272286,630.338691036589,10282.8097199599,8946.39688273892,9392.48206296811,9263.18985402419,8099.25737908545,7344.55729201436,8338.19117269665,8386.36397010396,7379.00676550344,6652.11439333856,454.635299260262,803.612652694434,625.670197855798,596.387088898983,315.44633563194,635.586474349443,360.630539307992,489.258200526745,8825.5254480592,489.891174904257,401.352563284182,424.999424268305,541.70044858125,6068.33884709494,759.060735239601,1966.62284189463,1032.78048933595,581.260513432324,736.171749615421,645.821762419422,728.444799309493,1062.22618516286,593.023167053858,1905.09013168402,792.953716902412,520.687859253027,808.535623094843,787.880104831536,888.410964128561,"","[M+H]+ 735.492",55,1099.43776179268,8408.43694924335,0.130754118563214,1701589.86747842,TRUE
"902",902,245.115916885178,245.058646254153,245.175634421284,265.710997505188,219.30900478363,273.967005844116,84,17,10,9,1,832023.404316336,1053538.84120772,888145.346964202,777473.923994041,903753.096213338,617374.49400984,571676.192553981,52118.9204127768,1022783.24319445,894272.299073605,850976.47613883,933716.02809708,791718.749110745,549430.51426433,542548.668833252,956984.161868328,783841.849767464,849862.493274233,792175.162072413,768994.917748711,739738.867184746,746848.500387032,724960.522084275,706852.846255255,725421.964481367,714102.21504525,695167.275660429,10206.1558180003,285790.109937295,302279.891840398,328610.251602878,14538.9281981578,60069.2818736136,10008.2235250734,18251.2791220912,824418.393674393,60507.6690764353,13378.013615197,611055.051086875,161812.678927569,9422.02217678667,29030.1715636045,8304.35908233649,9048.44074387802,8782.39754127711,7500.9316383796,5096.87760814652,127553.215775474,9785.3979304765,11728.1972944736,10994.3840482208,7334.60839758022,8190.67164305402,9769.34616456181,6783.58987421475,7084.36810233091,"","[M+H]+ 244.112",56,46531.4697391689,746412.476419371,0.0623401553553685,23463835.8820968,TRUE
"1624",1624,359.169997738772,359.110517397253,359.230077315792,268.248007507324,265.9350050354,349.69499458313,57,17,10,3,2,591415.811707711,518042.42458035,736970.304147014,587002.56089055,467592.238877709,390015.450782529,569197.104050171,28659.8798172893,474682.178568591,445433.078344899,417959.178091291,547059.102404718,495996.134155354,475946.330574576,551902.511037748,430560.79410838,360243.160050165,662370.325432729,641208.179087962,604699.161837776,582946.586427847,594614.595709224,564174.022799205,543052.508144252,515476.713926214,508734.322294259,496447.320002269,14112.6424501743,67554.8804027023,11068.5650666963,16195.2855959244,19334.1659665695,10137.0908891345,20602.9281467263,15038.0604668625,13847.6815761209,17024.4254355666,8806.09418296987,8028.31676747184,9764.31693883426,8148.03571382255,167548.666057115,5492.90295987512,5409.70393075862,3383.70097070769,4153.59302081395,2679.91975502721,31854.0193295675,6097.38305745167,5609.54644369815,6039.15599005949,4814.24048553599,4676.14378719799,4953.46542300499,5823.56699232757,4117.49641064391,"[31][M]+","[M+H]+ 358.163",56,56231.6142825197,571372.373566174,0.0984150037418763,14304717.9720641,TRUE
"524",524,182.201913319759,182.201521471838,182.202478566429,266.991003646851,264.937009048462,269.773992538452,30,16,10,0,0,141907.627454932,221694.078180393,191699.874489907,132597.609986153,109090.949023291,64473.6898251995,198857.892071327,5699.62242216382,90172.0893748433,143108.267896652,93933.0563445819,167496.577573433,91836.7536255531,162441.310804661,179938.868147396,152920.8500474,118174.594759369,176444.622078164,72646.9747580416,121398.036818869,107886.269834148,120158.439150141,104308.695056722,92038.0261941813,96518.7153002484,81959.4320187159,74994.0338219809,1762.71500832883,9317.54609581899,1867.4623038742,2091.53013199568,2208.63715693177,2024.19180094202,1504.47463921789,2130.13244408385,1764.40462364629,2753.84724954228,1888.53466108967,2163.13010730712,2191.95564653067,2449.73852166068,1247.43747715549,2040.83136780392,2691.11931071668,2952.87042277944,1228.1157512279,1281.49461267213,3922.08512932497,4397.77610518548,3117.51590934768,2955.63225578517,1586.95319681343,5085.16441609907,2899.66701025398,1142.08813270664,1280.54412655258,"","[M+H]+ 181.197",56,30421.9112653746,104835.324503121,0.29018760050167,3388344.55267386,TRUE
"66",66,94.0653167730375,94.0529960542579,94.0658374818258,460.738001022339,388.800998306274,497.93701171875,43,5,10,13,11,1157.43795877407,42383.5648660269,4401.77054703422,16328.5592106304,6510.80122936964,683.854525116854,16416.261978916,1550.20739277882,17732.5724100173,4679.48716628775,9492.41200747807,8435.59774842621,12845.4540956145,15694.5662973461,22695.2333411202,14245.4844835534,1143.70031447131,46131.6819889115,42190.5940057413,40126.284220646,41417.0031328523,41575.9815134411,39915.8017731357,38742.0584196312,39632.5358860637,35758.860395927,35504.412833699,115255.531526304,170902.531495082,126079.327936588,106684.461692618,69711.3075085291,125149.519471661,109143.530423661,145128.076342724,117179.393279465,61767.2250350495,90875.7798120555,86622.9694641929,133310.003805898,48619.484426952,126776.436973866,37914.8579754513,58873.8589747343,5959.97404371947,4688.33369154235,70267.6488938881,13879.5264391042,70523.3382052797,9618.76949189691,14823.7601406667,47770.8959886292,12143.1762412243,50647.782264733,41492.8877325694,17094.7170666757,"","[M+H]+ 93.0584",59,3104.24171537763,40099.5214170049,0.0774134355145003,2686297.28608777,TRUE
"2515",2515,538.14958292551,538.144952793452,538.233890515281,537.891497802734,493.044990234375,567.280008850098,56,16,10,0,5,44351.7965472043,35501.4513562677,36585.3466109186,467415.641742633,148172.515700186,56302.4997627976,68565.186785236,1877.59523298265,448851.227925651,12443.8570045377,28298.3434874049,47448.9470869011,51195.6146703331,80476.6611876912,143130.964592041,27585.0862240667,251023.247259367,51887.7091500862,47491.4437816938,48598.4135837333,44901.4871488219,43034.1343304171,41157.553153981,35864.5252896925,39663.8294357284,35434.2681530712,32643.1102339686,2570.51030199561,1960.93173212041,1762.27494448947,1208.5809006899,1511.44933865033,2849.68589881008,2052.66110730171,1746.81056390221,2021.07918744162,1714.74408750857,1124.47127787386,1470.64255025895,1817.16161749046,4413.20157806296,5902.46405993029,2391.42091598958,13838.9094793302,22182.3738110278,8082.16909749744,9782.13709004596,12157.2652138288,12605.2582381968,2057.15140708373,2044.40640106215,3031.74999793433,1627.7510013243,3455.38681486621,4084.42462739671,32764.9625202554,"","[M+H]+ 537.142",60,6283.80448194418,42067.6474261194,0.149373803062793,2534134.49319978,TRUE
"141",141,115.050807548963,115.050406471177,115.051075603805,161.622005081177,160.296999740601,162.625007133484,13,0,0,13,0,1458.33762794496,4568.63872368992,1677.57489244298,922.587212956394,1798.12085050254,2103.91582372456,1215.69027908366,1846.59871781588,1177.76365353211,1330.76689930283,1501.91657956166,1720.84360038241,1436.96660153428,1593.48479758644,1359.65594230828,1445.88911718782,694.204284246442,8608.46963895687,8201.56258061756,9439.88067903246,7858.05249651441,8361.21557370716,7613.49983890832,8185.85918426514,8255.76441589394,5749.89958604926,7030.28432309604,85119.7051504843,28806.1951747822,50459.1768174878,90525.5257685203,64875.9423966147,62228.8336234732,39863.963418238,36560.4043795969,25518.6156156645,76825.4688884318,86231.3050989089,98218.7840581131,52187.5047502902,6595.98386556283,2261.49595864385,4882.981823624,3374.06886308255,1831.19231379416,2109.76173860254,2349.12899807578,3281.04714637239,3455.73628753101,6320.95660814596,3681.68330295983,1979.56401342483,4124.18739873916,2152.52522708382,2045.62617134087,2442.32013031386,"","[M+H]+ 114.043",66,991.015926200169,7930.44883170412,0.124963409667094,957467.128908748,TRUE
"3635",3635,920.388529953237,920.299188216002,920.392675296039,585.045006790161,525.655996856689,606.504010009766,42,1,10,0,13,2643.2647932414,1816.67304430834,1149.49804484332,1928.484794911,3017.18286744718,1953.10486133053,2268.67046241835,2069.25066234867,5495.92234903201,2258.7247001103,1561.86283217944,1713.42562513053,1350.35768142343,11480.7087887102,825.322194085671,912.485687454159,1118.9939936238,532038.71465034,505277.790188797,491059.286366932,494724.659382999,466311.449222803,465172.899442732,458681.58380875,450888.480501518,441654.04682529,428356.987786294,1091.62164446723,1520.40929636235,802.534880381572,1803.23371728882,1428.00037749368,722.277966090094,2479.22699229675,730.62852770905,891.150402643136,782.751901338084,1472.03710191301,454.600972782355,529.591930894867,3405.30202077003,5198718.30930948,6899.75697191013,1008674.5129178,1776038.36623232,1536168.69662678,3600480.66244975,2686957.86169755,2618342.37742847,7398.65126587451,2098710.14461264,6065615.55676555,1729209.47237787,1701787.7312327,5519642.4189217,4472.25152091775,"","[M+H]+ 919.382",73,31796.7374584237,473416.589817645,0.0671643920857768,40354959.9696228,TRUE
"3782",3782,961.700978575049,961.555316567723,961.794665369685,358.461999092102,321.186997070312,442.064004440308,54,0,10,5,16,831.667389640701,626.528866474775,627.814720151617,742.741111270399,943.015774110199,689.76222294884,484.881330811419,8313.30684963847,1147.26020081176,4110.18411915217,2162.46846491234,602.641300387078,863.948898563685,706.847957117593,842.359388031624,862.010872062761,1770.42346067507,210088.297721706,206048.655529574,197811.534314483,178582.078957334,226038.165143091,214294.00033187,195732.715151875,164980.605626457,155266.851826041,170466.401824728,1919.80038363848,2282.16280305276,73473.786557233,46052.5615285034,4969.94055893163,5033.35954937405,2869.40718203367,32431.609377265,2168.97230776213,47634.5452171816,2260.82910174805,1377.31221127353,25921.0377138946,407656.720968517,1901255.32675644,65763.0444262709,247491.701648086,1315701.76445693,75712.3892694867,2497347.92989971,2371476.64745503,89733.8447992233,106065.863393158,1593036.44018478,1630959.07202342,2970695.49016722,232734.914283231,115040.033257827,3047749.64305968,"[143][M]+","[M+H]+ 960.693",76,23454.3008708427,191930.930642716,0.122201777443071,20862453.3198948,TRUE
"2094",2094,454.25684936989,454.06961693928,454.302111133355,401.35550743103,267.47098991394,614.699993133545,194,17,10,13,16,266874.118572325,243464.589943426,185563.581996821,122796.47066665,510628.102325354,271552.592404252,232772.45527232,135402.925918656,598146.282628408,820406.570088565,435616.55103296,226350.598323513,376398.603214398,255661.872127801,108431.211389769,15534.4743035675,423069.744839575,500894.912810504,436217.212445666,428764.878755111,410988.555632296,393740.310068797,384203.057523427,441877.095751443,433896.586336009,355200.319387461,334137.676634143,870281.090918365,1392360.2869891,1947015.5778671,1233882.68921038,1198637.92947686,37383.8205848793,788083.693552818,1534613.0042709,128392.11515855,1943381.6332861,972999.86156108,413628.046063213,1028994.76217479,73603.4037556127,155593.266409682,110066.622082932,144801.105778098,185211.31210427,65731.806750996,85857.6709051745,16564.2116183601,306608.638373204,36400.5476721749,171837.78388056,192841.388048304,44242.8055375032,144652.182420013,229270.548387835,24769.6250874996,"","[M+H]+ 453.25",83,47770.0454725129,411992.060534486,0.115948946711594,24826298.7803196,TRUE
"3493",3493,880.621565984851,880.616251875611,880.624360320047,671.493999023437,670.862990875244,673.476007385254,32,2,10,13,7,21163.8729366381,5090.35039707944,5198.56581110656,9055.95952757845,4938.99964698156,12550.3016208565,3542.09208924298,12216.7039196898,2794.56604815821,6658.97485793978,2198.17135714305,7308.04252636805,12088.253514491,4779.28468912244,2471.83585817864,2848.43640645842,11053.185804685,790602.734830422,754449.392115737,745796.270525972,727447.400536228,706114.480036565,691785.989585072,686036.101174561,673655.286810592,662193.761038916,646635.447527602,1148190.968365,911066.024482276,1112035.23561966,1125186.51048509,504312.894181704,787804.589654516,625886.116975983,1096168.29643438,826096.131986543,806912.512331797,530861.778275386,808121.395510936,820474.215796601,21423.7986550375,4691.31701842237,26139.9825519674,5896.03773582727,5364.66772129902,54076.0928951204,8923.2410759367,6411.34623484562,822.059234679909,2999.93155896757,12329.380845019,1204.70045503436,10068.0701958308,26640.7272564992,12156.2539447282,11565.7115371395,"","[M+H]+ 879.615",89,45433.142240668,708471.686418167,0.0641283810089365,18524504.4502096,TRUE
