"","node1_mic","node2_mic","MIC","pMIC","regression","p_regression"
"23780","OTU196900517","OTU196900256",0.174454647914913,0.329,-0.144230769230769,0.622766654621031
"23781","OTU196900518","OTU196900256",0.05421400772308,0.947,-0.979166666666667,5.49170062287087e-07
"23782","OTU196900520","OTU196900256",0.0853909499132791,0.802,-0.772925764192139,0.00118917586157172
"23783","OTU196900521","OTU196900256",0.321023828688051,0.146,-1.47507331378299,0.0136107927661316
"23784","OTU196900522","OTU196900256",0.0495760387037475,1,-0.346153846153846,0.225373824397396
"23785","OTU196900524","OTU196900256",0.160112494299011,0.646,0.162264150943396,0.79922670566758
"23786","OTU196900527","OTU196900256",0.0853909499132791,0.812,-0.681159420289855,0.00210345755686159
"23787","OTU196900528","OTU196900256",0.05421400772308,0.951,-0.36231884057971,0.285397499997667
"23788","OTU196900529","OTU196900256",0.160112494299011,0.651,0.211111111111111,0.758686283604689
"23789","OTU196900531","OTU196900256",0.0853909499132791,0.786,-0.77292576419214,0.00118917586157171
"23790","OTU196900532","OTU196900256",0.0853909499132791,0.815,-0.22707423580786,0.548756078981268
"23791","OTU196900533","OTU196900256",0.394895099856365,0.056,0.621621621621621,0.0176340733174246
"23792","OTU196900534","OTU196900256",0.100398452969642,0.867,-0.895161290322581,0.0364328645274359
"23793","OTU196900537","OTU196900256",0.174454647914913,0.26,-0.22707423580786,0.548756078981268
"23794","OTU196900538","OTU196900256",0.05421400772308,0.948,-0.36231884057971,0.285397499997668
"23795","OTU196900539","OTU196900256",0.160112494299011,0.635,0.277936962750716,0.615656471960399
"23796","OTU196900543","OTU196900256",0.321023828688051,0.141,0.286792452830189,0.687348415885792
"23797","OTU196900546","OTU196900256",0.0606240733839632,1,-0.5,0.321462756877855
"23798","OTU196900547","OTU196900256",0.0853909499132791,0.782,-0.77292576419214,0.00118917586157171
"23799","OTU196900551","OTU196900256",0.100398452969642,0.867,-0.895161290322581,0.0364328645274361
"23800","OTU196900558","OTU196900256",0.0853909499132791,0.787,-0.77292576419214,0.00118917586157171
"23801","OTU196900559","OTU196900256",0.0753959373497118,1,-0.3,0.67334819521842
"23802","OTU196900561","OTU196900256",0.120101757808984,0.751,-0.959677419354839,0.00229648801947783
"23803","OTU196900563","OTU196900256",0.0853909499132791,0.795,-0.681159420289855,0.00210345755686159
"23804","OTU196900565","OTU196900256",0.0853909499132791,0.817,-0.681159420289855,0.00210345755686159
"23805","OTU196900569","OTU196900256",0.0853909499132791,0.938,0.454022988505747,0.598596531474759
"23806","OTU196900571","OTU196900256",0.120101757808984,0.769,-0.959677419354839,0.00229648801947783
