"","X","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","Gb","QC","Sf","Wb","IE_20171002_01501","IE_20171002_01801","IE_20171002_02301","IE_20171002_02501","IE_20171002_02701","IE_20171002_02901","IE_20171002_03301","IE_20171002_03701","IE_20171002_04001","IE_20171002_04201","IE_20171002_04301","IE_20171002_05101","IE_20171002_05701","IE_20171002_06101","IE_20171002_06301","IE_20171002_06701","IE_20171002_06901","IE_20171002_07001","IE_20171002_01401","IE_20171002_02001","IE_20171002_02601","IE_20171002_03201","IE_20171002_03801","IE_20171002_04401","IE_20171002_05001","IE_20171002_05601","IE_20171002_06201","IE_20171002_06801","IE_20171002_07201","IE_20171002_01701","IE_20171002_02101","IE_20171002_02201","IE_20171002_03501","IE_20171002_03601","IE_20171002_04101","IE_20171002_04701","IE_20171002_05401","IE_20171002_05801","IE_20171002_06401","IE_20171002_06501","IE_20171002_06601","IE_20171002_07101","IE_20171002_01601","IE_20171002_01901","IE_20171002_02401","IE_20171002_02801","IE_20171002_03001","IE_20171002_03101","IE_20171002_03401","IE_20171002_04501","IE_20171002_04601","IE_20171002_04801","IE_20171002_04901","IE_20171002_05201","IE_20171002_05301","IE_20171002_05501","IE_20171002_05901","IE_20171002_06001","isotopes","adduct","pcgroup","SD","MEAN","CV","fss","[M+H]+"
"1283",1283,363.036602865655,362.992459871586,363.183544639752,192.524000511169,29.1020008277893,275.864009857178,63,16,11,6,6,653669.603633314,884850.530135881,38278.654420125,862646.57048576,601.970291370177,634904.920866551,324007.197017558,9623.13147103786,362028.04548468,474371.128766171,400145.634218968,15386.7706378698,324359.273278027,42714.9616626759,219917.936190106,437.797025431879,29522.0678250495,564584.695088876,104958.663291265,155360.471652161,143742.197098345,123436.817399772,139678.029806998,144729.100577859,147522.384188129,149523.185362705,152051.934589272,145924.80668386,135199.682727587,10299.1869759858,422.841104571851,10171.7402499791,373.193362992218,240.906867028151,16123.876181785,231.540305666257,12075.5587764783,31565.489105312,351.305737326768,350.047062951648,8301.47392003797,1686.82763975114,629.547155236127,676.215901113523,769.191713199019,423.461547452025,811.056529111695,15471.1763953418,700.244185024756,15411.9220574666,28820.4504951183,698.513702256224,14223.7660852005,485.219329932045,541.924536157108,58012.623310307,591.357369300677,20607.7819503855,"","[M+H]+ 362.027",232,14577.0776303313,140193.388488905,0.103978352955532,7635246.60142987,TRUE
"1601",1601,419.315863903231,419.310803110338,419.400884288511,642.57301940918,603.265972137451,688.458009338379,45,0,11,0,16,1497.15909436598,2500.03217389303,1926.03501371567,1423.93008382831,1344.24712084864,1764.7879061816,1844.01451668392,1857.96664251387,1904.89067215919,2415.63357303082,2447.01947151519,1085.66199867179,1588.1227256983,1574.76724204235,2637.16309037117,1107.53927019909,1855.47413724317,2255.73668472003,57771.7782740696,52446.3795960918,54733.0766134424,43003.5474827886,51158.4801202088,44624.199937582,40961.7279898361,42375.5123227262,42666.7143475525,39667.1697225794,38605.7626980703,1658.07982978523,1349.8484609127,1480.141692266,2339.68997587077,1656.23823497098,1346.55582517729,1206.56290421119,1158.77802164232,1078.81884719556,1004.10155796446,854.203269374867,1063.59746294615,1478.21970290289,161197.959646024,80584.1591314599,162984.918380946,826366.687301568,151615.892988554,114769.941351237,723755.681893587,143490.822963305,144369.308901228,36731.772811166,164882.211828027,213231.279776982,39362.1295352072,203204.172547253,40462.9044269677,185009.786389046,"","[M+H]+ 418.312",235,6617.56127354462,46183.1226459043,0.143289602227265,3950738.99618041,TRUE
"4529",4529,1034.88717650817,1034.88240404277,1034.88890464566,362.2250025177,361.535988845825,362.298005142212,25,0,11,0,14,2224.5491283776,1191.35923924136,1232.38238351122,1343.24664147031,477.465404494285,685.985051315278,1675.69319784099,760.61369531263,668.098581151275,1140.28068409301,601.996182772703,1246.49129070308,1060.62050377535,1911.32088992677,1219.97387044877,1269.16217426583,1180.96057035368,478.514289243443,90961.9985948863,95177.0725800376,80479.4247338495,87790.6159211509,99049.0775410911,94738.7789125205,80065.8625607193,98906.5579248173,100702.326770709,99328.3456005156,85584.5893034572,2190.37985946871,1721.42203635113,1404.52575687573,1074.87587085502,617.266443544719,1198.31103034825,945.180140301839,745.556617491963,643.05730259283,964.41207503755,621.891738476909,815.462452568114,671.061105178161,101961.019398335,76219.2003673897,9810.61467437943,43967.9479604959,80637.1373715912,20632.1672123324,8570.95567078888,1278971.432512,866872.786548799,130479.721744868,45197.0135617778,50784.2313182051,13607.192475545,968323.481462169,151558.61497095,172368.910297793,"","[M+H]+ 1033.88",236,7612.26019706564,92071.3318585231,0.0826778546959943,5066729.19419856,TRUE
"924",924,305.248505282049,305.210317624774,305.289286026703,694.541025543213,620.117996063232,778.680994720459,83,18,11,3,16,30297.244949724,193832.707187127,74147.7711839726,48686.8788376451,26485.8184839067,13822.0464079175,33069.1993885487,19902.8067618096,27784.2942759935,108284.592500646,100068.72375492,11331.3587092606,40591.9832705869,18529.9388062209,107292.549960259,15136.671467945,34743.1486487947,144955.086722145,445862.240533605,408331.409152222,426309.788976813,412745.256370652,426595.649926875,403141.142099362,383248.156686611,386471.623803957,357502.7949785,371964.60290142,359295.325505598,7337.75719679582,3383.37381110693,2174.88779681269,9604.43419317195,1552.91700137009,1677.33826511433,1473.18483339766,1206.53350243097,1328.44380443916,1399.55027002921,1263.63275841288,2325.62771653436,27233.4257057402,410115.38920477,1251127.88510648,901989.961350408,46138.2975035929,1590168.45338444,1422740.96828477,72393.8000904689,657431.401535153,1888092.45286457,653687.193557248,1058008.25462202,1246691.4652179,955759.170762785,1197755.98919957,533714.656497741,1438112.66198341,"","[M+H]+ 304.241",237,29027.3761839591,398315.271903238,0.072875378454007,20816319.9202737,TRUE
"4132",4132,950.354427066172,950.344961122664,950.462021771187,342.055998420715,131.332998275757,372.268001937866,82,9,11,4,15,9413.61406620282,16621.8654717878,2201.50207676151,34486.9430213934,774.426703517271,8707.24234980997,17988.6491394415,12867.5322391349,14782.7443696186,1275.89070009247,10954.9885146953,949.445418999674,8677.67255685081,1782.71459231239,1244.41097383602,1215.29416269933,1335.45419229008,716.719161863636,146940.955834387,159867.110639438,157159.224363126,154692.792413794,174534.036716439,165952.871364865,154692.612861544,165050.233023443,171996.918583475,165747.453311001,164901.360154035,166274.59246607,17936.1956490747,984.585797354579,1603.18019840437,943.091869572392,548.386137970795,1127.39615013393,934.463155967398,51278.1151858857,591.352282910823,58080.2535189306,733.644883473762,654.792792331571,832155.244333344,925451.073547751,114454.324017968,248658.872975663,891725.297820561,357021.198503701,361397.558301374,44500.6414876964,18297.806236269,1763.57056877146,855857.086824635,1444280.33123586,2020508.35140956,209722.886113025,445472.429839724,721392.856780112,"[261][M]+","[M+H]+ 949.347",241,8160.64694685955,161957.779024141,0.050387496025388,11721882.259061,TRUE
"3464",3464,820.846784215096,820.814250100408,820.986372414573,155.957997207642,70.5310031318665,187.408000030518,47,2,11,13,0,5994.3817104574,1745.57252908001,1690.46783135402,24262.3096735191,21640.7557548769,1225.68522708093,1596.64314742594,1033.89071202038,536.033704387955,1171.79994278931,499.424616277298,980.570957067423,1213.63573940378,568.715886453632,1714.52899179951,1205.30006322603,903.292850347828,460.611079143307,173372.550956812,189605.18142564,177432.789202864,184246.682030548,188566.668853776,188020.380660761,184953.804778622,180358.025701629,183460.646066704,173073.798235986,176227.12321146,818732.598370947,687246.970505031,374156.938102091,62233.367252237,631208.127446642,607939.200463332,386520.33849936,18660.9042807668,281911.938995426,349214.268941416,983959.637890127,334873.298393951,183922.586017579,2012.35569299872,1976.60508041915,2175.27344693616,1129.58008036913,1680.55051556545,1440.53622432354,1197.3478211062,2438.26914232654,2376.87608236103,1039.66202132175,1874.04947252887,1823.30038861744,3473.05563220539,9778.00987567121,1605.71975044099,1512.49050140435,"","[M+H]+ 819.839",242,6028.66819707886,181756.150102255,0.0331689914959531,7825875.12842901,TRUE
"3467",3467,821.346212974878,821.336423208995,821.354052597357,155.334996452332,65.2829984855652,172.466996536255,39,1,11,13,0,7055.07493113992,1957.55479343235,2981.5162419671,16590.9510184771,991.412992113485,1288.49895262901,2232.57093193332,1360.29519238051,914.097840476981,1360.85222137469,1067.65483086857,1447.42843557398,1719.72968135706,1189.58018275599,2688.98437513589,1760.46307143576,16920.1495575365,527.670689790151,91393.044990922,100946.161535871,98964.0013365808,96179.8691381584,102220.306899831,101759.100746591,97046.6041350286,97247.2219804644,101794.590445978,94892.0805378292,94363.4399282519,427997.285315534,356407.234368971,201663.33379067,26820.8440363407,338038.862287077,325313.997232319,200212.129893197,939603.717458565,153890.994765073,179651.757848374,524284.386973036,174826.244282037,98172.0800322678,3480.89213547111,2310.21269510034,2500.42434489268,2828.16852577829,3004.38114913926,1510.27128135556,1839.32124893833,3100.66380148324,2362.40450045892,1804.21359572187,1701.80213726684,2573.06280137756,2423.91041824666,8019.283179542,1999.96154086682,2425.85767354683,"","[M+H]+ 820.339",242,3565.73276952879,97891.4928795915,0.0364253589830805,5131628.60692853,TRUE
"1729",1729,444.354424815014,444.314696447615,444.440103889005,687.204026031494,636.100987091064,875.605012664795,41,0,11,0,14,483.844895258546,764.519005728265,534.347062843541,581.155456139573,597.147876605392,752.667996822856,670.486108106794,667.261463673253,586.289179324638,281.464923413936,571.358563648537,517.420870183036,699.931670896709,604.560727566215,714.914233513709,686.43341781199,406.213170513511,757.341494449547,41072.3949069418,37829.4985999486,36337.5280481692,32459.6664434904,32659.3320762593,31572.6905323951,23747.7040147688,27455.3032851993,19322.2894258099,26548.1708348561,23536.22755335,824.356850142458,472.240767477878,461.65462901094,775.260504318135,543.947236584965,523.833791527431,255.730476600251,558.158275330206,374.334057087544,547.69914388497,279.804530171012,349.810553479008,461.216350415256,71361.6133688251,17494.0785733238,92840.6748775686,949637.939288557,42280.1268426735,16154.4256560737,101964.143890701,93959.2419312401,44068.313227091,13329.1213776525,67186.6709341897,48216.3167300102,3784.22724199668,94965.1065944984,1351.89657483157,35477.1943691885,"","[M+H]+ 443.342",244,6725.67757049916,30230.9823382899,0.222476315696185,2043917.30248214,TRUE
"1250",1250,357.241345779453,357.135342336978,357.30848411437,687.766009368896,586.363010864258,749.606993103027,93,0,11,0,16,840.055692682392,1877.32730813138,1265.91103513464,1110.86426852395,1309.93706319588,699.474856619723,848.95989157632,507.869382574489,541.650117273842,1280.33559169115,1504.231494162,763.640172600746,795.52304401109,811.19483397156,924.83139152133,1178.9272134304,747.066668637718,1406.43363082409,29333.9435754251,22481.8164451203,17950.064310043,16393.0779467337,17881.0810265166,17853.1751765524,14404.3894923641,13506.3217332959,14257.4067418588,18956.9420754351,15265.164652504,870.179496113211,1252.60161821265,694.054320464177,489.33990415505,650.573109508625,698.236423188022,442.38545284234,275.216654743999,687.63479901933,885.142005137035,808.420373598346,515.461158332725,609.99315045295,11723.6518139193,45791.6369674698,122712.962446633,30182.9459735833,40850.725828046,34554.2511143216,244527.593007386,55615.754919748,40863.9193380252,18839.5315667689,55610.4612173163,26806.8581542249,17306.3026649714,23092.8171186545,11988.0283495784,38626.6356159747,"","[M+H]+ 356.234",244,4546.22560457846,18025.7621068954,0.252207123206147,1044670.9313948,TRUE
"243",243,177.130981433625,177.063107315795,177.139855398594,55.5045006942749,24.0759998559952,186.24699924469,142,18,11,13,16,409757.246820782,26416.775390801,51918.4886759631,15546.4883029999,41085.7708622824,253274.195790002,232719.799422239,9969.28094795672,10807.3130301101,22521.1991610685,307740.609888871,42363.1768938409,293630.935757746,43187.2654088299,97284.3168667189,54071.0379789434,25091.8715968976,13498.9360360614,71039.2189370668,85351.2410704588,75908.0330557935,83747.8331887753,81177.31682766,80916.2831579459,76077.7599158778,74723.756608658,78331.4872119642,72006.0116096838,75484.6588611773,127990.548170252,290640.161658309,155062.726123162,214538.807563707,128337.07188382,144377.912861162,144277.623326526,200004.791815388,146803.922759073,135453.45355613,77849.1316538772,88190.0666026997,82254.5676178284,36674.0149119775,55589.7831568578,17806.584660654,21648.8016278408,40789.6432536236,88933.0234524111,32593.8456509001,66743.5281352637,27332.6062616565,123550.709283227,15539.5450579984,86462.153129831,29248.8376805186,336492.548247383,18342.7087341694,65175.4977809416,"","[M+H]+ 176.126",246,4629.77830897492,77705.7818586419,0.0595808728544442,5804352.92589436,TRUE
"2961",2961,703.981109541337,703.835348182181,704.025506821652,228.46549495697,165.851997566223,306.746006011963,32,0,7,0,15,1068.23466813192,1569.37968365382,1445.65682089768,1035.95872712968,579.445399417472,967.770761529605,650.269130039184,673.257865932925,607.402908508976,1115.77861277645,705.669593116424,1245.81238020482,894.67269694267,614.308945466247,1304.97040518622,1437.62550273258,657.681855699565,839.781167523211,16658.675776653,15598.1852489224,13831.5295978764,15269.0835655085,14743.1081762112,12866.4156441884,14222.2124593233,12870.3798507443,13049.6719541649,11712.9508561864,12761.1891913381,755.15540775636,668.089231446799,1069.64166357782,331.735691055604,417.715947900899,483.869149475048,469.837958444841,502.012439713193,426.446907637486,215.526932593202,454.055787317144,539.120708886948,327.614441466192,43128.6320241992,37317.0817351437,27419.3565291903,2588.11566957976,16750.7204402389,189309.700749461,15523.1214046842,66013.9953886801,20672.174470732,37501.8268697895,56329.8060978181,21018.6403265572,38531.5247867815,73068.4987806281,43748.6570986485,19735.3605402494,"","[M+H]+ 702.976",251,1485.83119694178,13962.1274837379,0.106418681441805,886315.114625659,TRUE
"3957",3957,915.352981794206,915.330456492631,915.397969196348,229.770000553131,161.616996269226,261.28498916626,44,5,10,2,12,2415.79767072863,1391.19795444111,1476.80822608154,972.829492668569,744.033027612139,568.153614455368,16732.5038112813,72735.7845380491,966.102647447752,17491.0474179243,971.655474884125,524.395303003583,890.797198284417,46395.5060365872,121260.629887541,777.328279525973,742.657123888532,444.877620173308,54177.75730447,16085.4175626626,67913.1866352819,63003.1348700573,73381.8148799138,75667.1870966326,90595.3019181639,70427.5185772078,76998.0050236153,70149.4238848519,81915.3822844662,1182.23791978508,1102.09645100869,1309.07730986766,30809.7834376409,889.174489188137,10420.932079357,1602.10595509451,889.159699434725,874.885509604743,978.399719591253,1452.42811805258,1191.06245026672,521.021860233508,327438.886703098,1140.18284481158,38457.7659274261,190657.079287954,1288.56605657666,121712.29028066,92520.7139939336,213212.74776046,293408.496219716,1820.99827306345,109902.135379175,230514.733159622,366920.868309115,173417.962276787,1589.30496074466,435227.818182115,"","[M+H]+ 914.342",260,19465.8583435784,67301.2845488476,0.289234573664786,3680269.14997628,TRUE
