"","X","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","Gb","QC","Sf","Wb","IE_20171003_01601","IE_20171003_01801","IE_20171003_02301","IE_20171003_02501","IE_20171003_02801","IE_20171003_03401","IE_20171003_03601","IE_20171003_04001","IE_20171003_04101","IE_20171003_04801","IE_20171003_04901","IE_20171003_05101","IE_20171003_05301","IE_20171003_05601","IE_20171003_06201","IE_20171003_06301","IE_20171003_06801","IE_20171003_06901","IE_20171003_01301","IE_20171003_02001","IE_20171003_02601","IE_20171003_03201","IE_20171003_03801","IE_20171003_04401","IE_20171003_05001","IE_20171003_05701","IE_20171003_06401","IE_20171003_07001","IE_20171003_01701","IE_20171003_02201","IE_20171003_02401","IE_20171003_03101","IE_20171003_03301","IE_20171003_04301","IE_20171003_04601","IE_20171003_04701","IE_20171003_05401","IE_20171003_05901","IE_20171003_06101","IE_20171003_06501","IE_20171003_06601","IE_20171003_01401","IE_20171003_01501","IE_20171003_01901","IE_20171003_02101","IE_20171003_02701","IE_20171003_02901","IE_20171003_03001","IE_20171003_03501","IE_20171003_03901","IE_20171003_04201","IE_20171003_04501","IE_20171003_05201","IE_20171003_05501","IE_20171003_05801","IE_20171003_06001","IE_20171003_06701","isotopes","adduct","pcgroup","SD","MEAN","CV","fss","[M-H]-"
"2172",2172,620.285441673538,620.283713379962,620.28661200505,843.546009063721,842.912014160156,844.201000823975,22,0,8,0,14,1062.20857682228,341.263728493147,580.83863359368,639.418581154197,363.714229336381,539.665553311225,404.105221607384,438.442408701312,404.848115038127,416.996304084124,445.839252628572,303.575639763661,273.528023841791,374.446255418989,486.734846583288,506.474252634728,458.61645752457,442.811259604991,15484.3758267071,12897.4128910387,15804.168691851,12501.0817518669,13428.982510046,13793.5444679623,12710.1248763289,9885.6615763437,356.324993514722,300.496173300159,1204.36218676483,663.751844149422,428.550673004938,566.860235066153,484.938731503156,417.559328872897,706.689987403573,474.546508556348,221.713920783065,406.719388529472,439.765833355486,214.139238510048,260.409627356753,20498.2817667493,30372.030236205,22281.3499766226,10005.861093591,28359.2345660556,3899.8705747677,14437.957581242,13289.1163144887,9878.21792112663,20602.4497526349,5076.57377169364,8505.41055368725,12477.891182771,13439.1965839267,12483.9382479899,25730.885564472,"","[M-H]- 621.293",131,1855.77092580734,13313.1690740181,0.139393627128874,373473.974290982,TRUE
"3828",3828,1476.52792638316,1476.52439414731,1476.53487851048,255.925995788574,255.268999862671,256.579987640381,17,0,5,0,12,252.577601064529,25.2606688902403,237.108723900614,234.224985231246,315.897851580621,104.188894692925,244.572711904001,220.545406783465,143.386426024139,109.144283572251,64.9891179618426,253.306390038026,130.106725018638,178.347586636831,88.4565509067117,115.438250912353,359.571575037137,349.233441493873,8922.77148172259,11376.0087744109,9936.96040371743,12161.427564007,11470.7655454904,9300.8491554152,10893.6722906894,8299.32008373365,8.1718989780971,15.1205412614093,62.8424508231027,205.188073917292,266.347579145272,300.405976618773,386.491156639531,170.301860264369,165.590321451426,248.227812977923,152.790479150368,352.847674893481,115.20508075592,293.710683818374,228.167185359036,790.368095698301,29503.2823177509,10927.089086473,15796.3853384613,7973.13686857452,10138.3600115145,41828.867233526,15690.6113700382,13697.1447431389,4910.54758338382,4469.20643799901,10430.0518662483,26047.2225207556,15166.278377194,24089.800397472,9356.31600797921,"","[M-H]- 1477.53",134,1382.29840930328,10295.2219123983,0.134266013988354,329574.209523098,TRUE
"3831",3831,1477.02598052354,1476.96793771994,1477.03169931873,255.907995758057,232.070000572205,255.991993103027,11,0,1,0,10,226.301060763498,84.1801208582474,241.561957845309,275.440871050271,147.988162601599,134.04555191996,376.829191570187,129.608676182727,121.978003531694,130.82250059396,96.7888997395833,135.145197474825,110.0997101299,139.37235763837,227.307738535261,207.693706067345,309.680858277716,430.570164476521,7054.26811337471,8133.07754081798,7000.40223584364,9244.35199477151,8672.17781708837,10089.1725643016,7565.74928820133,8847.04399424642,9.42836761474609,70.4097072056362,96.7275150601442,56.290562742545,45.0469637743663,199.15291618476,156.521667480469,148.298868648176,140.540113118943,135.786907415216,68.3543033429111,182.648138643553,102.647597579906,63.4789479573568,176.667729201327,7233.03877580166,20454.8937366344,8451.45330144962,12152.0656673449,5983.52560745978,8513.68578751137,27982.9149579769,12274.3217206227,8462.33240678161,4516.87689371562,3193.68677878082,8246.56916795298,16619.1489002295,8775.64065228682,19257.1865193095,8466.66894173082,"","[M-H]- 1478.03",134,1091.07974443366,8325.7804435807,0.131048344575901,252367.668399462,TRUE
"2232",2232,636.39054691236,636.262397173532,636.462740244688,993.84498840332,919.63399887085,994.850018615723,30,5,5,3,12,15039.4212796685,4588.86814184642,15368.0077696087,6790.96323240409,10239.9863160824,9343.22061386361,19073.8396355882,20201.477014369,10043.0875437506,13401.7116731079,13485.8283789754,9289.1970421141,7780.10448949939,9194.62952669461,6600.71793476958,4724.33294204297,7580.41001905703,4275.48057329267,12704.5969777554,23124.2864455562,12578.3863392303,12515.9416049042,20393.2054719974,21147.7601958811,20819.023832882,10949.1316876903,7311.98936981857,2834.62987125168,7332.08950427493,49189.1649592473,10773.6406370656,12388.6648400131,7334.32682981544,16711.9115582071,70183.4073322905,21661.8031797954,4106.36023266171,12385.268085164,10106.8018154303,8844.71120051822,7627.19027625676,12303.7025807798,20041.2165673776,14472.4604506104,138808.431004022,8938.20608841721,9514.55467241319,16106.9024283639,20944.9698060052,29459.6163855803,24169.7468558215,237039.6434343,14130.9219826027,25331.0064358205,40046.3481341163,27152.29032285,9208.87448846762,"","[M-H]- 637.396",136,5001.99882916978,16779.0415694871,0.298109925316949,1217714.46801199,TRUE
"2020",2020,582.376596301569,582.365671233223,582.580350389626,566.971991271973,536.581987304687,589.977975463867,62,4,8,1,16,10156.6374942809,4018.89482391626,9915.38556833379,4058.80372416203,8176.81248720301,11027.6878767908,5151.7326656892,11596.9540308313,1675.71531138134,7314.11374294332,12044.4859765743,8297.10623468893,1869.53606182982,6819.49498282783,22523.9732244416,20768.7461958686,3750.41906477511,17335.530808568,220873.825505313,233167.166064339,218849.190128809,202206.012537908,192863.335253578,183997.909907669,179262.443179467,137958.663941612,1800.56755105965,1707.72289152863,472.959008292109,1047.90021136886,1035.85802447051,550.94967454796,4111.8403528806,536.647315151989,597.647820637996,2246.00910034244,435.063594000148,988.008432682031,1119.76940922961,271.985059248439,66745.5454576761,551319.099073,1320558.98019104,446264.556041476,391873.145838687,418885.721622653,402473.635970437,678481.317887697,791241.25962317,1371475.11227236,921905.57042057,80542.4169440567,718204.950232237,228440.44935603,616128.344927682,1128383.80938441,275431.748068258,"","[M-H]- 583.384",162,30150.4873693803,196147.318314837,0.153713482439692,12160959.1685507,TRUE
"3072",3072,1093.78867920845,1093.75064582038,1093.79291253592,808.833975067139,774.751976165771,818.019989471436,31,0,8,0,15,320.926571518183,306.721925262362,528.180107203623,228.318677373947,199.778621467296,188.268068777242,198.794845244847,422.374020094362,329.120711190626,426.414634238929,332.065011207014,288.333931223913,328.600270699032,414.231786332451,279.394749127018,223.101060568277,231.230470115241,141.350268554687,45632.9070251761,47066.3778176461,46177.3451630599,39427.6596512681,40688.2634660176,36238.887682585,36812.1328633055,26113.6555702938,172.607761063613,206.590354563668,333.888330166228,454.307820312679,201.721973507199,457.610131170368,315.837010968063,285.65760593059,540.924356288957,516.185123850009,217.190313523014,238.969095646404,362.632464466903,189.075478570607,197.579492335292,14560.4861374944,245772.168627376,278171.618348897,28673.7156961905,9339.86575957388,1465603.5464219,715706.886087444,906024.619852308,552989.268427304,512599.468633836,2860.97604488514,110178.537081177,22780.1140333079,51930.9299892484,555777.525461816,117742.125795086,"[231][M]-","[M-H]- 1094.8",165,6941.99188386304,39769.653654919,0.174554999751787,5918947.06467976,TRUE
"2681",2681,859.263039226217,859.261444553327,859.263967218494,728.97102355957,728.325971679688,728.975995941162,11,0,0,0,11,260.189541479839,148.202913834846,198.750742145947,359.15263420503,221.430590115488,367.129722425714,250.268520414829,520.535317841684,138.640978498074,294.445450450161,290.270538050681,188.34573391479,166.712402641773,183.071245736709,395.102151663176,254.182467677497,195.577999533553,223.785210828696,6341.99459713485,6279.5762370101,6162.84447687864,4799.71321457757,5507.54605317754,3359.5016104728,4025.45444079302,3339.41265151543,159.729561331549,47.0277149851123,160.732237000284,236.8611613069,275.989200001583,135.786216006304,218.48420166783,185.627425304614,164.355238860473,306.923833549289,156.89872873814,131.980395606586,111.521433334532,82.5567452566964,150.525995937642,51695.9872601235,25527.6468230411,26738.4473074988,666.2181463199,4970.21330737988,337343.950800598,61493.1229983053,46124.8743579856,66950.5133336107,27598.8394599388,259.604162084205,21815.3191744802,2986.10162706088,33219.6503691562,50981.7141700163,5681.85755579493,"","[M-H]- 860.27",167,1280.76340296683,4977.00541019499,0.257336148428387,811050.8983853,TRUE
"1678",1678,514.105488830766,514.103891619169,514.106279598871,728.973026275635,728.325971679688,729.600018005371,11,0,0,0,11,240.572816574946,258.02076325193,362.412826762651,1143.39102374436,282.389031691684,1035.60505464673,112.559465855981,2309.66759617937,243.89552367432,486.404711653013,1026.8947294465,881.730759405427,233.837939453125,456.060731971843,1497.19050677121,719.080140932153,427.550292328621,686.171566727571,8005.81789625762,7949.98738543689,7169.12970085815,6946.8054593429,6311.79016470909,6349.07399337925,6065.79909544521,4646.74355693555,150.329425288571,32.7554858295868,65.7899169921875,178.333277212689,177.282256989041,159.515625,162.21540982152,95.56845703125,167.521268587559,210.839113695081,109.048431396484,91.229361125268,165.810625468194,238.947773375362,293.817108273273,27460.2983986773,21145.859124099,17699.5625945988,1142.17990141652,7486.6857309863,59093.0856551257,27587.774396411,22204.8404142377,30989.8121058242,17088.5570593562,265.6582821697,16560.3378693759,3993.76929090131,16257.2744474374,19853.1575216658,7258.49996180584,"","[M-H]- 515.115",167,1097.89121097211,6680.64340654558,0.164339142828132,364234.939023611,TRUE
"393",393,257.175474920303,257.138294976176,257.227431034573,405.747995986938,308.640992431641,480.436019897461,71,17,8,2,16,74083.0947314613,9861.38940023258,20494.6880274522,13051.3041721245,14869.9073381066,10245.6469114696,39876.5652680022,11696.7504030197,18503.572916491,11571.681660797,11987.0406222716,11882.1092121229,26865.038244122,11896.5929734823,27932.368849287,82931.5750610469,11988.0139867785,15229.7876160028,275741.207805828,253526.614462305,266468.526138347,264349.369011394,265701.910944528,264674.782510321,267329.314319685,182364.772671768,4627.714488705,4992.4024202507,7972.15852358213,8412.18393365542,6475.37871781923,5669.20385938138,5428.23244175315,7785.10318045608,9475.71108497941,15223.1142262045,4411.45592587772,4814.94839343242,8288.30311349862,4996.31844064428,14452.4022305962,34358.145581702,47439.330509375,33024.6610145923,27400.0140936514,30801.2675140891,34546.5521046659,49097.4654481134,37656.7362480998,38637.790356694,59827.5938346731,68206.2592236743,47181.9507976308,424045.045337314,52269.0965325416,44192.4844842578,34646.1663917452,"[14][M]-","[M-H]- 258.183",190,29969.8034993817,255019.562233022,0.117519625698349,3641478.8157121,TRUE
"224",224,207.834337627667,207.83246845477,207.835137063007,999.25895690918,998.001981506348,1000.51601959229,59,18,10,13,16,117803.122976001,118921.045261627,83978.7312117219,102303.023269594,91757.9407186913,99333.2280644603,99178.4862269461,101587.257295393,80248.7847223716,87013.6619167136,89363.375891215,89052.6195723563,90321.3868245253,43431.8230525008,73102.5121134307,68135.4667921188,48332.8129120264,72664.2533272376,117183.706593028,109402.770222502,107738.9557054,99679.1265844617,99857.5730925692,82132.1102275487,87173.4698114544,72661.7278313264,75327.3776812725,65102.4833132699,103623.626812814,98833.0221526067,106625.902637869,69715.7422989607,94945.0722849369,93176.4578609169,53152.3776401952,84827.9739953019,77615.9701672234,72767.0033818513,70810.9559713304,74372.2151889801,72379.974408677,115613.373086942,113337.409169365,117034.176510779,101264.563736572,103659.74767892,104465.576343234,104182.829216961,102580.241884617,107026.390480183,94287.0455284417,86543.0154864788,88881.9468212815,67712.7632049099,72148.4039781243,68199.8521957733,34307.3130669594,"","[M-H]- 208.841",194,15127.2791980742,96978.6800085363,0.155985616598851,5026879.77640297,TRUE
"2013",2013,581.399809679375,581.362764258976,581.454852781638,665.447027893066,601.383025207519,784.793027954102,80,6,8,3,16,7902.15923997089,3334.31602299312,6371.09955944972,9881.28309410476,1459.46909746702,11849.9883734964,3462.98655245942,1896.52808064106,1319.1214800336,12719.327899036,1578.75364455441,12995.5203243674,1590.66821119003,2180.65608392522,15411.9958504666,3536.3606174471,2862.19082206814,8739.6839517592,40136.015558972,42087.5628968724,41092.1317391456,38044.7343863117,33040.0524871051,35262.6910122037,36502.6520015507,26477.18094627,781.333154152547,738.017175468018,809.446117565036,21038.0444462306,916.807287505562,1103.89378596842,2317.21519385988,846.416625534708,1668.58127931928,81034.2358824642,446.782886092551,623.822980917059,1413.47463158917,388.426821065011,527654.095094994,28244.1565539349,111571.85459806,149375.29511797,49588.7944838577,89013.7731328077,46698.6073697039,171110.800772876,172114.855757049,60815.8654233386,101902.069994099,19799.1122207292,182381.474012621,89917.4595945874,111429.184766879,77803.3862962267,57041.9878823611,"","[M-H]- 582.405",201,5096.53581423321,36580.3776285539,0.139324308403393,2562324.40127369,TRUE
"1452",1452,467.296607003588,467.240120984038,467.404644646607,575.767988128662,464.962005615234,695.719996643066,159,17,8,8,16,84830.1959175281,25776.5736625596,129648.418011337,55737.2868056079,33749.6050313202,194744.652290512,74196.7932673171,38133.7500779212,7459.26395380497,112373.380776957,14083.0121511071,231422.689623982,3326.34265017178,44351.1713347832,187306.153543297,46881.4485758467,19142.2361997329,91802.5890118457,404119.147954534,553534.338137945,502228.630341715,354167.959490488,373849.211802296,334649.600094295,388327.141304668,296061.284128829,5598.68284410797,5836.51474113576,24251.9621783495,84398.7471830816,19429.024248831,4848.00963363238,42396.49455127,34257.6885711853,4247.4467502649,303855.664369836,20837.4546774477,1187.02625234425,3338.9593366844,1354.46135019597,41170.0448808152,663944.303502766,15278.2884411793,6130.75430594757,11495.1613293181,9385.27838963603,127035.319234928,802584.119499482,9201.90832587238,755279.983075743,1215647.16681764,486429.159575254,1164209.048089,658755.552820922,6799.58036784176,7180.59128435096,477439.817151515,"","[M-H]- 468.308",207,86213.244056321,400867.164156846,0.215066864450361,11615707.089921,TRUE
"1826",1826,543.340018013077,543.240261244562,543.348457557029,575.772514343262,439.68100402832,620.296025848389,62,15,8,2,16,10048.4983193679,4766.47218106048,73267.0324415817,580818.768617328,134709.601224599,121748.457280272,75427.2384965677,712569.899388214,63561.0082209115,84001.1497639406,556383.266697606,353652.504780633,2038.84631441059,200961.72231501,10636.187881669,425010.321973376,32835.3648764591,276912.127953085,146651.379549939,146992.525689022,143871.551298233,144936.625445075,146641.682206113,141330.187932309,131158.071764437,106019.36985774,5243.4019844713,4549.97644621453,3495.43151527013,11193.1769485585,2882.64593329813,2213.0367830261,8355.28785215589,3586.89230815973,2657.39311684668,11560.0142410338,1423.84480140777,1939.58423779228,4960.36192539707,2208.03453202844,28362.4874874154,186878.328522951,266549.695573017,208793.065543804,212864.314747691,233163.570424695,47453.2492075441,193603.549796658,244489.380970738,205682.409516865,263894.366342776,120997.195750773,268998.317244666,197575.65988648,229949.489757639,192772.962170709,171894.199469109,"[100][M]-","[M-H]- 544.347",207,14101.7933422822,138450.174217858,0.1018546449793,8167141.18750815,TRUE
