"","X","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","Gb","QC","Sf","Wb","IE_20170919_01401","IE_20170919_01601","IE_20170919_02301","IE_20170919_02401","IE_20170919_03001","IE_20170919_03101","IE_20170919_03301","IE_20170919_03501","IE_20170919_03601","IE_20170919_04001","IE_20170919_04201","IE_20170919_04401","IE_20170919_06401","IE_20170919_06501","IE_20170919_06601","IE_20170919_06701","IE_20170919_06801","IE_20170919_01301","IE_20170919_01901","IE_20170919_02501","IE_20170919_03201","IE_20170919_03801","IE_20170919_04501","IE_20170919_05101","IE_20170919_05701","IE_20170919_06301","IE_20170919_06901","IE_20170919_01701","IE_20170919_01801","IE_20170919_02001","IE_20170919_02601","IE_20170919_02701","IE_20170919_02801","IE_20170919_02901","IE_20170919_03401","IE_20170919_03901","IE_20170919_05301","IE_20170919_05401","IE_20170919_05801","IE_20170919_06101","IE_20170919_01501","IE_20170919_02101","IE_20170919_02201","IE_20170919_03701","IE_20170919_04101","IE_20170919_04301","IE_20170919_04601","IE_20170919_04701","IE_20170919_04801","IE_20170919_05001","IE_20170919_05201","IE_20170919_05501","IE_20170919_05601","IE_20170919_05901","IE_20170919_06001","IE_20170919_06201","isotopes","adduct","pcgroup","SD","MEAN","CV"
"2719",2719,800.649437145033,800.646960565748,800.65103693226,299.268996505737,295.477009353638,301.727999343872,57,17,10,13,16,1598428.84292149,1670256.43025422,1400441.76476537,1826604.2856122,1305884.02743597,1627537.94874741,1393870.91457704,1577763.78120163,1277282.61017739,1769383.89600901,1452229.65826293,1951153.97713758,1521460.62815774,1983595.52807703,1771090.20544631,1683311.50065638,1946532.67708813,1442393.24972123,1461404.71276308,1466730.70700006,1467330.0784265,1476312.36824566,1498194.45519709,1503168.66148778,1512629.77587992,1491801.55763079,1500547.06037961,1265057.697514,1283452.6052232,1712058.61719988,1366355.32110929,1247937.92130364,1204079.73058322,1394082.39097556,1582507.29647974,1234442.37280119,1542571.11962678,1200952.01517558,1324816.94962791,1069870.068864,1554723.86121605,1221125.43486649,1192779.12876322,801562.673937273,1239301.93644813,1461207.69835474,1054220.33912853,1310072.50629128,1421512.0028103,1409397.26057719,1191530.5873927,1150793.42169046,1408310.43141313,1163931.16189805,1656191.92613547,1329735.4779885,"[108][M]-","[2M-2H+K]- 381.85",102,22514.5904977851,1482051.26267317,0.0151915058978295
"2722",2722,801.649757187467,801.646974032351,801.651153085687,299.236498146057,296.312002563477,300.950992431641,56,17,10,13,16,219181.923094206,228863.637703259,191800.434181016,260864.873685349,185846.688068031,228769.202957908,288235.87265346,218478.759858739,178915.850422138,247897.20276596,205697.443154082,280540.098196648,210488.67157959,283338.104825146,250576.968585342,239632.788208284,280109.414331176,196832.373152123,200556.195293418,201903.508832385,206115.949878513,204753.163502917,208233.217626147,211060.764335657,217808.949499791,210804.703038285,217475.514905591,175843.782436729,175541.687794318,231946.677344784,184507.97011292,171795.441507046,167496.896565242,195268.878639015,215122.593990437,169804.550564242,219137.248042324,163426.792928881,185038.294121056,144130.387315118,212944.911883218,165915.540215907,162142.417203506,104401.891382781,173391.878921945,206994.661688665,141425.805330773,183369.813360646,192084.502665598,198160.31105355,169323.194934599,159776.69990804,200339.548850607,162741.402966622,236744.221738021,182545.823369997,"[108][M+1]-","",102,6933.73015660326,207554.434006483,0.0334068033274909
"2725",2725,802.148081415465,802.142176136316,802.15108672654,299.2160131073,295.681987533569,301.097989807129,33,14,6,4,8,18801.2494044582,24199.0042534956,19718.0504421815,25626.2682187238,15181.3177026768,15708.2711991534,30382.3493107286,9110.23105395165,16459.1121692153,22603.9601683883,11946.2114401418,31578.8199214633,17280.3970708878,28252.2698583279,19900.0125141003,25023.4479846273,28654.6172423183,16892.6946897452,16332.2850481799,16303.0033747765,20241.4601229429,17439.5442941599,20051.8343346318,21163.4177755212,20749.8975661397,22121.4949188907,15190.3149813726,17932.8831991577,19398.4519412553,20394.9009485077,20437.7248109162,16141.7648309503,15089.4092873455,18130.240829288,29450.3125308945,16961.6630630812,17901.3178121229,18147.6661984341,18723.3490391098,19290.0980061959,17710.5513455381,9952.26999196813,15386.225613999,11714.9836873226,11270.2800121617,20387.5129680312,15453.0125177335,7638.64982437715,13480.0992710516,19188.6974574285,17310.5266238451,14759.6960366098,13068.807188943,16596.2198417634,23467.3578229796,18744.5358943312,"[108][M+2]2-","",102,2464.83990701275,18648.594710636,0.132172957011445
"2727",2727,802.647896457609,802.645365114838,802.649866110361,299.295510444641,296.312002563477,301.097989807129,58,17,10,13,16,1071808.88217347,1115097.85489172,939947.707050329,1235666.12175271,877524.906562243,1097562.78323828,1371104.81788274,1053005.71343455,857306.237904042,1196573.23132319,974164.326725616,1313959.83265154,1027626.1826996,1340194.32054058,1197438.82918213,1131539.96450665,739225.745283155,968839.220113758,985709.586106344,984277.619027598,983617.361933975,986048.79440027,1006001.96864547,1005410.87319304,1023602.56246215,1003314.64935655,1012536.18127847,842234.864407559,855769.60835757,1142620.54547897,913301.584650725,835986.502712173,805686.60479452,940708.786628455,1068758.57259171,830924.601031457,1047934.67794839,808122.953985525,892886.520280603,711966.53862136,1041895.99181915,818280.891475003,802428.482786888,533738.626542712,832016.804593937,989394.135480188,701988.850896194,886869.783741534,954696.740823667,949891.305322293,806208.803529703,782047.633752749,943832.422540337,780339.130108287,1125722.37607097,894362.357970113,"[108][M+2]-","",102,16702.576835564,995935.881651763,0.0167707350877475
"2729",2729,802.996245015978,802.994454701235,802.997317034018,443.313001670837,435.475007019043,447.280003814697,10,0,0,10,0,348.475482245535,850.293053840897,687.115478651723,1966.50284465868,549.587231326001,327.092066696812,3199.48684304444,892.622477314,365.640278538068,20063.2968380019,676.079430304468,1221.78058483953,1020.77971799821,2882.71602829976,1128.4059104364,337.500064617768,4018.90882610638,2179.19339805651,2504.15790752093,2392.54555775343,2783.10732963687,2593.33764920648,3044.52359291688,2747.89768637936,3551.94908137074,3240.07234685712,3586.3791084919,43007.5860815323,13887.4461441756,106027.591908857,103952.988640967,17314.6338451734,36081.2420917513,36673.9657647527,83067.119085298,1035.96856137245,25916.6024214146,11442.624173265,65648.1770914409,19461.9854351389,543.70550381196,326.499182902657,573.715016705899,598.422209020832,571.405580436064,392.943741464522,401.99584864992,315.083502776134,531.819324187901,516.682529901652,280.970704831697,523.842259893294,559.396041555896,525.487488543759,442.630132621489,520.431962368478,"","",1215,481.097533488311,2862.31636581902,0.168079789932882
"2731",2731,803.648845668406,803.646980848195,803.65048018928,299.213500823975,297.04999710083,301.097989807129,56,17,10,13,16,102045.364000769,107437.952680598,91679.9835899379,122125.852010348,84355.4991736856,110324.506573286,135969.565368069,100665.206761074,83174.2871056125,114090.723167209,96580.4333204404,130796.623124628,102946.803959571,135592.683623228,121208.350470361,114667.184134843,131003.100534136,92679.8076398758,93635.9204435488,95111.6709093796,95009.9042338878,95845.7212660074,101357.034973195,100931.822280753,100023.958851534,100809.734812444,102370.016797073,80460.9386957483,80329.3984333612,109655.29008949,89662.9711199692,83656.7408467116,79053.3146861309,87136.1091503128,104739.616434844,77867.6761653554,106901.199870072,80539.6153131864,88108.5770534082,70440.2185191101,98922.8938071756,78923.4395965539,77284.9189250231,51558.1317579864,81660.8283399779,97722.3249451529,69650.2039392932,86917.8238800439,92669.6974180624,94186.176956953,79006.9022906653,76272.5806904398,95207.8402954964,79533.7629238228,114637.861534702,88211.9825196028,"[108][M+3]-","",102,3647.40705865794,97777.5592207698,0.0373031101177575
"2734",2734,804.357080409663,804.355331214106,804.444338120014,564.470009155273,485.523005981445,565.296979522705,9,0,0,0,8,184.517025555738,195.482360839844,287.63760083609,183.928990683264,250.584787726402,310.222395392304,338.031507255383,313.543960811401,170.418665305796,202.881635844792,214.630916833878,233.710652903061,215.286157243885,268.193993820894,297.93625174666,313.878334611654,201.318073001775,1706.63626366016,1899.19380597635,1703.13695655594,1838.97798281908,2069.77485033599,2121.43931397118,2162.65031093054,2008.21150989966,2539.56181865931,2030.38846956668,263.142194869674,268.75793392135,610.148727054623,173.645301806656,337.826759143224,329.265000603416,231.492776274512,468.636840468103,292.296264245852,850.001119687476,234.897933821956,349.533714945428,438.588453136046,471.314206729135,11500.543811755,28533.16297843,14178.9169653319,8765.92241579667,1834.03101417397,10918.2863259554,9760.4027354995,4894.33290379007,2063.49068149645,324.630856050489,17572.1439106044,65605.490517877,9949.19512740523,5350.20665032577,8407.11375041306,"","",1390,246.718325903043,2007.99712823749,0.122867867903576
"2736",2736,804.645679860042,804.643381689154,804.647258955325,299.836992340088,296.312002563477,301.727999343872,57,17,10,13,16,252907.162395108,259323.858479082,219057.609314192,289047.534675483,209101.587440881,264439.524105776,326478.683419264,249975.392212797,209166.778729981,284979.957923166,234532.117301175,323895.410702419,244325.64972885,325732.275944751,290375.402908264,272534.220614118,220304.119548731,229942.456812574,232494.066029894,232984.124152976,235695.373187261,232207.55386416,240488.993888061,246720.759088531,246246.936808163,245503.019459943,247525.782505833,201095.221642684,199579.549703885,269316.049186649,213844.27444294,200630.811148785,191328.320374277,219127.996545706,248892.255715953,196435.178173204,250135.754226438,195406.898234848,213785.397574118,166245.752172275,244523.704245367,193268.963725162,186018.826540612,124071.354008123,198539.90715013,235251.11982056,173301.78929717,214172.303199151,227470.322182178,228656.738243673,197280.030117123,186297.275811819,234642.849155981,187575.634176505,273161.986261427,218472.947089928,"[108][M+4]-","",102,7046.94426409657,238980.90657974,0.0294874781628015
"2738",2738,805.521213592743,805.376226029011,805.524215621483,450.888002166748,422.331004867554,452.755998153687,25,14,1,9,1,27174.2578737877,14606.8134798299,9954.99067284167,15842.4622280487,2498.16840438784,20356.9858347997,18325.1504721292,14700.2463107882,19807.0516996709,12646.8600234823,12110.0976317875,28844.1835973645,17221.7485749396,16355.4439245164,25489.5300447432,20467.5329822448,11505.9737995608,9475.62716545661,8496.95057206973,10476.5838569641,9492.43316457095,9782.12031068939,10633.8249498575,9707.29229412973,11157.2113126218,9984.50767280348,9925.84224750847,14301.6545089385,9582.92523877119,23341.1140507035,23230.6489351794,17971.652947359,9841.14818855062,10356.8156133369,13972.8718451116,6883.74515446275,16233.5343782361,11201.1813866855,14269.1179696304,9923.47426792166,763.100739907135,614.392093711279,1352.83188786296,61768.2537850086,949.161431122106,372.890966339037,499.94999601692,529.490323390812,797.203587789766,1352.56601846828,776.524299466475,1399.91089065932,542.388960042037,809.91470813239,376.983455213194,1865.42394002038,"","",464,732.072207689116,9913.23935466718,0.0738479301767747
"2740",2740,805.512330266104,805.509749082869,805.577618810327,165.382004165649,126.676999130249,167.930001449585,13,9,0,0,4,16200.6513108263,11726.0264496412,10377.6335237529,15481.565262391,25018.4275061275,30298.1808082785,8348.52555660519,14083.6481085588,23427.2467014976,19538.3343911916,15994.7867851041,16543.7151027773,12117.9283692613,23296.9840476514,40706.3741292665,15118.1577637579,9868.10526746511,13065.0439269348,12504.8253269737,12156.7517018018,12535.7158283281,12711.4516725731,13602.1269179021,13545.7907142962,14160.1743187704,13506.1910014071,14741.1128839975,12223.9466622499,6465.53873499322,9551.08335706964,10284.830342467,23331.6919131705,16595.6234196848,10183.360091687,8347.31334366966,11578.3208180101,12331.7168913236,14681.0584678957,15951.6502087215,6832.65017952842,865.70792987505,769.338825115624,24899.5474911955,1348.5392503133,41805.1633033145,1115.95497776305,26403.8751097232,719.726030994323,1268.72897706007,3565.4993165039,19364.3760947016,2059.76881110354,1090.94990428761,1202.60334346657,1215.26072159177,5200.43283349002,"","",2043,810.609589268471,13252.9184292985,0.0611646101643877
"2741",2741,805.647416552422,805.645461227322,805.650177283382,299.211992645264,296.942009048462,302.984989776611,25,11,4,2,7,16735.6048643519,23507.0512678847,19006.1408819019,8363.76186325469,12533.3934374741,23738.1411669776,19446.8030395533,22866.8666852606,18604.8177754264,23428.1080195614,14182.1506162274,27349.075896971,21911.3874194096,26676.5305407229,21065.8714395532,23527.8269184105,26349.3038696689,20563.117466406,20782.1912220187,20693.9720832437,14213.0349598655,20073.9092578297,21420.7871134426,21434.698184838,21256.0611824557,22801.3532938577,18610.4733650406,17751.5905238695,17849.6622243244,23733.6792295486,18904.5643774066,17832.5210713249,18849.7345299911,20218.19073779,22830.9155719932,17592.8034347576,22633.9862709399,7257.08271481097,14202.3257103993,17417.290062458,21179.2007244363,17484.6585208985,16918.514508773,14646.6563466564,18527.7639864711,21613.0110436698,17267.61129128,16693.4812691521,21204.4685605639,18946.625670319,19548.6000414635,15446.1752999952,16258.6247295241,11283.5111136362,25273.1487305229,10028.0651235039,"","[3M+2Cl]2- 513.793",102,2356.92587954432,20184.9598128998,0.116766439041313
"2742",2742,806.643609952996,806.640873031988,806.646067907703,299.21099609375,294.776986236572,301.727999343872,58,17,10,13,16,34725.8174967035,23853.6674745777,27434.9693102254,37949.4473256175,28458.3323078061,37159.9281542366,31003.7265507587,33119.9246522156,27676.6794445809,37808.4832225093,32948.8993036925,29108.1109582762,34248.1743907715,45059.1955569084,38941.0151349173,38870.7968767846,42055.4643988508,30998.1232646669,32932.4840872801,30790.4457526579,29310.5779273866,31551.6051141663,31763.2437192977,29860.4071551962,35058.1207111944,34373.2192751301,36191.9146849131,22711.7952802437,22243.5375188053,37334.7672025985,27922.3261452082,25315.1402496966,22251.4498945709,29429.2983889438,32309.2043149599,25904.6320887469,34986.787036348,28626.093679344,29665.3935371604,23481.6842237022,32595.1874015663,23024.131834347,22963.9175132663,14808.5316701746,25738.8132778695,32554.2821857316,22716.2905791367,28114.6405604751,32882.7519076868,32666.9601258103,25743.2582654745,25224.2978762736,31025.3636961365,20841.9792128715,36673.4469174314,27599.3688267748,"","[M-H-COCH2]- 849.648",102,2289.09772902978,32283.0141691889,0.0709071871986012
"2745",2745,808.538379666377,808.506391170547,808.542144050857,452.352987136841,451.360996398926,455.180010070801,37,15,8,10,0,32255.6082158938,21029.4025080008,16310.3940196708,23232.6655210127,3011.63829925796,13952.3120617066,25817.9025171162,9666.67593132704,22125.6448418498,12103.6312969128,13950.3737746328,30070.5044349842,22327.5719447471,23308.2337330014,35050.3620018717,23859.541256614,15839.1320136376,13405.96544378,12353.7564534707,7649.76085185694,8965.40896715131,15803.967736481,11348.7677768398,12217.6937982028,12211.7265224463,10767.3570466507,11392.6350200868,27375.3527246788,9762.39506132768,34727.3306220913,28757.7166952193,27319.5947643316,19050.7170510851,11379.031191652,12918.6223915033,7620.55976969666,14880.8137024194,19229.5198598038,20840.634839718,10381.8455524072,263.953500471544,385.333667115774,453.024506024932,291.009061644277,376.73745852476,451.572198318969,155.780759624508,336.312712933961,292.75640048366,936.244147635996,161.196793980134,694.383396538906,373.76103514256,291.040466327009,398.922576726152,1326.80646571368,"","",236,2250.98154478237,11611.7039616966,0.193854541263509
"2750",2750,810.560523618623,810.445398477463,810.564903014337,114.903997402191,32.0660013198853,124.237001304626,23,2,0,2,9,478.158367466639,171.709262623079,901.504910769562,1175.37013507688,2075.38255739245,15986.6333284276,841.241705366044,354.976692484808,612.217618016177,1493.36114150581,5857.21032609232,995.455851017428,753.551265043373,525.353305909766,701.802623933181,594.471210512199,287.461879185268,4499.8370390218,3996.70250201132,3662.75710279055,4133.19812997444,4811.22718934229,4598.50996153569,5218.82504287528,5203.91736570612,4807.61690787511,5571.63399422934,340.725282817435,749.427596049849,449.510592346685,642.123052889781,18336.1969197336,299.49581002614,287.53103710406,1990.65123877252,11437.1278016613,403.564996057632,686.501252489234,443.532808352511,3918.94838101665,10016.4504429768,5195.46610569669,38105.2234163419,9027.09969818629,46665.8282501483,4363.88230005925,1284.79373002436,5788.63244315051,66575.5115641195,3356.59715297772,37311.7334635346,15138.0547838479,40603.6600478052,13929.8136193886,40692.0293339551,10782.2691184203,"","",457,598.550246518241,4650.42252353619,0.128708787962583
