"","XOTU","inc_dec_estimate","inc_dec_p_val","fdr","classification"
"182","X196900231",-0.616175979401042,0.018951956630222,0.0663318482057771,"decreasing"
"183","X196900264",-0.72377435892007,0.0034288408130713,0.0189488571248677,"decreasing"
"184","X196900276",-0.283811330103067,0.325441224334838,0.460219913200781,"dec.trend"
"185","X196900294",-0.0744827019900444,0.800224904140219,0.841347327895283,"dec.trend"
"186","X196900357",-0.556407883130193,0.0387888826130773,0.111602051684126,"decreasing"
"187","X196900358",-0.143081035403793,0.625570853409691,0.707320434109398,"dec.trend"
"188","X196900363",-0.528763560018237,0.0518913211729134,0.143915562449166,"dec.trend"
"189","X196900418",-0.599286178747157,0.023516589134903,0.0796529631988649,"decreasing"
"190","X196900425",0.806268051002726,0.000495716955796967,0.00484188654499363,"increasing"
"191","X196900431",0.148432124986293,0.612560139497144,0.697222923004879,"inc.trend"
"192","X196900449",0.10627054633065,0.717664297057705,0.782359760050607,"inc.trend"
"193","X196900481",-0.745794627815384,0.00219535348654975,0.0133630212224767,"decreasing"
"194","X196900488",0.456155503004025,0.101129373904672,0.229591011026823,"inc.trend"
"195","X196900521",0.202208360995153,0.488140594021108,0.599470904938203,"inc.trend"
"196","X196900591",0.231450167085874,0.425934967290726,0.55729808804394,"inc.trend"
"197","X196900596",0.633771821904859,0.0149449320929492,0.0560434953485597,"increasing"
"198","X196900597",-0.835510443430051,0.000198658415765191,0.00303817878634332,"decreasing"
"199","X196900207",-0.284650946365054,0.323949618562548,0.459658242554967,"dec.trend"
"200","X196900251",0.190104675931944,0.51506769930692,0.617222512796803,"inc.trend"
"201","X196900284",-0.736821754889703,0.00264616977627588,0.0154359903616093,"decreasing"
"202","X196900327",-0.0810047448034573,0.783096963207095,0.834773412555786,"dec.trend"
"203","X196900329",-0.61522467662486,0.0191896227044319,0.0666086077343918,"decreasing"
"204","X196900359",-0.206043796250256,0.479748172345681,0.597384720612748,"dec.trend"
"205","X196900391",-0.748960722319433,0.00205168974173282,0.0132233504421351,"decreasing"
"206","X196900404",0.237132340872194,0.414336228480254,0.546549277888762,"inc.trend"
"207","X196900513",0.558214070953847,0.0380274545138119,0.110913408998618,"increasing"
"208","X196900524",0.340259208417511,0.233901074151714,0.378069850009465,"inc.trend"
"209","X196900534",-0.412474501126135,0.142744116655669,0.281467272278784,"dec.trend"
"210","X196900543",0.467245949504457,0.0920744125514049,0.212479413580165,"inc.trend"
