ID	Gb1	Gb2	Gb3	Gb4	Gb5	Gb6	Gb7	Gb8	Gb9	Gb10	Gb11	Gb12	Gb13	Gb14
OTU196900260	4288	925	9229	1223	651	2775	688	1792	3472	1514	1214	0	0	763
OTU196900262	839	375	725	412	206	320	554	514	625	495	0	0	0	0
OTU196900263	535	531	629	552	234	238	791	581	988	391	0	0	494	0
OTU196900264	462	465	1284	1104	0	1124	1106	1069	1788	700	0	0	0	0
OTU196900265	612	461	0	1094	315	743	856	603	0	901	0	0	0	0
OTU196900266	0	1285	0	0	0	0	316	1258	2090	0	1485	0	993	0
OTU196900268	898	568	1037	0	397	194	581	2298	1908	649	309	0	0	0
OTU196900269	873	1317	2412	8666	769	3381	1701	3089	4566	1483	1613	6012	4828	6496
OTU196900271	1256	511	0	0	634	614	1027	1189	1789	376	0	641	499	748
OTU196900274	3469	1552	3461	987	636	805	2748	1649	4729	1549	1057	1377	3003	2052
OTU196900276	0	283	0	0	0	0	405	370	0	0	0	0	0	0
OTU196900277	1745	1288	1754	808	789	1578	1717	1196	2023	798	0	246	1048	386
OTU196900279	735	485	754	807	397	225	791	695	1874	578	740	513	762	779
OTU196900280	376	894	562	1129	1077	444	911	1288	2458	1596	1821	1647	1848	2396
OTU196900283	1784	970	1033	1253	743	968	1496	1001	999	699	0	0	0	0
OTU196900284	440	349	709	958	0	277	663	906	1333	662	0	0	0	0
OTU196900286	4013	1772	3134	2056	1233	1126	2996	2130	3852	1869	1809	899	2041	2323
OTU196900287	481	318	0	602	316	299	587	777	2099	508	1019	388	412	945
OTU196900288	1473	957	1637	984	827	721	1517	878	3514	898	1312	1362	1700	1950
OTU196900289	1912	1195	3677	1656	944	1166	1771	1266	2306	1739	1040	512	769	754
OTU196900291	475	517	921	2865	0	1687	770	884	1664	689	532	449	518	451
OTU196900292	468	0	0	561	231	0	457	0	0	0	312	371	439	0
OTU196900293	630	636	850	787	605	556	894	531	1393	0	0	323	556	0
OTU196900295	1628	1042	2984	459	567	413	882	1338	2687	934	1903	654	1715	1539
OTU196900296	707	648	0	1219	468	289	913	777	1041	909	583	0	0	0
OTU196900297	0	549	0	2031	1081	0	922	814	2233	1480	0	711	796	1012
OTU196900302	1175	976	567	0	693	347	1346	1078	2182	752	0	627	591	560
OTU196900303	397	535	530	452	269	226	448	486	990	366	501	0	382	0
OTU196900305	0	370	596	1330	414	0	668	526	1326	505	338	907	1060	886
OTU196900307	714	658	1625	718	385	396	998	1000	1596	833	0	0	0	0
OTU196900308	909	434	648	0	240	217	912	943	1445	281	1315	862	1276	1453
OTU196900310	1289	843	4206	755	513	949	728	1061	1977	1822	0	0	0	0
OTU196900312	0	0	0	0	0	0	0	0	0	0	332	0	560	516
OTU196900314	0	0	0	897	314	0	0	1069	0	0	1287	872	1698	1955
OTU196900315	0	349	492	0	187	0	0	0	0	0	0	0	0	0
OTU196900316	0	0	0	0	0	0	0	0	0	0	555	614	886	839
OTU196900317	0	0	0	1164	154	193	293	0	0	415	0	0	0	0
OTU196900318	757	869	0	0	378	480	1309	749	2103	342	922	387	704	695
OTU196900319	0	0	0	0	0	0	0	0	0	0	353	246	682	1001
OTU196900320	3007	781	2544	912	440	1127	1099	2672	1618	568	0	0	0	0
OTU196900323	0	0	0	0	247	367	0	864	0	0	567	660	1378	1381
OTU196900327	0	301	0	0	236	0	380	505	898	0	0	0	563	0
OTU196900329	491	534	0	843	185	0	662	557	1164	560	0	0	0	0
OTU196900330	2843	1534	3299	1191	1253	732	1887	1746	3514	1836	2228	1247	1525	2419
OTU196900331	1065	1275	2324	865	351	410	678	925	1253	1984	0	0	0	0
OTU196900332	0	0	0	0	0	0	0	0	0	0	285	447	0	596
OTU196900335	1639	601	1284	1744	663	1545	1151	989	1481	1092	0	683	0	0
OTU196900336	4046	2279	9843	2494	1136	6906	9452	2281	4326	6973	368	0	0	0
OTU196900337	6264	5222	2329	3814	4974	1611	5235	6115	12174	2712	8080	9293	18134	19592
OTU196900338	636	480	709	2567	834	544	1141	707	1754	1395	795	858	646	1677
OTU196900339	4172	2147	567	0	936	0	5539	2609	7917	6874	13948	3809	7164	8018
OTU196900340	4193	1559	7820	2558	1238	1242	2071	2414	3502	3150	929	1120	1770	2160
OTU196900341	0	353	535	787	618	307	1880	911	3419	1082	877	1358	863	1643
OTU196900344	535	370	633	367	199	255	515	565	641	649	592	319	479	632
OTU196900347	1891	1003	2705	1300	544	505	731	494	1302	2635	0	290	1090	969
OTU196900348	1079	340	910	0	378	339	909	660	1788	763	1034	613	655	458
OTU196900349	611	455	999	390	289	474	910	342	1022	695	261	0	0	0
OTU196900350	397	329	466	884	202	239	600	435	666	269	0	0	0	0
OTU196900351	0	0	0	879	447	0	406	0	0	501	355	387	0	597
OTU196900352	0	0	0	1009	0	0	377	0	1204	434	599	484	854	403
OTU196900353	0	307	0	0	219	0	522	0	0	0	0	295	783	938
OTU196900354	0	847	0	0	208	0	491	1855	1994	0	514	577	2094	846
OTU196900355	1001	742	851	857	684	268	696	872	1513	899	713	640	687	842
OTU196900356	0	334	524	1120	381	513	790	485	1447	394	715	718	638	691
OTU196900357	752	717	1486	0	506	821	939	657	0	0	0	0	0	455
OTU196900358	0	438	704	948	1356	0	0	2751	0	680	0	2203	0	0
OTU196900359	321	1206	1010	0	1516	0	1427	4459	4559	0	2283	0	419	0
OTU196900361	820	517	0	758	529	192	686	549	953	872	485	278	0	407
OTU196900363	0	322	0	550	339	175	476	493	817	681	0	0	0	0
OTU196900365	0	0	0	0	0	0	407	0	0	0	0	306	0	767
OTU196900366	0	354	0	860	544	221	488	540	775	625	865	988	1212	1290
OTU196900367	0	0	0	0	0	0	0	0	650	0	977	444	668	367
OTU196900370	0	0	0	0	1038	0	0	624	1050	0	465	864	479	1181
OTU196900374	311	0	685	0	0	0	0	0	688	0	0	0	0	0
OTU196900377	1029	601	0	531	843	176	701	1042	1616	451	1238	936	2409	699
OTU196900383	0	519	0	417	397	0	943	584	1423	0	623	692	1442	1173
OTU196900384	0	0	0	0	0	0	0	0	0	0	328	201	331	0
OTU196900386	317	243	0	524	0	0	517	0	0	0	0	268	0	0
OTU196900387	0	290	0	0	0	0	0	0	0	546	0	304	498	496
OTU196900388	303	0	0	0	194	0	0	0	0	0	0	211	0	393
OTU196900391	312	246	590	0	158	183	385	376	583	359	0	0	0	0
OTU196900392	0	282	0	0	237	0	665	336	1049	0	0	229	525	541
OTU196900393	326	0	0	560	379	0	0	0	0	477	0	0	0	0
OTU196900398	1358	842	1411	857	707	408	1071	841	2669	661	362	0	373	0
OTU196900400	671	486	794	1624	434	191	1038	679	1084	551	311	275	529	0
OTU196900401	1564	694	547	0	607	231	1077	730	1778	514	0	0	407	0
OTU196900402	382	270	0	0	0	0	0	0	639	0	0	0	0	0
OTU196900404	0	519	0	0	260	212	445	486	850	0	422	464	0	513
OTU196900406	0	0	0	767	391	0	0	821	1171	378	0	259	733	0
OTU196900408	0	288	657	0	215	221	0	0	0	0	0	0	518	0
OTU196900409	0	0	0	0	0	0	0	0	0	0	968	293	856	927
OTU196900414	368	0	0	636	191	0	539	0	0	689	650	0	0	0
OTU196900418	365	259	0	0	217	236	306	532	880	299	0	0	0	0
OTU196900424	0	0	0	0	0	215	330	0	595	0	0	0	0	0
OTU196900425	0	0	0	0	194	0	0	0	1243	0	819	481	547	755
OTU196900429	417	276	781	695	343	0	456	430	0	934	693	298	446	376
OTU196900431	776	321	0	0	0	546	457	0	803	0	1757	0	0	1183
OTU196900444	0	0	0	749	207	0	0	0	0	0	0	274	0	0
OTU196900445	0	0	0	0	0	0	0	419	1023	0	408	883	743	1246
OTU196900446	0	278	0	453	205	222	601	0	0	0	0	0	0	0
OTU196900449	618	0	0	1044	461	207	487	0	1014	924	518	534	0	838
OTU196900450	0	0	0	422	324	0	563	0	946	316	497	265	0	0
OTU196900454	0	0	0	0	0	0	0	0	2701	0	1274	0	2715	5009
OTU196900458	0	0	0	376	308	0	0	988	1401	291	0	923	1035	1062
OTU196900464	0	267	0	0	151	0	351	0	0	295	304	346	395	534
OTU196900465	0	0	0	0	0	0	0	612	708	0	260	311	2953	894
OTU196900469	467	411	0	512	0	0	0	1200	1395	0	951	0	539	0
OTU196900475	358	370	0	920	547	0	548	469	1042	387	827	511	485	652
OTU196900476	0	0	0	543	0	616	0	0	0	439	0	0	0	0
OTU196900481	583	420	785	1134	424	206	541	1066	0	571	329	0	0	0
OTU196900488	0	0	0	0	450	0	0	0	726	0	432	222	0	380
OTU196900492	0	0	0	0	338	212	556	0	695	323	0	322	0	636
OTU196900496	0	0	0	1472	999	0	1453	1896	2326	848	1293	1488	2384	2725
OTU196900499	0	611	0	0	483	0	739	1216	2054	776	1290	775	1150	1413
OTU196900500	0	441	547	0	232	411	482	0	1449	0	0	0	416	0
OTU196900507	0	397	0	431	167	0	0	403	651	474	1198	637	995	1489
OTU196900513	0	0	0	0	213	0	0	552	731	0	0	334	432	476
OTU196900515	0	0	0	0	425	0	0	0	653	0	0	782	0	649
OTU196900517	0	0	0	0	0	0	0	0	0	0	725	247	0	457
OTU196900518	0	0	0	0	0	0	0	0	0	0	1148	1803	2000	0
OTU196900520	509	0	0	0	342	0	345	0	0	0	0	0	0	0
