"","X","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","Gb","QC","Sf","Wb","IE_20170918_02701","IE_20170918_02801","IE_20170918_02901","IE_20170918_03901","IE_20170918_04201","IE_20170918_04501","IE_20170918_05001","IE_20170918_05201","IE_20170918_05401","IE_20170918_05501","IE_20170918_05601","IE_20170918_06101","IE_20170918_06401","IE_20170918_06501","IE_20170918_06601","IE_20170918_07201","IE_20170918_07401","IE_20170918_02001","IE_20170918_02601","IE_20170918_03201","IE_20170918_03801","IE_20170918_04401","IE_20170918_05101","IE_20170918_05701","IE_20170918_06301","IE_20170918_07001","IE_20170918_07601","IE_20170918_02101","IE_20170918_02201","IE_20170918_02501","IE_20170918_03501","IE_20170918_03701","IE_20170918_04001","IE_20170918_04801","IE_20170918_05901","IE_20170918_06201","IE_20170918_06701","IE_20170918_06901","IE_20170918_07301","IE_20170918_07501","IE_20170918_02301","IE_20170918_03001","IE_20170918_03101","IE_20170918_03301","IE_20170918_03401","IE_20170918_03601","IE_20170918_04101","IE_20170918_04301","IE_20170918_04601","IE_20170918_04701","IE_20170918_04901","IE_20170918_05301","IE_20170918_05801","IE_20170918_06001","IE_20170918_06801","IE_20170918_07101","isotopes","adduct","pcgroup","SD","MEAN","CV"
"4718",4718,1307.55217632903,1307.5269340307,1307.59296004269,577.137997436523,564.886022338867,653.91000793457,56,0,10,13,2,2307.00968659432,729.119405551599,803.025852164397,1770.35167749428,1745.34307015004,2402.3306869177,760.884641486813,2137.55585679257,464.324565203364,3835.22951147053,597.735046630104,748.04552311264,1423.30478008063,940.432406172156,537.358505565673,611.910400368273,6437.05237854001,788314.902098498,1037432.28451022,724390.577162568,723903.916293894,952776.128885475,674772.060276664,663468.242382748,641944.666838385,616432.98197808,611967.89648585,606811.90209222,1068289.53728396,253935.756123513,2118197.24043966,997040.808435764,814217.032339241,694342.633518896,328767.391455878,394172.528280291,1388992.49217727,596753.865073865,1179855.55600642,996766.438631266,3399.56319441497,1530.5651915662,7042.07744681239,4072.54963132739,1794.2249744519,12850.6322592907,19533.9456868288,2482.24317333475,1387.21429115385,1485.02558029008,5784.78603846133,1788.71742156701,3362.22551566362,5966.72306847076,6634.58252708266,37506.8640873529,"","",1755,144468.005160704,743540.365691238,0.194297460940669
"4720",4720,1308.21928083296,1308.1937152754,1308.23915106975,572.41601272583,564.859014434814,651.895980834961,40,0,10,13,2,1741.35431966214,736.783391148916,724.539692964743,975.225330929865,1394.16789470156,2999.57925414294,758.546735194596,1726.2821744186,594.514247122305,3123.50602808905,422.478499831632,867.821100510657,986.727729742057,727.45265810852,585.545901352201,545.337203407294,6910.77922549099,550372.336163372,501068.230501474,519278.281593231,511187.355658724,851231.990316121,493542.171246403,477090.634509278,489759.321555258,558953.121739853,786920.84014283,497756.459646683,1200692.98223287,431315.046180546,826413.220587218,806156.886277849,781123.930304715,487447.907940461,289795.462710006,511401.956526861,629799.776721373,983095.633368574,1099573.69499196,671348.661077879,2983.84215706587,508.073379836469,2843.44129527699,1835.44409024314,761.074849631299,4722.85645906627,17360.1459546513,1240.19737430848,1215.05008366975,869.902457210737,2473.13718665899,946.741393119774,1991.18079204038,4240.1081863977,2074.0418458625,12902.9788143584,"[241][M]+","",171,132580.297332431,573940.428342654,0.23100010172707
"4721",4721,1308.55266126657,1308.53746372352,1308.59619525038,572.414992370605,566.200008850098,595.181975097656,33,0,10,13,1,3239.64643141424,846.593380593404,1094.18425743406,1185.15830715895,1390.97357574717,2403.36955852875,668.496217439789,2349.95940200072,517.540378324074,3036.75359679918,805.644860257293,893.677755312905,1459.40990375884,1080.81301834841,666.425169899501,603.362338373586,7171.16092766768,653035.785347482,625362.006559602,624182.27500841,605562.348696164,574605.697205652,558911.21920705,563239.321140977,559826.320240244,534353.296230418,535230.740644123,379217.346865589,779665.804163579,297316.09585506,690677.652947328,583846.454083622,807328.683686091,415356.099053398,228507.56325648,312980.086321082,708788.009556895,687726.911691039,746904.553849075,515747.809877326,5176.97476721716,1712.73984417793,5798.04177828844,3643.60048180073,1407.37837352045,9020.11712512001,9654.18955387717,3393.35335645037,1920.90702391136,1600.36793865199,3601.5831462768,2037.74192038305,3428.31273104511,3869.51408582443,5198.46524307767,43733.6872260485,"","",171,41000.5079842734,583430.901028012,0.0702748310245994
"4722",4722,1308.88600207266,1308.78871719868,1308.89229877808,572.41601272583,467.019989852905,593.274021148682,34,0,10,13,1,2191.51651625157,856.887989286799,748.401020375267,1145.77100673318,1613.56830258854,2670.99060098964,679.071792460419,1889.6754976711,678.527753744164,2177.16580295004,575.395346437285,874.605745649473,1021.34058761783,899.984829875387,553.241103289276,577.526713288135,5752.27878629565,393293.958961627,373243.938249158,365734.549421817,353701.030744095,335332.135458731,338754.625087066,328884.029283654,326288.748469611,309216.592882136,310273.051710072,236021.014639426,248930.537957753,178714.286627364,445216.259130873,417328.967786643,477600.536838546,236695.489805639,135697.399667996,215767.830090523,403144.836904965,402838.331451416,437582.77450717,294154.38493902,4587.39057416575,1332.09998431163,4563.45527263553,2501.13353222919,1986.31699155364,7341.94708213388,8788.95715453556,3151.25281934201,1479.66172444182,1973.6755041182,3202.68699512844,1977.04758900404,2979.17892385108,3393.49014304933,45423.1025129557,8057.99060768315,"","",171,27570.1876144533,343472.266026797,0.0802690357896389
"4723",4723,1309.2192202167,1309.09479388496,1309.22950885287,572.416016693115,537.70402633667,646.868019104004,33,0,10,13,1,1855.44382165271,960.487742086751,863.772230653837,1010.70997631844,1196.7154457947,1264.24963262256,674.558255835877,1451.07077203556,541.959183230287,1742.66886057864,692.298852248964,564.204916657215,820.989901936232,855.268490327353,644.048693445465,652.903940958881,2826.37301964238,209939.581924276,199374.731275678,190199.921058235,187587.613096561,176985.968021321,173478.890875038,169984.675466721,178659.41664895,159300.630176475,164240.633147729,125396.098106951,140857.746617635,96577.3456858993,298294.606363356,279603.268027925,263132.895388783,143988.393061757,70898.8221118022,101844.466169011,211349.340204394,216336.856884898,226122.761100744,156143.390345951,2965.07454136985,1175.31986646044,2951.59632774638,2270.92711061115,1648.00751926657,4139.26855686626,5920.81439043475,1491.19251849627,1486.81260450519,1565.00541119498,2458.47220654041,1312.44583950675,2151.71954495832,2518.05429179602,2692.09082115974,31340.9737433831,"[241][M+1]+","",171,15826.8178386199,180975.206169098,0.0874529620584145
"4724",4724,1309.55409734503,1309.54024074217,1309.59127628637,572.954983978271,571.71201965332,697.332017059326,35,0,10,13,1,950.275365925498,738.469098612715,866.205673579251,739.628773630224,899.818581154221,966.206423678569,487.069679014509,1146.72724184447,571.836800997145,856.766861027572,663.436062582251,567.172565460205,800.797847897435,664.509637379033,483.275723628203,568.700439230435,1630.67201407452,102250.184235871,71124.8763992236,84758.6437832834,80042.5688772861,86120.2302146284,62907.2221250019,77946.2927593325,76991.3675851375,56004.6712888433,86214.4385796788,75432.3212526872,68081.9101031274,35205.4994015396,110159.510601871,123201.877066791,139611.194511518,61711.0423896974,26938.9195649077,55957.7264546775,98874.1059085295,109661.931839422,104427.851165618,57542.8917075626,2402.86268842313,1259.71375271259,2617.94996584498,1761.56841022462,1332.80705396819,2568.52326829336,3668.94756882498,2160.66378112009,1312.89578282053,1192.12904472354,2351.07097521285,1442.90048624086,1658.49911030394,1952.34209383082,2530.61485662684,9963.51496077735,"[241][M+2]3+","",171,13035.4666362917,78436.0495848287,0.166192289199801
"4726",4726,1310.88551245317,1310.8657271834,1310.90177920234,567.280003204346,522.725007781982,621.63899307251,23,0,5,12,0,387.269361421155,291.683831003805,414.058280357346,414.239911596291,417.197709508985,294.17478294149,275.555766017735,483.889416690916,195.940806009651,144.364462353149,193.1498737567,218.714073647559,282.535857647657,237.230010709217,289.562528854609,339.620025857455,339.090777933598,15052.2709585726,12277.8240473382,12780.556469737,9745.08245088067,13199.9675947428,8145.21199202963,9434.24429601679,13258.2431186736,13060.7182631502,11164.8805445343,11036.027671326,17446.1106069759,39484.0942594921,29858.5212313849,15594.0282463779,69129.7360096425,6517.38712459244,43392.6165062785,9042.90686300956,4437.52342896313,21407.3907749704,16023.1214413286,15644.9234455526,983.503351488709,582.803351860493,984.940296396799,813.015340932179,750.68540528189,849.06216832002,1353.60816656984,1147.24867767841,962.12617273964,775.12445397675,984.96574088037,995.597541770339,707.351192408986,644.704126094214,954.903095112906,692.298493428156,"","",2629,2134.9417945195,11811.8999735676,0.180744994395231
"4727",4727,1311.22027443499,1311.20176421635,1311.23441245049,562.335006256103,523.202977905273,621.63899307251,35,0,10,13,0,654.710941218413,466.085112298174,537.92382293434,478.614742274263,385.889199912548,501.769335476061,290.888198006401,518.884314474982,300.124465967255,269.431783350614,355.572166097709,295.506398600094,491.168550522282,364.018964955716,393.366131869455,440.158710067968,780.470920123446,32489.7699197475,60457.4142972298,43000.1904254034,51043.853823065,48120.6729134603,50639.9349454544,50688.0797026377,44934.0525361709,56678.0070009548,35141.5524975511,68668.3647156693,74770.6175491787,42056.630802763,138529.150094301,109196.942027209,80197.109734565,56471.6442264238,32467.7851531993,79133.8887006885,8904.33118688209,175737.701786868,95031.1843367513,68980.1310764481,1466.99475690244,1077.05793330446,1499.25932161324,889.096862521452,705.404120393749,1126.4428816013,1976.03431937391,941.959920550297,687.062680099825,644.248105482198,756.993886217542,829.731445899233,792.723421084881,686.281618807465,2815.49547382817,1019.48532535495,"","",2277,8753.67761735801,47319.3528061675,0.184991490758874
"4728",4728,1311.55327477649,1311.53029755961,1311.5688081729,561.069003601074,523.202977905273,653.21102142334,37,0,10,13,0,943.927132689527,900.059705313295,650.132356042167,634.566392651626,724.072599291801,855.171193326591,517.413076299708,957.064264684171,452.061990911865,652.909096041694,549.883005322356,617.457080166911,553.260251116008,540.896339235579,507.116597611457,569.387384237349,885.151836988117,113468.35566808,137623.989423712,107059.27260326,101673.461191356,109981.509849411,108098.216887367,97091.3396898036,93111.5135692414,90132.678672054,78472.2465640306,132391.325104197,122562.362351309,73645.6269058306,254056.138112533,214319.883401482,214038.971999781,108498.448565029,59422.1758311818,145528.44705104,23722.5130327818,357962.230403634,188842.274087132,112476.918670745,2111.2790141574,2262.98556266949,2853.98055021589,1464.47038226588,1569.96391011321,1589.98115040059,3812.21935741281,2193.05055338144,1623.92564806236,1420.29142004077,1486.79334009886,1833.13351442479,1507.16848080792,1712.93283407763,12822.3895405978,2427.1515291743,"","",2285,15974.7891909707,103671.258411832,0.154090819728562
"4729",4729,1311.88635630063,1311.83491848696,1311.90459792071,561.065999526978,523.202977905273,653.21102142334,38,0,10,13,0,814.77107635034,606.158357308432,611.150704988212,656.232270874017,559.140099512413,568.362510768573,421.940922292322,778.97816405126,430.319578202131,333.367159526263,318.746294914412,347.075205286282,457.266174549503,365.967159639175,350.928764445774,329.64041855,749.207656128598,122449.089077562,152023.308687158,131638.738272545,139435.737930245,61923.7152684527,112763.973400942,111709.24563847,120054.725890143,102018.667133281,107928.807716411,153357.897395995,144405.975431734,94525.4030615544,283533.688842034,262736.835521192,239846.467176033,141370.967976799,77469.5551819727,153740.86406026,46645.9817398153,441865.155741594,216356.968476437,129918.303383005,1256.03512853836,1004.44894290077,2260.61000991426,1028.06282382485,1127.48458818644,1683.81987422705,3762.05158403942,1215.7898637546,1222.25159379148,1441.84546332806,1107.02602690658,1059.56221531145,1160.59006212815,1216.4951769216,2212.90715107694,1508.21481655272,"","",2278,24410.5723858541,116194.600901521,0.210083533971969
"4730",4730,1312.21985451085,1312.08433453302,1312.24037625355,561.069003601074,559.099011993408,652.476010894775,39,0,10,13,1,831.275570405913,480.594242370936,516.886950944861,576.545703621705,532.941283516586,687.116240346222,332.541780940664,552.558234916379,340.558114024397,446.79959397763,359.266627523383,299.445466761291,435.892465934157,295.567363044744,323.4180200845,313.262760032465,710.863390994924,128255.772672258,123553.020453449,127868.843881078,114816.502487683,109362.860605814,69742.2047331779,100687.050726144,118210.562928818,100570.090247445,101245.516067484,135289.372887937,125223.353348356,85693.5050306395,247166.438109115,233667.196478276,240601.702697312,126868.599676814,64870.36136529,36383.3076996853,42026.8204655724,402299.472298846,194312.223189404,115497.245974564,2008.13546520472,940.453368504718,1395.99393929839,584.135016695862,685.541019005002,1181.93242703343,3702.2766046773,1267.08110815287,647.336506088575,828.08936230198,954.017611382902,659.651474136673,826.173909170204,814.855863908854,2742.53692060336,63133.5106353275,"","",2279,17628.9585215025,109431.242480335,0.161096210935103
"4731",4731,1312.55416575447,1312.52754457329,1312.59336250784,561.06700088501,552.215995941162,653.714026947021,39,0,9,13,1,884.972242734262,738.938840173309,583.330334944917,688.330399542781,857.319510406682,617.551861084501,473.45002693062,957.596893009331,370.796772943706,723.757242278329,629.602617550907,595.407473159209,660.339169560798,423.420235609015,509.626116198887,444.378873143345,812.274810259364,91119.5540798903,87494.9057053798,101516.246065477,77176.9490642659,58239.3653006852,74470.2142396756,81127.2980264621,83801.5327965914,64901.5520668549,72690.4225883102,103715.270527709,90744.960005366,56454.0442802128,184707.883539679,172048.331624403,165864.386894088,94735.9176875092,47906.1733198051,119723.330839114,33270.731053603,284949.182195775,141656.434606209,96277.2222211398,1981.44537402264,1826.39017822141,2764.03808220103,1449.8325197573,2055.94290147275,1829.86022081673,3155.84203242989,1778.37383376701,1677.2248730263,1534.5710754104,1647.98865624544,1517.79429309656,1437.77615744621,1618.2610253077,7544.35988902176,109247.508099981,"","",2280,12677.1348342171,79253.8039933592,0.159956168605855
"4732",4732,1312.89085067529,1312.85692789132,1312.90057348307,577.500975646973,550.335990447998,652.526021575928,47,0,10,13,0,1967.56074033465,1019.53639932696,1220.50954630829,1079.79945638403,1492.06948775418,1068.43372191768,583.781294717143,1285.50762105738,506.518173541608,1345.82658895268,863.833219170216,700.86203836021,574.017349610194,705.651652369249,643.428613667169,576.905266357453,2061.29422072811,132971.284130571,98549.1768390284,135628.720501219,138926.175141957,133419.168689512,110263.700156124,118705.280730422,121146.675008957,110280.921204854,119668.434437436,138793.923985721,186016.331955045,54869.3754133768,279815.863274733,220963.861710553,199579.228755929,98729.6703451127,58007.998774481,83575.8803848922,173175.653755687,127712.462176681,143921.141859463,181363.068956633,2747.42192560045,1350.64006406033,3468.00665583621,2374.20721179247,1720.03079111835,3728.40531879896,4389.12013034735,2579.86975564843,1760.64061227946,1850.88515306238,2448.35064573213,1261.41337706574,1738.87978172077,2648.91085223605,2528.76366511546,4315.27145275633,"","",1741,13186.7892690115,121955.953684008,0.108127474474751
"4733",4733,1313.22767139673,1313.09598246081,1313.2340993535,577.501496124268,550.335990447998,652.476010894775,40,0,10,13,1,2398.98948105983,1042.05480786401,1378.32778694108,1143.92901975922,1359.54853015251,1218.75117550359,1079.62341508865,1227.15726512512,499.394779171025,1600.67789375605,933.672992337199,871.892286804505,1142.90836849546,1075.94871698879,698.616613842733,787.43422719324,3442.25346389422,229896.454952639,223601.800681092,224187.99465512,213188.163619093,200143.879268132,195190.326668085,192459.445917998,193869.862777238,193484.020772597,187063.152805956,145763.895749003,286416.542285328,57301.9563270584,386139.769001156,250719.999416023,314788.049549935,153286.532443166,68614.0993960879,112740.23828363,271962.052524232,128208.080148392,140447.038007807,217895.403968543,4530.12853257682,1636.95833577127,3705.62883445912,2410.45524743153,1364.19719695672,3837.86875923588,6107.59750726884,2329.07244784798,1374.93729874978,1376.99587195934,2888.20122165638,1821.72875544688,1704.97193459757,2889.37892513553,3232.54959689696,97489.4390974659,"","",1756,15830.4879905444,205308.510211795,0.0771058538889294
