"","X","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","Gb","QC","Sf","Wb","IE_20170919_01401","IE_20170919_01601","IE_20170919_02301","IE_20170919_02401","IE_20170919_03001","IE_20170919_03101","IE_20170919_03301","IE_20170919_03501","IE_20170919_03601","IE_20170919_04001","IE_20170919_04201","IE_20170919_04401","IE_20170919_06401","IE_20170919_06501","IE_20170919_06601","IE_20170919_06701","IE_20170919_06801","IE_20170919_01301","IE_20170919_01901","IE_20170919_02501","IE_20170919_03201","IE_20170919_03801","IE_20170919_04501","IE_20170919_05101","IE_20170919_05701","IE_20170919_06301","IE_20170919_06901","IE_20170919_01701","IE_20170919_01801","IE_20170919_02001","IE_20170919_02601","IE_20170919_02701","IE_20170919_02801","IE_20170919_02901","IE_20170919_03401","IE_20170919_03901","IE_20170919_05301","IE_20170919_05401","IE_20170919_05801","IE_20170919_06101","IE_20170919_01501","IE_20170919_02101","IE_20170919_02201","IE_20170919_03701","IE_20170919_04101","IE_20170919_04301","IE_20170919_04601","IE_20170919_04701","IE_20170919_04801","IE_20170919_05001","IE_20170919_05201","IE_20170919_05501","IE_20170919_05601","IE_20170919_05901","IE_20170919_06001","IE_20170919_06201","isotopes","adduct","pcgroup","SD","MEAN","CV","fss","[M-H]-"
"1473",1473,434.065337945563,434.063395374792,434.230866127059,442.873012237549,384.107997207642,556.592976837158,69,13,10,2,0,6065.49013887922,7906.28498902544,146001.957904619,181343.728288894,1063373.742946,1487.52523780777,110564.772508953,386378.372614035,35907.8112322793,45742.915214086,2544909.95618003,329.410277130897,772218.990540041,327161.196841337,318084.885626409,447.249355961297,866710.163187683,124071.701406231,136969.944626243,112779.233109064,135246.169055346,135096.197953145,145973.297533146,144826.065986066,131415.291327308,131131.558494195,137777.362467179,188.620378216729,560.727718738373,164.309338378906,13150.3549915007,360.748777883974,167.347462005659,267.176872392107,7708.88703813893,241.806556748119,290.701744600432,326.26429187553,246.043969491217,381.66753982186,787.841609931551,306.778056881391,156.217817826705,239.971023468639,323.849043300037,468.024080821197,267.338865505361,325.291577953415,204.2547403879,329.099651908036,223.222113706404,263.942115523076,486.542196839737,255.450928840194,279.442881137657,169.639541632961,"","[M-H]- 435.077",81,9706.73600814313,133528.682195792,0.0726940148627409,8179062.83796655,TRUE
"5",5,80.9156170055648,80.9143740834784,80.9641793941118,121.71499382019,26.7810004043579,124.440997200012,74,17,10,13,15,38206.4686373448,23922.2012972889,30875.1165869176,27186.5227205493,42733.6052085558,29212.2901465361,30581.8941965145,27005.5805536171,26522.0670476716,28621.9136370457,30795.0192580547,27777.3828005721,22963.3404534463,37408.7068027204,44526.4878002794,43242.629106313,22796.5617315006,33762.2634926995,31065.3405834544,31711.5962226146,31950.596567889,21009.4811217976,28654.637797524,40914.1673190915,36840.1728189964,38514.7338266233,36084.8055064971,22820.7506751225,17976.7028356405,78567.5005171695,81643.1483898706,42427.2295807392,28882.8686166926,25300.3415154029,15048.1539677192,8295.51732901833,63427.0033041614,10230.5062646173,31944.9410963319,26229.77104966,24065.0046930374,14644.611765877,20274.2136566223,15507.1715235113,30916.8331818868,48739.1476686554,14054.0988738434,31038.4030662154,29614.9690906954,19107.8039171691,26189.659446071,26072.4361610902,44355.9522314946,18059.103783286,53718.7902772083,17517.0626612578,"","[M-H]- 81.9242",83,5647.2549910938,33050.7795257187,0.170866015026948,1751555.28038218,TRUE
"3838",3838,1402.23842229868,1402.21595697648,1402.24503011441,584.397986526489,583.291008453369,623.560004119873,16,0,0,11,0,88.6624654134115,132.565490722656,138.890381030738,124.793151855469,96.0616910997778,282.530480675399,153.652648925781,149.627695150906,78.3223876953125,252.212181195617,161.330666148237,100.748217489038,129.326538085938,185.686361675461,129.978058270644,115.286248093471,162.628402418643,2343.67622852325,2705.36944549531,2609.78765615395,2599.63560228546,2232.39605230279,3656.33541720112,3466.17526351412,3509.40247354656,3780.60663115446,3151.34710101783,15912.0589110042,27678.0859026406,9178.97775864601,8215.90443706512,15278.1901710667,20943.2105328826,39316.5328759532,31774.9396391024,8201.02686879039,5880.00580912828,22090.7222891792,38104.8026993964,81448.0432548956,78.216552734375,35.8660452706473,70.3424341438028,75.97412109375,52.6150948660714,21.3187779017857,168.246612548828,122.109343042996,57.0317034040179,102.504023574293,70.2745891788176,137.333436220884,79.9292774889618,113.801383482558,179.907453006266,69.1884992058788,"","[M-H]- 1403.24",93,573.379914529959,3005.47318711948,0.190778582549758,357994.195434056,TRUE
"3837",3837,1401.90164599467,1401.88254854644,1402.0539058189,585.019972839355,583.291008453369,650.067991790771,15,0,0,8,1,119.959384494358,57.3202989366319,90.797384743734,147.349647317614,346.773853518814,134.561364483295,45.9437586708615,118.642049153646,55.556640625,60.4241333007812,107.703018161384,178.275395507096,61.0635270404164,154.701266818576,132.982349787017,206.984650372927,143.189939934295,2182.85520051867,2173.58973648772,2187.58163110742,2419.69772703201,2009.7191356279,2623.26774545684,2758.89297968596,2796.04184814377,2656.3358673534,2566.46816736294,10835.5611417871,19724.9409388499,6985.96707203156,6269.69399090111,9183.55451126893,12613.0836356655,28766.2012149229,19100.7695402149,5307.44938446913,3033.15840787772,12075.5480727386,29407.0892351265,50182.2873547538,120.490067915483,120.185858832465,30471.9308737246,99.3026916503906,74.9253479003906,121.830722955242,61.7231987847222,114.007102047855,81.9534638291225,121.376730305039,124.605109880848,131.87559979409,243.305056281388,111.701316132107,109.811515432375,218.242907556146,"","[M-H]- 1402.9",93,281.097538498082,2437.44500387766,0.115324669090335,272349.250765273,TRUE
"3932",3932,1441.25698038494,1441.25196318725,1441.2597707788,584.393005371094,583.291008453369,584.400972595215,8,0,0,8,0,77.3136698404948,43.8966606760708,51.840087890625,31.7621567346156,72.5364549737424,171.181566847222,154.38432820638,157.137251435779,64.0692985514179,235.979249841667,84.8232964732285,84.7097396850586,92.4550439471379,95.7672655060887,195.525687457994,34.1742919921875,225.627978515625,724.831089382725,690.552165637059,808.173531404696,1349.82755294868,1372.52868280107,877.680535663185,933.452799263809,1109.57581466649,1072.73563442645,1024.33655229211,9951.59198851883,12112.0279154778,6204.17805310339,5266.38501321258,8874.13618806005,9455.52662694454,25119.8177695045,18135.4444481945,4447.32309564948,1367.95966565609,10250.5697788647,17265.515108034,49261.5408793255,87.6740338802338,98.7889317103795,217.288521646212,207.058243305555,144.601666181814,126.767826350672,88.2763671875,145.883998325893,61.5065765380859,124.273238796741,40.8535528715168,178.627918311705,72.1586989512046,99.1839048170618,119.303657923176,92.2455239295959,"","[M-H]- 1442.26",93,237.247782497803,996.369435848627,0.23811226434875,191453.387578335,TRUE
"1900",1900,527.353149867274,527.248501768345,527.355538090268,359.857492523193,331.413993988037,409.483993148804,76,11,10,13,16,7921.01646549777,12237.2206101882,12648.6355861649,9578.68823759893,108141.621057476,48082.5205345948,50585.802901331,67459.8598062288,7173.13795949732,7512.12408965686,7414.77343045194,7473.52180160529,10017.4978798807,41840.6200567726,23439.4186540642,26983.7406731094,23148.279310269,432360.11858688,430793.380606857,427355.374742066,436664.300255726,422135.625831958,442334.647439222,436500.323175558,441151.380493181,433076.290632629,424776.277726187,10377.1613514097,75129.759652447,23400.1822322421,32139.9153852165,14053.2799931637,8180.18461969554,39730.2725943378,27111.2090544205,143933.141404708,30273.0784626511,7291.75616476685,18787.6751177405,18813.6936663111,1025015.93505498,1699400.15881589,1715199.40032875,808885.006601771,971629.579673315,1664310.55105805,56798.1389389412,832103.354545186,2959798.04695744,1354839.03062244,804423.847573921,1891526.3779001,1102680.33151759,1710417.16477573,2957680.68181687,668313.178603965,"","[M-H]- 528.356",100,6677.13279349948,432714.771949026,0.0154307946627855,27471048.2930287,TRUE
"325",325,198.797238322875,198.79683499131,198.798954929211,122.794997291565,121.653993759155,123.24300453186,7,0,0,7,0,9880.30343277094,9956.13747923103,6063.55435455251,5937.83029707165,9184.04267693155,10748.1775263743,7798.13251370564,8002.62596860249,11544.9881848882,7846.58433740998,8436.51401719602,8056.41079274755,9263.90280708957,8347.62539590509,7996.74718903045,11519.304876791,8788.97340036579,8625.71483842967,9182.15420716422,9202.92930551991,9546.19727187807,8722.53984806001,9309.65598686908,9871.65748036008,9875.75007193958,8319.46993966575,8574.66365626536,12742.7276645867,12869.5048509265,10273.8307942477,10873.7933183754,12232.730625194,19437.7556681813,15865.634371125,11950.1631056088,10298.2071062664,12965.8739606598,13432.3083891024,11942.6660498331,11516.5922786789,7000.26294814888,8240.69056071314,6199.13143973895,9403.81164677205,7522.13183174297,9556.83743166684,10684.9413735286,11598.788463989,7840.04721889459,5053.95333806798,12829.3054792727,7413.73692038498,11810.4767003976,5853.56098214695,6297.04198154005,4618.76690019295,"","[M-H]- 199.801",101,548.223303188386,9123.07326061517,0.060091954490281,538927.8612568,TRUE
"78",78,128.959614219883,128.957835559473,128.960794663912,299.218988571167,296.312002563477,308.640003204346,77,17,10,13,16,3751459.31919741,2412708.36688131,3285816.72104592,2464895.02567947,3120141.26532213,3774487.87372224,4999093.2184995,3695524.09843486,3038428.2539242,4448656.56858202,3516148.55911413,4667321.77982326,3732727.20684648,2775596.08654482,4294203.87522742,4073775.20677761,4927940.162146,3395089.87815082,3438593.88951525,3484238.16866286,3457016.17374804,3519575.20309769,3607095.52190848,3571011.99016392,3648806.53242689,3620947.45321026,3635088.25575404,3147257.82258511,3204168.58777553,4302678.24920002,3488861.05816707,2991333.84082524,2943255.30846477,3382883.69413828,4001461.4121822,2972848.81047785,3771713.31013553,3010363.30133976,3273294.18566369,2710416.6061811,3673333.81868215,2914437.6022675,2794132.63125161,2039241.13091359,2903476.6980046,3464603.94445343,2604242.70003028,3159327.89534361,3440397.33014305,3350045.90926917,2923079.92616476,2769199.61796291,3391720.74750147,2801345.12804545,2309140.42255696,3163277.31370874,"[4][M]-","[M-H]- 129.967",102,91007.2656195203,3537746.30666383,0.0257246443726323,189257925.657842,TRUE
"1226",1226,380.842605299735,380.841267687249,380.844470281802,299.268996505737,296.312002563477,301.096014099121,63,17,10,13,16,3109366.37468845,3276054.54574877,2703116.45531534,3502218.5368886,2537083.13946266,3112787.39085682,2248694.23780069,3014045.28328604,2501141.16059019,3485185.24394137,2829677.73241818,3756118.88556235,3000086.25303511,3846345.95360298,3430254.91118144,3262651.18902639,3840512.92162102,2798461.7864127,2812866.54336501,2830689.09616398,2810483.59372169,2847528.65632866,2911611.30188464,2906240.53627163,2943673.32494974,2893121.43222,2917052.44482933,2574967.63159739,2584295.4509823,3338108.98614636,2688996.18428822,2463172.9776118,2402340.93651095,2745590.5241575,3105266.17213294,2448277.63554727,3032839.2232765,2431572.09402958,2637449.60842571,2160371.98046654,2990684.97687461,2400839.53459999,2306076.54893716,1673722.24371506,2387588.2074219,2794996.16495981,2112303.82458558,2551980.4545297,2764496.2439229,2733851.15599373,2378578.03137421,2270543.74643324,2749707.99126818,2305674.63082457,3223795.15159607,2564108.46870278,"[28][M]-","[M-H]- 381.85",102,52826.4467642267,2867172.87161474,0.018424576797309,156949265.712086,TRUE
"3127",3127,1013.05127377754,1013.04806481423,1013.05401207896,299.227987251282,296.312002563477,301.479991226196,56,17,10,13,16,61882.5807099463,67527.4337318576,59360.7272290403,91103.0838653701,58928.4548860312,75146.7699633509,107853.990582117,71985.8427960447,46433.2373838659,87353.9116793143,67043.9545927829,103121.404492646,74893.3804879664,109214.764526543,94872.3706728694,81730.0204247998,107777.533148357,64055.9097738836,61375.9782564826,63872.4530203162,67024.8999599047,67404.9959603909,71921.5136495672,75010.3059987338,75507.2178800093,72217.1393843684,75559.90930642,42788.2547636799,50069.9424369447,79402.888551999,59861.8442174145,49196.1877087543,47639.4249658223,60090.4726038803,79731.0324250453,47981.3409196824,72274.6600591879,48187.5162930195,56757.3241692048,44046.6696535541,65200.3590968238,48800.8519939708,49992.8677877019,25523.5312344492,54021.9247352773,70394.1961193391,40629.8189652773,56725.6093314296,65478.6660993206,68398.594651381,51043.3006017702,49758.1659313641,66177.5139638409,48702.9495300149,84074.1561925758,61828.682507663,"","[M-H]- 1014.06",102,5313.83233886873,69395.0323190077,0.0765736704961984,3704958.53187337,TRUE
"3131",3131,1014.05031815192,1014.04647751768,1014.05277662576,299.214510345459,297.04999710083,301.727999343872,56,17,10,13,16,29566.4638751914,35478.6599425998,31359.7298375785,49581.6009064367,31237.9015069002,39790.3471595452,59385.5520493525,39606.1034026143,26724.9468687946,45959.7140744333,33614.9624419557,54962.1305181063,37695.3272185438,58641.4284787443,47576.5900993916,42420.9682081826,58246.15378374,33498.9435504447,30304.0813362471,35794.169242006,33155.6693369536,34192.3629894701,38301.3621579423,39089.1274671983,35774.1600935111,36583.8364463707,39870.0753198238,22636.7784395271,21085.8484926773,43443.1645878608,32496.11838251,24086.0307466798,23783.0194412321,31131.2070499468,42435.2347196918,26980.5064936564,39734.0322875881,26600.726517085,30986.3426569889,23082.0247256564,31229.1780619203,24894.0843077732,25097.4118732573,13693.3614959847,27357.4376189962,36699.6099614685,19222.3939921839,29568.3813861845,34072.8215033388,36292.1310662439,25478.62122532,24583.2773556467,35733.9620588027,24068.3338762319,44836.3978999289,31204.8047279823,"","[M-H]- 1015.06 [M-H-HCOOH]- 1061.05",102,2965.10221241304,35656.3787939968,0.083157693313272,1930925.61126444,TRUE
"3195",3195,1057.53004447659,1057.52629938111,1057.53357609585,299.213500099182,296.312002563477,301.99798576355,56,17,10,13,16,28292.7515526335,27292.94490141,26840.076943064,39243.7225185024,28467.8106525145,33483.9758521675,46968.7249856142,32393.5040418835,23222.3491999701,38812.3044787474,31714.3052127399,47385.5252819273,33874.112446741,48180.994440956,43157.1044820461,35981.2476664673,44792.8117047918,25689.8527499672,24518.6940402538,30149.4178755167,31204.6930713978,33108.1335811849,31365.4675634089,34433.0922806126,32606.4325807965,32061.9283751212,35168.3406997647,17576.6649497551,20546.2723243304,37200.4377347656,27154.3280196609,24453.5865046358,21890.5007930625,26670.5976220272,33872.8983297508,21064.5369896722,33745.4005035592,23727.4957917631,28057.557920679,18066.9988874605,27961.2421220285,22045.2598826128,22367.673108735,10693.3622577772,24397.4604025677,31669.971189034,20723.2706282022,24235.1335334855,31336.5138120442,33853.2494029251,23277.5231530288,22326.7765204587,31234.2129000847,24920.9903316056,39811.9534580702,27995.7128747639,"","[M-H]- 1058.54 [M-H-CH2O]- 1088.54",102,3470.64373111854,31030.6052818024,0.111845827678839,1673287.90112875,TRUE
"3197",3197,1058.52746765385,1058.52337668777,1058.53001631082,299.212991256714,296.312002563477,301.479991226196,55,17,10,12,16,28451.8929992162,26444.8477030877,25615.7103137346,36759.7312472155,28905.9824766977,33819.602262964,48642.6407457158,32382.9190473035,24640.436484076,37756.8329944046,33757.0931158012,44585.8786360102,29910.7539369014,43049.0779380307,42535.6869672658,36512.2812765019,46184.6754047728,27049.8871672489,29080.1304765212,29673.6702955727,30821.6231897277,32428.9193114055,30694.3325594073,33080.8717357053,32230.9690163005,32094.6415051189,35217.1578637807,21772.906420999,20834.4801045222,36728.1852348003,28042.6326515075,20884.6290923351,17718.2614751346,24796.6989005727,32882.7859153342,22320.4689493323,33220.5682790568,20959.8600999697,27423.1706992878,20786.2031882978,28539.0010017636,20984.6259631977,22054.9086885009,14611.7298171254,25472.883411067,32666.2563678276,21833.5207617347,28070.6084965046,29990.3939671855,30501.1853511428,24533.686738315,23901.3633827567,32112.0998407993,23408.4956905281,39558.4688009933,27689.6961359371,"","[M-H]- 1059.54 [M-H-COCH2]- 1101.53",102,2296.8756494271,31237.2203120789,0.073530090913337,1666628.02209702,TRUE
