"","X","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","Gb","QC","Sf","Wb","IE_20171003_01601","IE_20171003_01801","IE_20171003_02301","IE_20171003_02501","IE_20171003_02801","IE_20171003_03401","IE_20171003_03601","IE_20171003_04001","IE_20171003_04101","IE_20171003_04801","IE_20171003_04901","IE_20171003_05101","IE_20171003_05301","IE_20171003_05601","IE_20171003_06201","IE_20171003_06301","IE_20171003_06801","IE_20171003_06901","IE_20171003_01301","IE_20171003_02001","IE_20171003_02601","IE_20171003_03201","IE_20171003_03801","IE_20171003_04401","IE_20171003_05001","IE_20171003_05701","IE_20171003_06401","IE_20171003_07001","IE_20171003_01701","IE_20171003_02201","IE_20171003_02401","IE_20171003_03101","IE_20171003_03301","IE_20171003_04301","IE_20171003_04601","IE_20171003_04701","IE_20171003_05401","IE_20171003_05901","IE_20171003_06101","IE_20171003_06501","IE_20171003_06601","IE_20171003_01401","IE_20171003_01501","IE_20171003_01901","IE_20171003_02101","IE_20171003_02701","IE_20171003_02901","IE_20171003_03001","IE_20171003_03501","IE_20171003_03901","IE_20171003_04201","IE_20171003_04501","IE_20171003_05201","IE_20171003_05501","IE_20171003_05801","IE_20171003_06001","IE_20171003_06701","isotopes","adduct","pcgroup","SD","MEAN","CV"
"3527",3527,1304.86643213684,1304.84720117219,1304.90856848084,325.351000404358,314.661995849609,337.632989425659,36,0,8,11,2,282.808233282698,184.334199711003,235.595691221844,177.916309181834,266.666585057275,208.560649450868,282.138109447062,381.560518861875,152.669432859169,187.035822517627,273.724299390257,326.502807639772,230.558403751051,199.476924651302,331.086318699333,243.007466634115,217.906656901042,160.683031668696,27475.00394098,36223.9279850107,35789.3862979487,36671.1489135586,35220.8455085847,36730.0010666228,36039.6591354534,32730.516862933,115.363748443872,108.73713684082,38960.6354880227,150879.290161185,104236.961089439,106288.205996573,920.947000863031,103358.546879542,794.793973476347,273307.741747683,229685.39048172,172639.627846308,72712.810231481,158369.302868759,185736.558889153,520.585600016406,1144.6486462947,1309.1251670979,237.041195956143,316.020176757127,406.43564709425,755.442222397774,981.868917447515,840.474323355,212.497257351503,376.739104459528,10004.9350452237,947.355446046218,23727.7066659623,317.799770035866,586.03429641109,"","",470,3153.14215212726,34610.0612138865,0.0911047840291635
"3528",3528,1305.19819949667,1304.99264300445,1305.20946501741,337.043005905151,262.835010757446,346.335988922119,61,0,8,13,3,253.405000633137,50.1216064453125,377.618028269065,200.807173463702,233.576694926755,152.436318220401,153.365674546115,175.94516374236,237.465324881797,205.841792595954,136.581463873725,232.43435263312,239.075982452743,108.049835205078,156.25393761106,274.972496435512,261.108407930556,192.899895453995,96129.6715494681,136900.520421956,121135.309164533,112526.68447706,113639.614742607,112907.655645039,127018.999558293,110009.828805383,360.957914140837,526.380798341706,46961.344702763,85789.0116871949,17864.9990494007,100255.314796643,10962.8674136591,53330.8856236842,15081.6837496818,96656.1316248488,22462.9143433859,22165.1220690506,16483.2363159698,10344.018536011,180024.751565648,450.557393263179,11012.7877785665,413.687406347218,481.706035809979,347.695083868774,1335.84761463851,18530.7383552846,10858.8267782994,533.539847695184,203.195396671156,307.016989100724,430.257271838205,443.600586721928,498.177883176635,264.120730129847,329.758698599582,"","",1848,12200.0491961105,116283.535545542,0.104916393699884
"3529",3529,1305.19766651915,1305.18798151724,1305.20056922398,189.887003898621,170.640993118286,193.030005226135,11,10,0,1,0,18118.8707827907,12197.4622990564,10297.4239798961,7390.78847953049,495.917028683471,16254.9061498237,36746.4665557262,770.312961348798,289.841123884358,37125.3625030925,339.150620403134,21997.7204666287,28919.5529837969,254.221909980415,26015.8584347867,562.915370325164,22827.8220831091,276.499156300112,3199.52675600644,3769.78757537529,3221.79086133306,3350.00659727159,2853.76535960107,2281.12826490828,2821.40643752879,2404.47774253965,35.4324972970145,10.4984654017857,697.599651953871,1359.59579648789,778.366764121972,1138.13303167111,1273.30619894061,932.838294420391,1162.04065323089,778.253663627198,770.463135132974,744.133710393882,1309.99125703817,31650.665441508,1177.49946433206,371.908782657119,242.793522695483,267.48614284027,187.458759783435,152.913413486676,360.749286938367,433.999393623422,250.878308335303,337.18119289126,407.511338328925,232.751092116814,206.860572325263,239.657716819468,445.377001029341,304.853771785274,203.492500787744,"[290][M+2]-","",100,496.786817841198,2987.73619932052,0.166275328442377
"3530",3530,1305.53652684592,1305.51426197678,1305.55170451731,325.347988815308,268.861998062134,346.335988922119,71,0,8,13,12,78.9692039526999,53.6212805752746,209.497823994607,188.623949337751,94.3369895530244,122.266730364826,84.2734375,81.3927280328547,89.2667694091797,236.445911324687,59.805286376944,134.547256463052,72.9004215379246,128.573094158899,151.692060854286,193.710063407198,113.925672418955,176.222292710199,8113.71332261944,11958.629705194,10329.4703468084,11537.1059389754,9676.13528973889,10959.0055571669,13225.3349679883,9270.6466136165,0,47.7574462890625,10059.4644699432,49618.1183371736,33336.6185184289,44480.8222335577,12987.6545064617,34526.0427190829,17273.7253153464,89598.9109454404,74196.1900211871,56905.0628531463,20425.0356724326,52129.2953279335,29166.9819174349,69156.4061800959,30785.0753032097,24379.0362335156,433.249948242679,18347.138683185,15515.8523945269,14891.0663244277,102394.882437584,53242.7948738438,401.661914327182,751.368336223066,30671.7406163342,24036.0585489563,92860.1817513576,359.539884803144,28650.2204850304,"","",470,1630.58752545729,10633.7552177635,0.153340705335536
"3532",3532,1305.85255527301,1305.84864403429,1305.85825001253,324.71700668335,324.090998535156,325.351997146606,9,0,0,9,0,171.415854832157,108.133388004809,216.719926843993,140.339060607211,211.456149699166,238.182309237393,169.529962158203,187.87655790026,185.275873314081,196.756752154933,160.211841078368,90.9140134748931,128.013093703426,216.349614923651,234.225187413108,281.145228057383,96.7450146177211,96.7013498942057,2812.5524318628,4262.10074581883,4251.9313795846,5390.29486530274,2608.61575820018,2889.911372751,4301.24843237735,5075.54743856903,62.373368696733,19.9060613458807,1993.42348823408,23960.3053251966,16175.3804457098,8713.27575388517,240.393833157839,15128.7939731407,311.893070465885,43347.2538306356,34834.2746803261,23968.1847404788,13121.3663090626,24197.9647949948,10454.8812730158,930.173413215205,1498.1922641214,1287.45552855713,285.439303752035,198.919614488259,361.13529719243,614.317442933256,1671.26587686501,1111.87842122892,339.847175112502,598.365682331845,2084.56465125149,767.651942618005,4390.27959296987,379.593512869809,763.131763747893,"","",1128,1060.33217046173,3949.02530305832,0.268504780063211
"3534",3534,1306.19511995146,1306.18706681091,1306.19811009317,189.905000457764,170.640993118286,193.030005226135,11,10,0,1,0,18739.3561131533,11040.6521084282,9948.43564379204,5784.32365758577,298.360591195237,15211.4818699379,31950.0522470695,416.990482069585,345.059478187824,31275.543006147,374.525515401503,19592.5255347983,26008.0781918188,235.34348129185,25072.3919466947,497.999347427028,20650.7581300931,383.988051148038,2750.14809556855,3536.25455766913,2679.77059326223,2618.72291812099,2449.79583207903,2511.10149562705,2433.02343566418,2079.27460898409,6.91473170689174,38.3501837594169,521.498747014308,938.12222161317,468.9321234331,1063.50721909339,923.542391234078,399.938630926689,1064.54730391263,779.021359357218,660.858477702431,802.826384222501,1029.62890453557,26969.6475807657,1314.09041526235,246.134715583217,471.753065459927,223.140999930246,379.859880070269,236.322013907401,247.031229702806,491.439386973631,357.189686427126,381.398810775718,390.016453170916,312.182787302823,259.335145840305,432.493312268984,519.191936022569,286.297239825662,246.624963507721,"[290][M+3]-","",100,418.672200349052,2632.26144212191,0.159054185746669
"3535",3535,1306.20210270495,1306.18353754475,1306.21059651765,344.616991233826,324.628008041382,346.335988922119,40,0,8,13,0,289.047648814435,183.115976186899,1161.79509256314,266.864244889181,378.787722544601,381.58608029258,256.268897777853,557.957557826446,188.402666237277,383.035166897918,159.295875466823,681.497844817403,180.924861601912,243.444305918,427.591288162825,493.498927970918,329.993203208627,216.604882601726,176887.38884931,259091.118955344,225514.383468764,209766.392358579,212096.164660749,216660.928839291,238254.598617498,237584.017943728,1598.15045835336,2195.03634971208,103824.753482756,83436.6597637431,38075.1159724975,43620.9688231518,10935.641520381,170966.201080899,62664.2301927382,136698.218984117,18781.4943119755,67132.363912171,117206.434235306,22743.3328338312,247790.388366077,710.622929651648,515.542217745231,285.721271513746,593.561681434512,658.709098264575,2929.07060923284,6049.55224759702,330.569449681789,440.346259728898,190.217763187113,516.814246566035,647.348255899771,1662.41304155971,230.573557072047,265.17834899967,679.036610906711,"","",508,24514.0584612803,221981.874211658,0.11043270333823
"3537",3537,1306.69460806891,1306.52006946809,1306.69678497032,189.887003898621,170.640993118286,193.030005226135,11,10,0,1,0,13786.5221329982,9321.87171878759,7919.56452847253,5272.90545028495,286.141499116064,12360.1823166851,22088.0559503,425.12916501173,331.859831276217,25118.5478130817,409.091021850239,14839.7128985999,18696.5416764023,87.8908138679002,15903.4922784471,198.360355394554,14880.2488780208,146.637802668304,2608.25511819939,2489.67274826396,1960.67389019293,1795.13885121139,1515.11506847451,1251.46784175708,2082.14656162456,1282.4769594772,23.922207159223,25.1446533203125,250.053210033996,479.783974021925,283.298252074979,210.241999964443,319.883765759878,288.922711100488,256.601834224653,318.200219707108,142.487871800316,101.192472013354,325.601976704531,19284.1229728695,350.614496207253,338.840437433372,182.558559738583,129.119222520851,327.277209973778,137.87654126444,293.378661137385,326.455585595395,190.011750116653,223.621989848092,530.608652439667,141.245987172239,387.968057738786,341.720762284414,381.681462953121,125.574176946073,150.258064870024,"[290][M+4]2-","",100,512.901817151676,1873.11837990013,0.273822425029551
"3538",3538,1306.86906733228,1306.86375686505,1307.02852989871,345.325001144409,314.661995849609,371.128005981445,27,0,8,11,2,145.015194841567,151.503412381808,673.088493411429,279.912905418314,228.632718663663,335.570235303603,76.6381436256259,318.265648534894,168.11070793142,187.369911749847,156.109507969448,432.136600493919,294.788004824085,281.863941729069,220.174442850985,193.399210611979,125.223852085482,180.651501333341,78883.7160131807,139988.848081345,100522.597449813,95053.1071744161,96158.3005112037,97576.8897219024,110694.309368134,108675.914648861,714.38177225925,753.217406260315,56313.5798435281,49573.8793793532,14564.7650067035,23154.7294625704,8455.88912398421,79413.8623744729,25597.3878488453,78082.3811097254,9361.36383925139,29084.8747548729,51032.6688907798,8863.37469457212,108870.906828786,688.910705911661,529.260600217718,590.020986879045,472.194610980805,500.795911363171,1433.07503895984,12199.3191446164,530.222954159536,541.188760642141,270.965710282492,399.216977875322,343.056277817348,1112.00282570374,14576.8873689696,232.042772906522,461.865812547904,"[291][M]3-","",552,17668.0480876858,103444.210371107,0.17079784382617
"3539",3539,1307.04605344054,1307.01932011836,1307.19663191123,269.509991149902,187.980005950928,290.08301361084,30,6,7,1,12,11653.510883119,163.946216224169,708.592248570174,387.70771727297,464.497550360238,10927.7296417672,15735.1687352895,178.70564991898,236.295461400102,20892.0355350024,143.816933989007,13608.905449572,16445.8840720501,565.999667532742,161.617656969362,130.622486769843,309.469845612533,160.091224625396,10818.9345858479,13908.6630795617,13473.3671062859,12212.0082090693,5598.73146108538,15094.1450615767,15002.4255237309,11537.0448394865,49.6793551974826,27.5301920572917,101.663402577241,99.2310990492503,144.235123702221,276.396418134371,122.938715082231,281.449600558107,97.1703500849091,41961.7924463805,76.5605061848958,111.254336228594,157.400971481887,100.714300192194,89.2786492241753,59273.1712740025,27120.9525057999,20401.0177154748,655.596598259057,15152.480543031,18124.1448030621,19153.9530429831,104255.476204286,43477.8120924043,3346.26940334197,2677.1422364006,26589.1660413193,18414.8758704989,82152.0293409587,298.129207608872,24524.2482195369,"","",1628,3086.7028818793,12205.6649833305,0.252891004799399
"3540",3540,1307.20219256356,1307.19842584917,1307.20617877003,345.554997901917,336.755011367798,346.335988922119,20,0,8,9,0,322.952911783296,26.0663311298077,401.435210310693,108.40620640346,157.797408416294,338.699561356656,317.377768664549,151.73658574566,192.907313863532,191.501950777494,142.325958251953,181.985243577224,124.920324966455,87.935933154148,191.565737270822,157.796210918842,182.339233398438,66.294198843149,46975.9615381763,65342.4236629487,54943.4478484327,59593.0245206128,51768.7474741156,54067.1002667174,59422.6389595527,59837.531389333,462.731029106591,655.904565509409,25878.3166631875,23385.9675564924,10727.8503680771,9617.61020550504,5672.04745443738,35810.9222652763,15728.7436807249,30671.0689134412,5508.09322041244,16048.998907635,27829.3813904626,9094.52530833047,60592.2027116537,445.209546044612,273.824908994496,148.213446615622,357.261656379726,316.581431600132,876.749593477625,2038.90815996968,339.292607976124,317.561564699818,95.2634589445706,253.327040196719,280.224835258049,559.887197431464,200.197773007927,217.931701371313,514.248645260787,"[291][M+1]3-","",552,5718.01419489952,56493.8594574861,0.10121479130316
"3542",3542,1308.00313751368,1307.86492243792,1308.05083056189,289.701993179321,204.730997085571,346.335988922119,20,1,7,1,8,153.672941884375,83.2490595037287,131.356363932292,25017.9591500019,120.67333984375,220.062291743855,265.365571335424,198.54947750542,123.392608868657,61.5752410888672,138.109090288868,169.056868856928,173.397051520393,184.632307711989,189.15380859375,450.154382701963,217.494657760486,92.8742080101316,8215.69990628805,15651.12671423,7542.83331589773,11826.5195421152,9173.41058273613,13393.4092192554,14959.3851944691,13613.3375711543,49.111437877873,112.024536976242,167.6484971769,72.902089436849,74.1563212076823,266.263141264673,166.497739156087,236.016330614608,187.974941524832,124.708661023527,23.8796895345052,240.941834848543,173.421066408589,113.520271969028,11664.3204758456,43718.914860331,19497.686132095,4768.00852457257,22990.6966456175,13594.6710376313,6491.8488368988,4984.93769358087,24261.1426482994,14323.4541097893,2710.56461284403,4415.43716404,10612.5989249165,7354.88437931354,30030.9938179668,230.947199647897,12322.0165398932,"","",1840,3128.4481496807,11796.9652557682,0.265190926806453
"3543",3543,1309.18007992955,1308.98710718218,1309.18447054101,310.503988265991,202.213001098633,311.135000457764,11,2,0,7,2,168.97582929853,8.72815958658854,167.586376056075,31367.374125347,81.9166259765625,157.168071729441,139.625162760417,300.792141909401,94.0102810329861,113.274374171471,119.498135095669,7372.32420631684,127.171587715857,109.43935139974,133.155456542969,161.447504352985,127.774562710068,185.305031497031,2708.26151647584,3799.2085549136,3674.87823279388,3336.40711922944,3219.76857103407,3321.15036420254,3360.28048765939,3200.88550607239,10.071055094401,18.1269836425781,4918.24503040624,9591.83878077401,10479.6233887474,632.853740179601,538.384201497564,9399.84524734318,350.682671097521,24700.5507348074,8985.22566056278,35733.4771116352,8816.21187396348,17764.4542245014,14410.7643265314,14534.98593662,232.069771424815,182.502300618423,32850.8036658841,112.952102464727,151.293423029698,216.685786544112,221.547432718612,152.598945499398,312.736723403653,167.967892244691,161.81740344145,283.671777023416,266.962688650936,179.611982173752,143.22899201947,"","",2014,328.517952212109,3327.60504404764,0.0987250433460412
"3544",3544,1309.51249261332,1309.48706965042,1309.53495891637,310.503988265991,204.730997085571,355.380012130737,17,1,0,9,4,246.225021102349,148.664474487305,273.310014372692,17473.96299662,234.116248303714,302.710784003139,250.001840826531,235.508379689418,196.493147008121,140.418571909909,180.484741863795,224.780482599822,115.598871866862,187.193930866818,247.816869971536,386.945762104355,81.2495803833008,181.682840983073,3633.81841010228,5381.9008638449,4426.41506024481,4509.67322668092,4074.72667469519,4210.63372940403,4204.21573729767,3594.05674660594,107.687545776367,46.2465413411458,6084.78529383335,10878.5763594692,11521.0022444539,807.099997418777,596.979406094179,14379.1596341346,550.565345700791,29441.4706630366,15455.759215679,42250.8779506351,14032.470478943,24568.9698414579,18817.2850844213,857.545566156253,20351.07462984,872.808978153393,20069.5245261267,682.857702283557,463.308708225144,941.165317097912,49115.6681194506,17852.7766799717,562.28468448855,1042.71835249527,696.827819731552,760.823383918653,1851.1693187058,637.808443660615,785.976835359897,"","",2015,563.649202514818,4254.43005610947,0.132485243635726
