"","Gb1","Gb2","Gb3","Gb4","Gb5","Gb6","Gb7","Gb8","Gb9","Gb10","Gb11","Gb12","Gb13","Gb14","shallow_mean","deep_mean","ttest_pval","XOTU","inc_dec_estimate","inc_dec_p_val","classification"
"X196900348",0.603467561521253,0.190156599552573,0.508948545861298,0,0.211409395973154,0.189597315436242,0.508389261744966,0.369127516778524,1,0.426733780760626,0.578299776286353,0.342841163310962,0.366331096196868,0.256152125279642,0.400782997762864,0.385906040268456,0.922392655273693,"X196900348",0.058332863409299,0.842983001662629,"inc.trend"
"X196900370",0,0,0,0,0.87891617273497,0,0,0.528365791701948,0.889077053344623,0,0.393734123624047,0.731583403895004,0.405588484335309,1,0.229635901778154,0.63272650296359,0.0839010078836235,"X196900370",0.574281412649388,0.0317303755825202,"increasing"
"X196900475",0.343570057581574,0.355086372360845,0,0.882917466410749,0.524952015355086,0,0.525911708253359,0.450095969289827,1,0.371401151631478,0.793666026871401,0.490403071017274,0.465451055662188,0.625719769673704,0.445393474088292,0.593809980806142,0.402040286197578,"X196900475",0.320812285410206,0.263420806493995,"inc.trend"
"X196900496",0,0,0,0.540183486238532,0.366605504587156,0,0.533211009174312,0.695779816513761,0.853577981651376,0.311192660550459,0.474495412844037,0.54605504587156,0.874862385321101,1,0.33005504587156,0.723853211009174,0.0503083941669796,"X196900496",0.71328243526155,0.00418152919418223,"increasing"
"X196900175",0.370117557830868,0.208191126279863,0,0,0,0.125521425862723,0.262419416003034,0.374288964732651,1,0.187713310580205,0.108456579446341,0,0,0,0.252825180128934,0.0271141448615851,0.167669304180549,"X196900175",-0.249255813740602,0.390141345013076,"dec.trend"
"X196900233",0,0.99492385786802,0,0,0,1,0,0,0,0,0,0,0,0,0.199492385786802,0,0.372786146725617,"X196900233",-0.345631977846209,0.226120876691465,"dec.trend"
"X196900266",0,0.614832535885168,0,0,0,0,0.151196172248804,0.601913875598086,1,0,0.710526315789474,0,0.47511961722488,0,0.236794258373206,0.296411483253589,0.786063729208539,"X196900266",0.133660568045865,0.648722009356853,"inc.trend"
"X196900271",0.702068194522079,0.285634432643935,0,0,0.354387926215763,0.343208496366685,0.57406372275014,0.664617104527669,1,0.210173281162661,0,0.35830072666294,0.278926774734489,0.418110676355506,0.413415315818893,0.263834544438234,0.404331119773503,"X196900271",-0.100785508001551,0.7317334623051,"dec.trend"
"X196900291",0.165794066317627,0.180453752181501,0.321465968586387,1,0,0.588830715532286,0.268760907504363,0.308551483420593,0.580802792321117,0.240488656195462,0.185689354275742,0.156719022687609,0.180802792321117,0.157417102966841,0.365514834205934,0.170157068062827,0.207575864666022,"X196900291",-0.323567763817205,0.259108602170186,"dec.trend"
"X196900293",0.452261306532663,0.45656855707107,0.610193826274228,0.564967695620962,0.434314429289304,0.399138549892319,0.641780330222541,0.381191672648959,1,0,0,0.231873653984207,0.399138549892319,0,0.494041636755205,0.157753050969131,0.0345314014385311,"X196900293",-0.557201276624898,0.0384530451389359,"decreasing"
"X196900307",0.439384615384615,0.404923076923077,1,0.441846153846154,0.236923076923077,0.243692307692308,0.614153846153846,0.615384615384615,0.982153846153846,0.512615384615385,0,0,0,0,0.549107692307692,0,0.00166284927833497,"X196900307",-0.656144579724533,0.0108228902202294,"decreasing"
"X196900314",0,0,0,0.458823529411765,0.160613810741688,0,0,0.546803069053708,0,0,0.658312020460358,0.446035805626598,0.868542199488491,1,0.116624040920716,0.743222506393862,0.000410342209777154,"X196900314",0.815618302048443,0.00037646491690744,"increasing"
"X196900316",0,0,0,0,0,0,0,0,0,0,0.626410835214447,0.693002257336343,1,0.946952595936795,0,0.816591422121896,3.98916788124955e-09,"X196900316",0.942146825912268,4.77524043308505e-07,"increasing"
"X196900320",1,0.259727302959761,0.846025939474559,0.303292317924842,0.14632524110409,0.374792151646159,0.36548054539408,0.888593282341204,0.538077818423678,0.188892583970735,0,0,0,0,0.491120718323911,0,0.00959210627425134,"X196900320",-0.68173372920783,0.00724634344286715,"decreasing"
"X196900350",0.449095022624434,0.372171945701357,0.527149321266968,1,0.228506787330317,0.270361990950226,0.678733031674208,0.492081447963801,0.753393665158371,0.304298642533937,0,0,0,0,0.507579185520362,0,0.00151984309064806,"X196900350",-0.708686316076532,0.00454946907240363,"decreasing"
