"","XOTU","inc_dec_estimate","inc_dec_p_val","fdr","classification"
"70","X196900356",0.290662462785065,0.293268592128413,0.48112747676583,"inc.trend"
"71","X196900377",0.597558004522225,0.0186495571829968,0.153486164634963,"increasing"
"72","X196900140",0.272280142092172,0.326213892651743,0.518197184300362,"inc.trend"
"73","X196900192",0.0817674680795322,0.772049392052512,0.872340121902471,"inc.trend"
"74","X196900227",0.0644052214034977,0.819618316409916,0.892267547430939,"inc.trend"
"75","X196900228",0.314176999058376,0.254113209366645,0.437112647455311,"inc.trend"
"76","X196900287",0.159235155370685,0.570816208469178,0.732997972435352,"inc.trend"
"77","X196900354",0.383820276099224,0.157845112368323,0.377395490212957,"inc.trend"
"78","X196900158",0.344046013181547,0.209241541856282,0.415777374119594,"inc.trend"
"79","X196900182",-0.730156174402387,0.0019964973722565,0.0452188529281533,"decreasing"
"80","X196900183",-0.18790095320465,0.502465155597894,0.679285738212988,"dec.trend"
"81","X196900226",0.0444741375872508,0.874944691947517,0.929601429900613,"inc.trend"
"82","X196900252",-0.500536263863779,0.0573884357752509,0.254385277811448,"dec.trend"
"83","X196900335",0.040280680626557,0.886662419427303,0.935357838343219,"inc.trend"
"84","X196900338",0.13364875053069,0.634891220299052,0.784677888895075,"inc.trend"
"85","X196900146",-0.363736741480393,0.182619166630324,0.389289161674624,"dec.trend"
"86","X196900186",-0.488450477622802,0.0646852163207891,0.259311118468903,"dec.trend"
"87","X196900196",-0.778479264062516,0.000628898034696384,0.0223016918457718,"decreasing"
"88","X196900202",-0.124756841436984,0.657765050508164,0.800078333203862,"dec.trend"
"89","X196900203",-0.0618404268106723,0.826699126994532,0.89672540598701,"dec.trend"
"90","X196900225",-0.351954841067513,0.198268197674061,0.404432031538681,"dec.trend"
"91","X196900341",0.334646518227096,0.222776073498439,0.4319318657958,"inc.trend"
"92","X196900191",0.0755011438356918,0.789140019425471,0.882994050861996,"inc.trend"
"93","X196900211",-0.682606283862398,0.00504467229751905,0.0664455408330367,"decreasing"
"94","X196900229",0.673079177850445,0.00595722266608952,0.0762855458074241,"increasing"
"95","X196900255",-0.683958382632974,0.00492468310920207,0.0664455408330367,"decreasing"
"96","X196900263",-0.349474851531524,0.201668469344755,0.405075051734751,"dec.trend"
"97","X196900283",0.102883309482097,0.715210435964224,0.847677150479156,"inc.trend"
"98","X196900161",-0.654889121010497,0.00805818788438486,0.0906054784073517,"decreasing"
"99","X196900223",0.253711132382822,0.361542613925697,0.556233074075004,"inc.trend"
"100","X196900260",-0.452299489924624,0.0905012172124677,0.316068644961724,"dec.trend"
"101","X196900303",0.186819575524955,0.504972352525771,0.680679106767194,"inc.trend"
"102","X196900318",-0.215831565401632,0.439778723818333,0.613499193617433,"dec.trend"
"103","X196900347",-0.428434431242514,0.111086892930686,0.334712795039518,"dec.trend"
"104","X196900366",0.491718606812624,0.0626492412480101,0.259311118468903,"inc.trend"
"105","X196900401",0.431686486525683,0.1081067558594,0.32787641086305,"inc.trend"
"106","X196900149",-0.0672612114484703,0.811748793273423,0.888874569356409,"dec.trend"
"107","X196900163",0.0095281953610374,0.973115220997135,0.983785344034384,"inc.trend"
"108","X196900292",0.0661819488564258,0.814720717124773,0.890014811835357,"inc.trend"
"109","X196900305",0.5411348588228,0.0372394747464867,0.204034543781433,"increasing"
"110","X196900339",0.118560513500253,0.67387439918381,0.815370336020305,"inc.trend"
"111","X196900349",-0.270995288351958,0.328592547152681,0.518771110402006,"dec.trend"
"112","X196900458",0.858047067386643,4.27599526435719e-05,0.00749394143731621,"increasing"
"113","X1969000",-0.225085951120758,0.419922432167383,0.588401949024813,"dec.trend"
"114","X196900190",0.171670074456925,0.5406938930505,0.708124672432615,"inc.trend"
"115","X196900193",-0.0356509152999544,0.899624580566923,0.944708272531553,"dec.trend"
"116","X196900205",0.10897643497205,0.699050227203193,0.834876048550963,"inc.trend"
"117","X196900265",0.377938672072677,0.164854635933392,0.379989935826469,"inc.trend"
"118","X196900277",-0.556226918928807,0.0312971785152125,0.187376614227441,"decreasing"
"119","X196900302",-0.263459564629096,0.342741361676456,0.537427781404239,"dec.trend"
"120","X196900323",0.74389517201094,0.00147436786126491,0.0385530316243229,"increasing"
"121","X196900340",-0.352070452602525,0.198110589285342,0.404432031538681,"dec.trend"
"122","X196900348",-0.29170306713096,0.291464641542535,0.479875713396817,"dec.trend"
"123","X196900370",0.540231083800393,0.0376202521072057,0.204034543781433,"increasing"
"124","X196900475",0.612045153234741,0.0153066220586807,0.133138731491543,"increasing"
"125","X196900496",0.849988445068133,5.99871578995171e-05,0.00749394143731621,"increasing"
