Gb1_RT;Gb1;Gb10_RT;Gb10;Gb12_RT;Gb12;Gb13_RT;Gb13;Gb14_RT;Gb14;Gb15_RT;Gb15;Gb16_RT;Gb16;Gb17_RT;Gb17;Gb18_RT;Gb18;Gb19_RT;Gb19;Gb2_RT;Gb2;Gb20_RT;Gb20;Gb21_RT;Gb21;Gb3_RT;Gb3;Gb7_RT;Gb7;Gb8_RT;Gb8;Gb9_RT;Gb9
9.697;6612473;9.698;5986945;9.698;3968125;9.698;6064340;9.698;5721307;9.698;5371900;9.698;3814484;9.698;5076084;9.697;4181705;9.698;6352406;9.698;4985885;9.699;6609813;9.697;5586503;9.699;5321974;9.697;5620832;9.698;6176848;9.697;5966791
9.708;6647281;9.708;5846206;9.708;3822780;9.708;5757525;9.708;5463085;9.708;5469853;9.708;3579033;9.708;5054522;9.708;3938528;9.708;6127316;9.708;4928464;9.709;6150751;9.708;5622969;9.709;5216316;9.708;5448184;9.709;6001365;9.708;5844740
9.718;6798559;9.719;5834670;9.719;3872805;9.719;5707916;9.719;5390446;9.719;5514778;9.719;3448870;9.719;5146844;9.718;3821614;9.719;6033431;9.719;5038107;9.720;5965085;9.718;5643869;9.720;5230534;9.718;5432781;9.719;5876300;9.718;5871241
9.729;7087149;9.729;5857305;9.729;3918585;9.729;5576885;9.729;5440800;9.729;5683192;9.729;3446394;9.729;5234377;9.729;3674531;9.729;6055419;9.729;5072283;9.730;5700805;9.729;5741968;9.730;5257655;9.729;5431054;9.730;5785996;9.729;6050320
9.739;7266546;9.740;5838598;9.740;3873220;9.740;5485970;9.740;5659224;9.740;5804434;9.740;3338072;9.740;5313420;9.739;3648298;9.740;5995290;9.740;5123809;9.741;5541018;9.739;5686428;9.741;5304989;9.739;5467546;9.740;5808147;9.739;6045231
9.750;7111839;9.750;5702450;9.750;4040662;9.750;5436284;9.750;6243004;9.750;5657155;9.750;3283423;9.750;5178888;9.750;3667947;9.750;5827025;9.750;5038240;9.751;5654427;9.750;5813488;9.751;5340599;9.750;5401221;9.750;5801669;9.750;6008672
9.760;7005557;9.761;5636894;9.761;4473808;9.761;5408565;9.761;7248863;9.761;5479960;9.761;3286659;9.761;5085314;9.760;3738191;9.761;5660430;9.761;4948529;9.762;5790396;9.760;5759887;9.762;5174780;9.760;5333270;9.761;5699270;9.760;5792807
9.770;7336809;9.771;5427745;9.771;5013966;9.771;5483176;9.771;8093899;9.771;5353770;9.771;3316246;9.771;4932013;9.771;3840580;9.771;5555643;9.771;4857835;9.772;6073506;9.771;5825802;9.772;4980377;9.771;5273204;9.771;5569047;9.771;5526391
9.781;7560780;9.782;5287197;9.782;5389412;9.782;5541411;9.781;8382170;9.782;5298321;9.782;3343461;9.782;4795974;9.781;3890627;9.782;5416755;9.782;4780811;9.783;6247834;9.781;5868696;9.783;5036184;9.781;5286832;9.782;5568605;9.781;5523750
9.791;7542510;9.792;5244315;9.792;5449252;9.792;5491674;9.792;8239850;9.792;5153861;9.792;3269832;9.792;4796785;9.792;3858832;9.792;5186215;9.792;4660507;9.793;6056008;9.792;5827249;9.793;4908974;9.792;5218615;9.792;5407131;9.792;5463082
9.802;7297215;9.802;5201023;9.803;5157401;9.803;5206904;9.802;7598002;9.803;5166623;9.803;3128330;9.803;4783689;9.802;3782954;9.803;4980734;9.803;4640267;9.803;5941180;9.802;5700391;9.804;4800116;9.802;5132277;9.803;5351926;9.802;5355816
9.812;7109711;9.813;5175571;9.813;4696153;9.813;4973100;9.813;6845594;9.813;5015587;9.813;2947969;9.813;4812596;9.813;3837707;9.813;4889498;9.813;4530393;9.814;5906842;9.812;5496241;9.814;4821099;9.813;4931773;9.813;5503010;9.812;5434925
9.823;7255516;9.823;5257467;9.824;4266779;9.823;4824277;9.823;6105322;9.823;5008263;9.824;2746337;9.824;5131826;9.823;4245750;9.824;4914378;9.824;4583837;9.824;6075902;9.823;5700333;9.825;5124164;9.823;4941483;9.824;5977607;9.823;5856776
9.833;7611566;9.834;5724379;9.834;4116550;9.834;4987502;9.834;5988848;9.834;5183398;9.834;2603348;9.834;5698810;9.834;4846644;9.834;5105604;9.834;5004245;9.835;6628370;9.833;6190105;9.835;5591630;9.834;5141232;9.834;6829622;9.833;6357237
9.844;7958107;9.844;6142798;9.845;4146872;9.844;5201631;9.844;6122052;9.844;5408291;9.845;2561182;9.844;6336087;9.844;5335772;9.844;5400122;9.845;5310895;9.845;6971536;9.844;6652150;9.846;6130091;9.844;5345658;9.845;7582396;9.844;7083777
9.854;8003497;9.855;6523101;9.855;4173215;9.855;5280818;9.855;6100854;9.855;5498345;9.855;2560542;9.855;6590333;9.854;5705037;9.855;5835449;9.855;5477342;9.856;7316019;9.854;6904417;9.856;6347029;9.855;5610525;9.855;7958683;9.854;7426180
9.876;7599629;9.877;6366952;9.877;3955138;9.877;5336515;9.877;5847815;9.877;5580030;9.877;2780873;9.877;6250989;9.876;5525573;9.877;5658376;9.877;5466828;9.878;6965962;9.876;6900929;9.878;6147366;9.876;5437681;9.877;7758651;9.876;7216998
9.887;7492307;9.887;6337501;9.887;3924087;9.887;5457024;9.887;5763136;9.887;5646089;9.887;3059720;9.887;5991434;9.887;5312278;9.887;5459262;9.888;5471844;9.888;6723405;9.887;7255248;9.888;6113874;9.887;5281815;9.888;7509630;9.887;7301236
9.897;7472870;9.898;6204707;9.898;3853732;9.898;5362661;9.898;5475579;9.898;5652798;9.898;3244823;9.898;5868556;9.897;4983007;9.898;5097126;9.898;5404648;9.899;6467621;9.897;7404037;9.899;6023165;9.897;5020328;9.898;7215406;9.897;7355568
9.908;7280004;9.908;6031264;9.908;3815526;9.908;5171113;9.908;5278281;9.908;5594511;9.908;3222954;9.908;5568943;9.908;4559140;9.908;4741801;9.909;5255552;9.909;6304497;9.908;7349346;9.909;5769070;9.908;4743159;9.909;6818848;9.908;7358445
9.918;6880831;9.919;5623496;9.919;3547329;9.919;4814549;9.919;4893595;9.919;5298618;9.919;3187544;9.919;5068839;9.918;4147556;9.919;4414407;9.919;4902694;9.920;5812702;9.918;6873913;9.920;5457735;9.918;4496180;9.919;6282516;9.918;6883515
9.929;6378287;9.929;5068728;9.929;3286064;9.929;4497028;9.929;4525598;9.929;5030342;9.929;2976502;9.929;4615173;9.929;3751902;9.929;4197861;9.929;4498939;9.930;5305935;9.929;6159105;9.930;4940251;9.929;4096788;9.930;5545159;9.929;6270907
9.939;5982796;9.940;4595127;9.940;3132561;9.940;4768545;9.940;4480483;9.940;4598274;9.940;2734515;9.940;4197314;9.939;3499354;9.940;3942659;9.940;4125033;9.941;5850197;9.939;5360540;9.941;4466243;9.939;3879477;9.940;5147316;9.939;5783840
9.950;6537395;9.950;4293550;9.950;3198547;9.950;7151376;9.950;5980504;9.950;4272962;9.950;2667641;9.950;4141897;9.950;3830621;9.950;3786592;9.950;3831068;9.951;8432701;9.950;4866462;9.951;4351634;9.950;3860047;9.950;5598710;9.950;6347042
9.960;8469255;9.961;4689800;9.961;3932595;9.961;10120215;9.961;9011844;9.961;4301448;9.961;3158475;9.961;4719569;9.960;5512712;9.961;3727467;9.961;4159632;9.962;11251197;9.960;5245077;9.962;5318693;9.960;4417188;9.961;7560308;9.960;8487254
9.970;10661347;9.971;5987494;9.971;5674469;9.971;12006114;9.971;11470000;9.971;4993541;9.971;4391411;9.971;6449560;9.971;7777345;9.971;4040489;9.971;5408932;9.972;13110038;9.971;6697171;9.972;7287430;9.971;5964511;9.971;9617789;9.971;10487755
9.981;12110342;9.982;7783827;9.982;7922657;9.982;12944582;9.981;12892667;9.982;6235022;9.982;6131632;9.982;8287861;9.981;9466736;9.982;4683351;9.982;7184385;9.983;13826376;9.981;8516112;9.983;9032403;9.981;7888360;9.982;10740773;9.981;11754252
9.991;12848150;9.992;9186056;9.992;9309595;9.992;13179781;9.992;13380686;9.992;7499797;9.992;7121414;9.992;9323228;9.992;10406319;9.992;5713316;9.992;8515299;9.993;14029810;9.991;9802958;9.993;10188138;9.992;9269560;9.992;10912643;9.992;12109774
10.002;13064257;10.003;9798053;10.003;9952015;10.002;12955860;10.002;13387853;10.003;8296530;10.003;6932905;10.003;9851833;10.002;10382878;10.003;6622203;10.003;9205620;10.003;13850207;10.002;10438028;10.004;10581277;10.002;9949876;10.003;10421424;10.002;12024795
10.012;12945542;10.013;9926073;10.013;9801476;10.013;12575137;10.013;12719469;10.013;8441084;10.013;5893966;10.013;9859071;10.013;9846622;10.013;7071603;10.013;9397229;10.014;13082882;10.012;10671462;10.014;10617927;10.013;9883522;10.013;8993800;10.012;11700309
10.023;12547121;10.023;9570510;10.024;9107612;10.023;11900182;10.023;11759099;10.023;8302293;10.024;4687350;10.024;9374993;10.023;8777629;10.024;6927930;10.024;9104088;10.024;12025629;10.023;10279272;10.025;10109414;10.023;9339102;10.024;7704128;10.023;11236454
10.033;11831134;10.034;8972291;10.034;8142090;10.034;11146491;10.034;10492873;10.034;7792006;10.034;3787611;10.034;8617827;10.034;7399797;10.034;6306392;10.034;8349657;10.035;10842377;10.033;9669947;10.035;9338404;10.034;8303684;10.034;6354088;10.033;10689682
10.044;10863532;10.044;8186681;10.045;7016707;10.044;10139101;10.044;9278186;10.044;7052458;10.045;3247687;10.044;7567453;10.044;6064367;10.044;5740876;10.045;7238036;10.045;9607645;10.044;8822202;10.046;8418782;10.044;7115795;10.045;5198402;10.044;10104436
10.054;10174896;10.055;7316920;10.055;5993623;10.055;9278468;10.055;8066900;10.055;6206439;10.055;2936105;10.055;6398235;10.054;5053303;10.055;5326358;10.055;6224705;10.056;8563062;10.054;8391829;10.056;7647189;10.055;6087186;10.055;4396406;10.054;9498760
10.065;9881359;10.065;6813210;10.066;5197422;10.065;8401592;10.065;7114510;10.065;5544538;10.066;2670207;10.065;5603495;10.065;4332158;10.065;5269451;10.066;5509072;10.066;7652128;10.065;8385676;10.066;7224461;10.065;5530450;10.066;4016640;10.065;8939956
10.075;9627458;10.076;6460117;10.076;4649922;10.076;7591880;10.076;6447919;10.076;5119922;10.076;2565331;10.076;5081453;10.075;3841250;10.076;5304556;10.076;4999999;10.077;6960791;10.075;8400008;10.077;6768570;10.075;5249951;10.076;3843126;10.075;8450363
10.086;9100796;10.086;5966515;10.086;4239177;10.086;6863963;10.086;5819280;10.086;4845478;10.086;2471544;10.086;4585372;10.086;3542814;10.086;5084144;10.087;4555368;10.087;6378734;10.086;8034263;10.087;6300014;10.086;5041830;10.087;3828993;10.086;7881173
10.096;8204904;10.097;5391109;10.097;3913982;10.097;6112217;10.097;5238348;10.097;4413089;10.097;2455165;10.097;4160940;10.096;3377449;10.097;4647892;10.097;4158720;10.098;5874449;10.096;7109937;10.098;5622397;10.096;4711073;10.097;3765386;10.096;7094085
10.107;7168978;10.107;4734260;10.107;3565984;10.107;5530635;10.107;4776516;10.107;4088092;10.107;2366164;10.107;3836369;10.107;3175701;10.107;4153420;10.108;3799334;10.108;5420190;10.107;6187779;10.108;4931775;10.107;4339031;10.108;3726150;10.107;6372837
10.129;5721163;10.129;3836290;10.129;3071613;10.129;4529024;10.129;3976178;10.129;3614107;10.129;2271425;10.129;3339151;10.129;2833675;10.129;3288782;10.129;3274261;10.130;4638530;10.129;4790399;10.130;3937394;10.129;3600444;10.130;3565291;10.129;5113171
10.139;5283051;10.140;3618496;10.140;2888110;10.140;4236203;10.140;3870552;10.140;3519039;10.140;2197677;10.140;3259189;10.139;2724832;10.140;3183223;10.140;3109083;10.141;4412367;10.139;4440072;10.141;3747087;10.139;3434685;10.140;3576869;10.139;4747922
10.150;4964013;10.150;3576515;10.150;2719655;10.150;3778799;10.150;3566819;10.150;3527642;10.150;2185748;10.150;3130439;10.150;2507694;10.150;3160833;10.150;3019298;10.151;4152504;10.150;4229714;10.151;3546363;10.150;3151320;10.151;3499704;10.150;4516864
10.160;4932240;10.161;3383745;10.161;2434503;10.161;3135585;10.161;3064644;10.161;3432178;10.161;2097261;10.161;3119476;10.160;2211280;10.161;3034585;10.161;3068746;10.162;3610943;10.160;3941029;10.162;3512717;10.160;2531946;10.161;3472334;10.160;4381187
10.170;4689905;10.171;3355718;10.171;2057707;10.171;2490426;10.171;2608798;10.171;3429957;10.171;1960236;10.171;3039019;10.171;1884400;10.171;2959938;10.171;3038433;10.172;2948289;10.171;3878439;10.172;3410911;10.171;2091208;10.172;3338705;10.171;4157932
10.181;4632883;10.182;3283640;10.182;1909146;10.182;2126793;10.181;2301069;10.182;3412453;10.182;1837769;10.182;3027895;10.181;1686129;10.182;2882236;10.182;3035690;10.182;2590393;10.181;3791779;10.183;3331801;10.181;1801870;10.182;3229321;10.181;4102257
10.191;4351456;10.192;3243988;10.192;1761617;10.192;2008287;10.192;2180670;10.192;3217668;10.192;1790022;10.192;2974677;10.192;1593697;10.192;2781577;10.192;2900029;10.193;2372833;10.192;3644770;10.193;3240655;10.192;1752032;10.193;3049251;10.191;3931890
10.202;4237977;10.203;3238359;10.203;1714295;10.202;1956350;10.202;2098548;10.203;3177949;10.203;1744889;10.203;2967392;10.202;1551865;10.203;2738574;10.203;2821724;10.203;2314171;10.202;3472737;10.204;3195902;10.202;1705960;10.203;2946457;10.202;3711281
10.212;4144423;10.213;3318778;10.213;1755753;10.213;2011563;10.213;2097223;10.213;3231836;10.213;1731407;10.213;2957873;10.213;1569562;10.213;2876176;10.213;2848707;10.214;2348218;10.212;3509571;10.214;3119329;10.213;1785499;10.214;2967942;10.212;3696213
10.223;4262301;10.224;3322160;10.224;1791635;10.223;2088011;10.223;2156431;10.223;3317524;10.224;1760482;10.223;3041141;10.223;1649287;10.224;3057744;10.224;2914137;10.224;2458728;10.223;3569192;10.225;3205421;10.223;1833838;10.224;3058754;10.223;3770795
10.233;4471176;10.234;3508326;10.234;1879532;10.234;2226393;10.234;2277967;10.234;3472748;10.234;1783045;10.234;3224587;10.234;1660308;10.234;3254523;10.234;3007041;10.235;2571250;10.233;3810284;10.235;3283086;10.234;1982588;10.234;3106759;10.233;3910105
10.244;4825971;10.244;3637744;10.245;1891633;10.244;2262447;10.244;2361892;10.244;3497278;10.245;1832586;10.244;3464241;10.244;1742786;10.244;3425045;10.245;3137052;10.245;2609186;10.244;4096432;10.246;3330048;10.244;2092550;10.245;3000125;10.244;4181162
10.254;5225739;10.255;3679527;10.255;1920377;10.255;2462026;10.255;2484296;10.255;3541159;10.255;1889875;10.255;3524050;10.254;1795517;10.255;3501442;10.255;3149946;10.256;2722061;10.254;4176570;10.256;3421840;10.255;2189819;10.255;2922212;10.254;4371548
10.265;5298662;10.265;3737884;10.266;1969496;10.265;2651496;10.265;2635757;10.265;3538904;10.265;1878866;10.265;3479625;10.265;1821393;10.265;3415006;10.266;3248543;10.266;2747857;10.265;4040825;10.266;3461287;10.265;2250095;10.266;2833596;10.265;4572771
10.275;5300289;10.276;3736385;10.276;1990572;10.276;2730772;10.276;2751219;10.276;3444395;10.276;1823701;10.276;3454455;10.275;1904962;10.276;3287356;10.276;3283994;10.277;2731249;10.275;4060116;10.277;3427559;10.275;2263866;10.276;2756158;10.275;4629880
10.286;5021312;10.286;3589427;10.287;2006117;10.286;2790415;10.286;2626858;10.286;3360875;10.286;1817192;10.286;3266369;10.286;1897244;10.286;3192758;10.287;3241875;10.287;2755442;10.286;3906034;10.287;3347414;10.286;2249557;10.287;2660512;10.286;4489069
10.296;4936555;10.297;3500872;10.297;1998494;10.297;2703935;10.297;2583519;10.297;3325097;10.297;1804445;10.297;3113042;10.296;1849007;10.297;2995914;10.297;3081000;10.298;2603576;10.296;3626568;10.298;3210572;10.296;2226628;10.297;2493911;10.296;4359846
10.307;4424210;10.307;3347023;10.308;2000979;10.307;2595014;10.307;2457482;10.307;3188555;10.307;1825518;10.307;2946355;10.307;1800267;10.307;2902068;10.308;2925966;10.308;2523864;10.307;3491048;10.308;3050508;10.307;2282965;10.308;2420196;10.307;4136469
10.317;4198414;10.318;3339071;10.318;1992557;10.318;2534072;10.318;2369648;10.318;3182907;10.318;1821784;10.318;2880626;10.317;1787443;10.318;2851714;10.318;2887001;10.319;2466245;10.317;3244428;10.319;3000485;10.317;2286274;10.318;2321658;10.317;3819176
10.328;3902517;10.328;3193754;10.329;2034922;10.328;2567382;10.328;2267405;10.328;3218299;10.328;1822791;10.328;2896664;10.328;1809559;10.328;2816823;10.328;2818418;10.329;2467495;10.328;3149646;10.329;2996563;10.328;2332604;10.329;2349859;10.328;3662748
10.338;3779933;10.339;3180889;10.339;2011953;10.339;2564880;10.339;2300249;10.339;3151905;10.339;1828539;10.339;2813321;10.338;1838545;10.339;2785246;10.339;2772351;10.340;2451164;10.338;3015353;10.340;2930962;10.338;2391143;10.339;2355637;10.338;3549184
10.349;3648729;10.349;3034273;10.350;2072397;10.349;2537572;10.349;2298926;10.349;3101863;10.349;1871323;10.349;2784922;10.349;1851378;10.349;2732699;10.349;2761653;10.350;2500276;10.349;2906536;10.350;2853617;10.349;2412192;10.350;2389865;10.349;3301255
10.359;3602355;10.360;2954212;10.360;2092862;10.360;2496574;10.360;2314659;10.360;2997871;10.360;1779431;10.360;2733913;10.359;1840955;10.360;2725164;10.360;2680900;10.361;2522436;10.359;2864777;10.361;2811659;10.359;2435926;10.360;2384172;10.359;3246014
10.381;3546101;10.382;2806091;10.382;2063626;10.382;2478312;10.381;2347642;10.382;2867609;10.382;1809453;10.382;2593332;10.381;1959899;10.382;2634179;10.382;2590992;10.382;2579775;10.381;2753916;10.383;2690430;10.381;2445347;10.382;2457871;10.381;3174394
10.391;3517736;10.392;2731278;10.393;2093573;10.392;2523653;10.392;2361293;10.392;2860913;10.392;1788146;10.392;2608893;10.392;1960550;10.392;2562245;10.392;2602561;10.393;2645890;10.392;2777212;10.393;2691404;10.392;2440284;10.393;2518421;10.391;3149604
10.402;3491081;10.403;2745173;10.403;2094870;10.402;2511844;10.402;2383221;10.403;2792286;10.403;1784104;10.403;2548489;10.402;1939746;10.403;2532679;10.403;2566068;10.403;2646013;10.402;2792339;10.404;2738990;10.402;2450977;10.403;2645398;10.402;3369138
10.412;3464271;10.413;2744283;10.413;2117784;10.413;2497509;10.413;2396185;10.413;2769021;10.413;1806956;10.413;2570738;10.413;1982662;10.413;2478593;10.413;2601657;10.414;2702654;10.412;2892639;10.414;2798474;10.413;2443194;10.414;2822800;10.412;3658834
10.423;3546427;10.423;2670862;10.424;2075387;10.423;2540577;10.423;2389220;10.423;2763136;10.424;1815710;10.423;2607643;10.423;1954573;10.423;2481329;10.424;2569758;10.424;2724859;10.423;2898344;10.425;2809510;10.423;2501835;10.424;2814455;10.423;3725550
10.433;3433346;10.434;2665061;10.434;2047817;10.434;2497399;10.434;2433438;10.434;2689672;10.434;1727497;10.434;2542590;10.434;1953358;10.434;2433130;10.434;2486004;10.435;2684764;10.433;2864146;10.435;2726052;10.434;2448170;10.434;2748960;10.433;3584460
10.444;3355098;10.444;2660370;10.445;2064721;10.444;2443399;10.444;2367726;10.444;2703894;10.445;1672106;10.444;2464203;10.444;1914269;10.444;2467373;10.445;2406936;10.445;2600773;10.444;2761971;10.446;2595996;10.444;2452486;10.445;2563140;10.444;3319050
10.454;3227739;10.455;2555602;10.455;2017704;10.455;2368672;10.455;2361313;10.455;2649865;10.455;1636387;10.455;2465745;10.454;1892035;10.455;2385055;10.455;2336476;10.456;2498436;10.454;2670775;10.456;2555060;10.455;2400361;10.456;2380767;10.454;3162032
10.465;3210577;10.465;2513598;10.466;2045294;10.465;2294689;10.465;2244863;10.465;2584503;10.465;1606702;10.465;2390039;10.465;1892154;10.465;2332838;10.466;2315257;10.466;2465256;10.465;2670095;10.466;2510120;10.465;2389838;10.466;2341471;10.465;3018573
10.475;3151281;10.476;2562546;10.476;2043698;10.476;2268424;10.476;2226677;10.476;2568549;10.476;1533704;10.476;2397968;10.475;1845193;10.476;2309460;10.476;2314921;10.477;2341254;10.475;2572903;10.477;2534270;10.475;2303327;10.477;2347796;10.475;2957978
10.486;3123777;10.486;2523454;10.487;2048422;10.486;2253541;10.486;2238058;10.486;2600732;10.486;1550882;10.486;2364292;10.486;1879890;10.486;2327124;10.487;2323276;10.487;2310420;10.486;2562165;10.487;2476097;10.486;2360424;10.487;2306224;10.486;2910342
10.496;3125442;10.497;2519926;10.497;2035195;10.497;2265175;10.497;2247224;10.497;2537349;10.497;1558993;10.497;2388197;10.496;1817484;10.497;2269343;10.497;2329241;10.498;2298511;10.496;2529621;10.498;2444285;10.496;2352326;10.498;2283568;10.496;2860616
10.507;3180735;10.507;2459821;10.508;1987934;10.507;2219271;10.507;2272253;10.507;2586308;10.507;1558302;10.507;2349880;10.507;1820955;10.507;2247332;10.508;2326928;10.508;2304845;10.507;2546130;10.508;2481514;10.507;2341725;10.508;2271587;10.507;2775452
10.517;3088888;10.518;2460385;10.518;1992707;10.518;2277506;10.518;2223308;10.518;2556481;10.518;1551589;10.518;2414241;10.517;1850538;10.518;2237497;10.518;2281080;10.519;2332196;10.517;2543178;10.519;2435314;10.517;2345923;10.519;2358452;10.517;2827374
10.528;3198346;10.528;2498421;10.529;2005545;10.528;2285409;10.528;2296286;10.528;2536422;10.528;1562426;10.528;2381976;10.528;1873537;10.528;2255234;10.528;2317783;10.529;2371844;10.528;2533312;10.529;2429211;10.528;2374862;10.529;2402112;10.528;2937858
10.538;3315237;10.539;2488244;10.539;2010909;10.539;2511325;10.539;2499128;10.539;2613806;10.539;1602020;10.539;2470636;10.538;1901792;10.539;2249721;10.539;2427263;10.540;2511269;10.538;2492958;10.540;2601424;10.538;2403983;10.540;2498842;10.538;2934930
10.549;3415509;10.549;2639691;10.550;2115255;10.549;2478291;10.549;2634756;10.549;2613774;10.549;1611550;10.549;2469532;10.549;1945440;10.549;2202773;10.549;2502759;10.550;2610445;10.549;2582069;10.550;2578873;10.549;2507427;10.550;2627713;10.549;3063525
10.559;3450153;10.560;2759234;10.560;2151652;10.560;2571785;10.560;2693990;10.560;2645441;10.560;1600745;10.560;2552276;10.559;1943134;10.560;2213186;10.560;2492674;10.561;2693243;10.559;2633559;10.561;2615185;10.559;2447857;10.561;2664470;10.559;3103477
10.569;3425041;10.570;2678961;10.571;2145576;10.570;2543991;10.570;2663845;10.570;2616826;10.570;1683570;10.570;2519758;10.570;1960448;10.570;2255858;10.570;2494442;10.571;2608600;10.570;2631793;10.571;2685824;10.570;2528034;10.571;2639700;10.570;3141829
10.580;3363227;10.581;2585470;10.581;2095848;10.581;2485876;10.580;2644860;10.581;2608363;10.581;1640274;10.581;2460665;10.580;1930658;10.581;2214866;10.581;2472382;10.582;2550307;10.580;2569676;10.582;2612065;10.580;2433818;10.582;2590425;10.580;3101656
10.590;3341040;10.591;2573922;10.592;2075730;10.591;2435073;10.591;2522675;10.591;2548095;10.591;1651511;10.591;2474894;10.591;1927886;10.591;2226405;10.591;2366361;10.592;2495717;10.591;2567701;10.592;2554867;10.591;2393365;10.592;2576154;10.591;2971185
10.601;3323663;10.602;2527569;10.602;1983035;10.601;2347277;10.601;2378381;10.602;2445807;10.602;1632561;10.602;2454047;10.601;1849425;10.602;2186643;10.602;2313875;10.602;2473255;10.601;2545411;10.603;2483259;10.601;2376183;10.602;2525559;10.601;2963638
10.611;3295340;10.612;2488863;10.612;1950181;10.612;2301256;10.612;2269222;10.612;2463019;10.612;1663495;10.612;2465212;10.612;1809108;10.612;2225455;10.612;2296647;10.613;2409225;10.612;2545136;10.613;2537224;10.612;2396238;10.613;2539269;10.612;2957358
10.633;3292302;10.634;2506721;10.634;1914290;10.634;2281275;10.634;2224867;10.634;2549260;10.634;1603517;10.634;2465614;10.633;1826794;10.634;2275094;10.634;2343837;10.635;2483566;10.633;2655764;10.635;2603636;10.634;2507393;10.635;2623209;10.634;3028088
10.644;3268176;10.644;2612696;10.645;1942648;10.644;2294843;10.644;2242356;10.644;2492602;10.644;1579269;10.644;2410184;10.644;1835404;10.644;2243180;10.645;2380204;10.645;2443966;10.644;2605993;10.646;2580815;10.644;2524877;10.645;2566294;10.644;3036033
10.654;3298828;10.655;2531866;10.655;1947290;10.655;2285957;10.655;2191846;10.655;2334449;10.655;1415483;10.655;2304860;10.654;1787229;10.655;2116978;10.655;2137809;10.656;2395815;10.654;2420518;10.656;2450188;10.655;2438061;10.656;2331936;10.655;2908215
10.665;3133132;10.665;2329692;10.666;1845961;10.665;2129819;10.665;2141878;10.665;2081247;10.665;1380767;10.665;1999313;10.665;1750405;10.665;1982364;10.666;1932137;10.666;2289119;10.665;2192599;10.666;2286824;10.665;2189831;10.666;2145364;10.665;2554312
10.675;2961265;10.676;2136221;10.676;1785590;10.676;2014393;10.676;1994619;10.676;2010393;10.676;1356791;10.676;1904088;10.675;1666704;10.676;1848561;10.676;1831613;10.677;2122971;10.675;2038523;10.677;2111408;10.675;1960352;10.677;1978749;10.676;2238862
10.686;2830936;10.686;2041337;10.687;1740604;10.686;1911259;10.686;1937126;10.686;1905464;10.686;1369171;10.686;1826963;10.686;1579536;10.686;1791685;10.687;1777116;10.687;2023548;10.686;1963723;10.687;1986228;10.686;1895064;10.687;1978706;10.686;2167141
10.696;2757543;10.697;1940228;10.697;1745254;10.697;1883071;10.697;1881226;10.697;1874829;10.697;1407553;10.697;1793515;10.696;1580992;10.697;1763212;10.697;1779875;10.698;1965628;10.696;1902103;10.698;1856880;10.696;1855417;10.698;1994539;10.697;2031495
10.707;2707665;10.707;1931745;10.708;1723196;10.707;1884083;10.707;1851016;10.707;1841040;10.707;1396438;10.707;1841874;10.707;1569020;10.707;1703782;10.708;1753996;10.708;1970434;10.707;1824775;10.708;1886190;10.707;1863326;10.708;1901204;10.707;2055839
10.717;2637777;10.718;1900161;10.718;1742437;10.718;1872192;10.718;1813906;10.718;1857309;10.718;1355982;10.718;1793050;10.717;1573630;10.718;1761543;10.718;1755119;10.719;1931525;10.717;1912225;10.719;1887630;10.717;1850674;10.719;1969095;10.718;2029486
10.728;2675147;10.728;1931930;10.729;1727121;10.728;1896632;10.728;1817536;10.728;1833758;10.728;1365962;10.728;1854880;10.728;1596111;10.728;1857882;10.728;1752871;10.729;1900567;10.728;1966350;10.729;1870991;10.728;1885520;10.729;1999542;10.728;2045248
10.738;2708047;10.739;1933175;10.739;1765663;10.739;1880742;10.739;1820096;10.739;1853273;10.739;1376509;10.739;1895383;10.738;1577357;10.739;1877172;10.739;1758045;10.740;1937018;10.738;1979155;10.740;1902487;10.738;1892046;10.740;2045953;10.739;2145793
10.749;2713128;10.749;1984991;10.750;1796269;10.749;1931066;10.749;1834574;10.749;1882183;10.749;1391800;10.749;1990192;10.749;1569752;10.749;1960776;10.749;1816369;10.750;1999924;10.749;2007518;10.750;1948986;10.749;1918453;10.750;2130763;10.749;2180736
10.759;2828330;10.760;2138319;10.760;1773544;10.760;1927841;10.759;1887666;10.760;1992049;10.760;1377009;10.760;2058423;10.759;1620416;10.760;1988962;10.760;1875900;10.761;2000294;10.759;2017690;10.761;2017299;10.759;1997256;10.761;2129686;10.759;2230050
10.769;2854624;10.770;2183212;10.771;1786836;10.770;1941144;10.770;1889787;10.770;2036856;10.770;1367853;10.770;2126602;10.770;1582956;10.770;1922972;10.770;1891852;10.771;1982556;10.770;2009790;10.771;2068411;10.770;2060630;10.771;2126822;10.770;2260090
10.780;2885571;10.781;2240867;10.781;1783720;10.781;2008856;10.780;1913949;10.781;2076556;10.781;1367145;10.781;2142241;10.780;1579119;10.781;1936773;10.781;1881384;10.781;1987206;10.780;2043431;10.782;2079857;10.780;2052797;10.782;2163436;10.780;2217142
10.790;2851137;10.791;2202195;10.792;1815935;10.791;2038081;10.791;1878897;10.791;2050219;10.791;1353830;10.791;2116152;10.791;1596375;10.791;1912967;10.791;1908034;10.792;2032963;10.791;1985257;10.792;2060813;10.791;2038495;10.792;2081626;10.791;2245459
