Gb1_RT;Gb1;Gb10_RT;Gb10;Gb12_RT;Gb12;Gb13_RT;Gb13;Gb14_RT;Gb14;Gb15_RT;Gb15;Gb16_RT;Gb16;Gb17_RT;Gb17;Gb18_RT;Gb18;Gb19_RT;Gb19;Gb2_RT;Gb2;Gb20_RT;Gb20;Gb21_RT;Gb21;Gb3_RT;Gb3;Gb7_RT;Gb7;Gb8_RT;Gb8;Gb9_RT;Gb9
0.475;12072893;0.475;10163614;0.475;12658850;0.475;9600758;0.475;12006889;0.475;16270865;0.475;14039879;0.475;9284217;0.475;10222586;0.475;12766667;0.475;10027374;0.475;9178330;0.475;8945117;0.475;12104743;0.475;9068064;0.475;9069172;0.475;11642740
0.485;11228118;0.485;9779006;0.485;11670945;0.486;8468873;0.485;11702855;0.485;15294613;0.485;12370864;0.485;8478658;0.485;9097568;0.485;11934354;0.485;8939067;0.485;8163499;0.485;8579409;0.485;11071112;0.485;8449779;0.485;8603403;0.485;10757269
0.496;10356498;0.496;9077337;0.496;10608864;0.496;7454105;0.496;11599478;0.496;14296612;0.496;11316165;0.496;8048530;0.496;8455084;0.496;10700095;0.496;8419949;0.496;7889356;0.496;8301139;0.496;10298336;0.496;7875731;0.496;8141794;0.496;10136912
0.506;9481857;0.506;8021674;0.506;10181372;0.507;6779810;0.506;10663776;0.506;12589988;0.506;10249523;0.506;7363301;0.506;7664152;0.506;9804241;0.506;8282377;0.506;7604068;0.506;7979539;0.506;9286380;0.506;7078585;0.506;7391669;0.506;9283814
0.516;8726832;0.516;8023943;0.516;9794648;0.517;6398503;0.516;9586689;0.516;11130849;0.517;9166007;0.517;6696958;0.516;7170565;0.517;9134811;0.517;7837309;0.517;7280499;0.516;7675745;0.517;8800381;0.516;6313971;0.516;6659696;0.516;8831116
0.538;11530102;0.538;11555516;0.538;12782885;0.539;9743081;0.538;14227625;0.538;12961812;0.538;12491529;0.539;11056404;0.538;10528393;0.539;9833257;0.539;10530327;0.539;14055706;0.538;9324918;0.539;12277586;0.538;9940163;0.538;9294555;0.538;12288871
0.549;11745943;0.549;11641263;0.549;12709432;0.549;9318519;0.549;13839364;0.549;12962689;0.549;12532901;0.549;10801162;0.549;10714771;0.549;10739781;0.549;10696853;0.549;13609124;0.549;9224122;0.549;12399244;0.549;10026620;0.549;9169221;0.549;12496843
0.559;11924213;0.559;10774355;0.559;11674257;0.560;8739114;0.559;12462535;0.559;11789426;0.559;11057061;0.560;10259780;0.559;9970032;0.560;10740786;0.560;9244290;0.560;12143627;0.559;8912747;0.559;11953807;0.559;8940786;0.559;8102823;0.559;11685970
0.570;14857796;0.570;12043079;0.570;12792411;0.570;11334931;0.570;14373817;0.570;13282134;0.570;11039390;0.570;13617821;0.570;10811658;0.570;11050162;0.570;11010802;0.570;15775087;0.570;11436163;0.570;14027814;0.570;9458064;0.570;10568110;0.570;12720854
0.580;19065450;0.580;16237639;0.580;16037822;0.581;14706876;0.580;17494452;0.580;16117871;0.581;14357659;0.581;17108476;0.580;14304122;0.580;14563756;0.581;15493990;0.581;20218612;0.580;14356990;0.580;16790046;0.580;13544408;0.580;14042959;0.580;16572200
