"","Sf1","Sf2","Sf3","Sf4","Sf5","Sf6","Sf7","Sf8","Sf9","Sf10","Sf11","Sf12","Sf13","Sf14","Sf15","shallow_mean","deep_mean","ttest_pval","XOTU","inc_dec_estimate","inc_dec_p_val","classification"
"X196900236",0.0030821576835334,0.0108142242570154,0.0267937331603632,0.0156233011728112,0.0244262605183029,0.0196487814476151,0.00597114398232459,0.0054724575744776,0.00704596929637221,0.0155660477905911,0.0147771040689471,0.0591654074160177,0.0306462017748128,0.0269133003096319,0.0156224623166101,0.0139790074745554,0.0242480704247118,0.165977702662874,"X196900236",0.46094026768864,0.0837618121918164,"inc.trend"
"X196900237",0.00336353443835035,0.00269259273877027,0.0042022863098604,0.00340356334173194,0.00326151292706293,0.0030771248831731,0,0.00107461425696325,0.00198493174778086,0.00233410781659668,0.00133470617396942,0.00204101168539019,0.00164421927119391,0,0.00204948144252558,0.00263440361198903,0.00162692259106523,0.114945651102622,"X196900237",-0.591206650961212,0.0202802959169317,"decreasing"
"X196900241",0.00225967178483769,0.00217073844575127,0,0,0,0.00103846132824669,0.00163350038597281,0.00155912241906229,0.0028894576075291,0,0.00188765587461389,0.00138802469726703,0.00505066398137076,0.00129452170610754,0.00491102156982545,0.00108268679548384,0.00248876363381625,0.0890126726155852,"X196900241",0.481304331082751,0.0693033881143341,"inc.trend"
"X196900249",0.00232893375525417,0.00262681278586871,0.00318775016908936,0,0.00220586889267212,0.0025906877346786,0,0.00123611697766293,0.00248026733764299,0.00231812077675698,0.0018240984377582,0.00330937908116868,0.00138067216313173,0.00111711402047396,0.00123742275775129,0.00177202128940324,0.00195243922495483,0.744704117995547,"X196900249",-0.157657091913458,0.574688427206849,"dec.trend"
"X196900279",0.00145017250559507,0,0,0.00133306230884501,0,0.000994736640741571,0,0.00167714363803513,0.00132807368296369,0.00159870398397033,0.00208468392886652,0.00116922277454513,0.00101091950405941,0,0.00325210168521512,0.000681889386652098,0.0014919579370886,0.0978446817198657,"X196900279",0.391400664140727,0.149107519936064,"inc.trend"
"X196900289",0.00143285701299095,0.00151293891673574,0.00216212620164322,0,0.00173906676185769,0.00299514109410099,0,0.00151564091733545,0.00103374383971227,0.00131626628013557,0.0010550534518044,0,0.00105812197117503,0,0,0.001419721363083,0.00063759793468961,0.0984856790064969,"X196900289",-0.489253944898713,0.0641802923105953,"dec.trend"
"X196900295",0.00134195067681932,0,0.00213995054829303,0,0.0017085568186672,0.0015795543361226,0,0.0025343503863642,0.00197416358278386,0.00190245774092469,0,0.0017538341618177,0.00286754987727359,0.00139431352927643,0,0.00116304534578329,0.00141318841315375,0.651127929676992,"X196900295",0.131434851158009,0.640558707199461,"inc.trend"
"X196900356",0,0.00138576434112607,0,0.00565842405562935,0.00259639616551034,0.00190748949241103,0,0,0.00127782224631101,0.00118304094813804,0.00157622443402102,0.00278972451470417,0.00246239536786456,0.00232847587394075,0.00218095761053665,0.0014435092568346,0.00197123442793089,0.51375281048807,"X196900356",0.270095076173155,0.330264984057754,"inc.trend"
"X196900377",0,0,0.00271651753539789,0.0016497827864784,0,0,0.00220009166270737,0.00326111262951276,0.002523339997631,0.00246200413531431,0.00264398937319656,0.00410595483107808,0.00371719428535465,0.0042522404650299,0.00272619701317082,0.00122843807676205,0.00320441715725362,0.00557545674111803,"X196900377",0.742043931563764,0.0015374716376674,"increasing"
"X196900140",0.0196747284714316,0,0.00246704143520828,0,0,0.0046566792192957,0.00542602156780567,0.0388351926851691,0.0252046848696514,0.0176816660627118,0.0099530946116005,0.00275553671427888,0.0100069230285103,0.00826886134757769,0.0136077833891463,0.00888245792236379,0.0124969357176395,0.54438781835682,"X196900140",0.104568801837325,0.710728602288494,"inc.trend"
"X196900192",0.00454531680858156,0.00592019576113983,0.00772267127920256,0.00902417002689761,0.00818581775800733,0.00479878445368736,0.00159522980550144,0.014653266081944,0.00405959820387008,0.00652804126787884,0.00183680992512934,0.0110973600180512,0.0164067908616024,0.0065419084077383,0.00865809235814108,0.00705568149687021,0.00787551443463017,0.720635530920335,"X196900192",0.297797627915954,0.281031420876614,"inc.trend"
"X196900227",0.00379642175345336,0,0.00371996584949384,0,0.00313032017134384,0.00272732738313211,0,0.00267100653464855,0.00280690167588541,0.00319740796794066,0.00222451028994903,0.00384612754784583,0.00242305997860155,0.00269715122064804,0,0.00200563021150896,0.00245645124012436,0.570987653209043,"X196900227",0.0137917359379157,0.961092296506273,"inc.trend"
"X196900228",0.00267524360733657,0.0011051032087461,0,0,0,0.00118056656263835,0.00186779101276091,0.00444132481924119,0.00378321530228034,0.00366103212329205,0.00282195019639248,0,0.00349691610548178,0.00279694304381693,0.00285380623506392,0.00140875365134039,0.00277340900090393,0.0910809561051167,"X196900228",0.384187132541592,0.157414587037542,"inc.trend"
"X196900287",0.00141554152038683,0,0.00495071461042921,0,0.00243164247228172,0.00118056656263835,0,0,0.00118449814967031,0.00140685950589389,0.00216095285309334,0.00353843734401816,0.00196283592422431,0.00312403846420384,0,0.00124730814571701,0.00191108889158626,0.413728255371974,"X196900287",0.137328489183696,0.625512857185327,"inc.trend"
"X196900354",0,0.00131121372783764,0.00232844360176962,0.0011156124286788,0.00198619730170062,0.00606133480539781,0.00239144456506419,0.00552215071930827,0.00494976651028898,0.00225950163067806,0.00301262250695954,0.0036239068450814,0.00239945874504374,0.00229521193288446,0.00444698803566871,0.00258954964371962,0.00328392231522927,0.451086871825331,"X196900354",0.391639254820039,0.148837889846652,"inc.trend"
"X196900158",0.00853653785383127,0,0,0,0.00244994843819601,0.00542186125063537,0.00417896070171443,0.00590106094864213,0.00757719876955768,0.0068317950248332,0.00639387814768206,0.00297091985695824,0.0051726036880861,0.0025918154073031,0.00391334947138847,0.0033110461491274,0.00506450862368698,0.234234250927794,"X196900158",0.182777954984675,0.514393919941531,"inc.trend"
"X196900182",0.00525525200535049,0.00599474637442826,0.00511148809721806,0.00105888637298327,0.00341406264301536,0.00411012062548165,0.0016278998132209,0.00225482644669168,0.00307969518914282,0.001939760833884,0.00168427207667569,0.00254699113168457,0,0.00109493805976976,0.00307422216378837,0.00360341029729871,0.00191712563642074,0.0538092511156851,"X196900182",-0.677753398294875,0.00549452034995919,"decreasing"
"X196900183",0.0051989766543871,0.00860401783952323,0,0.00468935393749734,0.017646951141377,0.0148554625798659,0.00269014177849921,0.00851616269535618,0.0101974522521617,0.0159230916803445,0.0040740317024495,0.0102460837874613,0.00617958965321921,0,0.00254058359950812,0.00777513332831324,0.00702297609644918,0.804409318580505,"X196900183",-0.10349612372406,0.713579915718718,"dec.trend"
"X196900226",0.00354534711069362,0.00174536141698789,0.0058044772644114,0,0.00293505653492473,0.00433967523488356,0.00168483896953195,0.0033418639898626,0.00381551979727135,0.00508387866902564,0.0033240539475524,0.00474184791898859,0.00341824532695576,0.00257795543186297,0.00178266216038546,0.00292457756516197,0.00353488046457745,0.453802854867334,"X196900226",0.0499165412682112,0.85977325503845,"inc.trend"
"X196900252",0.00200426826892692,0.00330653896585143,0.00248367317522093,0.0162992866698496,0.00294420951788188,0.00182004011740079,0,0.00193182100529232,0,0,0,0.0014769129783728,0,0.00208176831110655,0,0.00384872971505299,0.000508383041354193,0.114066079765172,"X196900252",-0.383941694372581,0.157702534997068,"dec.trend"
"X196900335",0,0.00871365109435915,0,0.00603187058895827,0.0680402243091023,0,0.00537654984183049,0.039773150793848,0.00609837077663595,0.0192483959670028,0.0129847843496167,0,0.0235658317074706,0.00862090472375683,0.00119488635045359,0.0159919308285123,0.0102447391249909,0.57238769946534,"X196900335",-0.0110784889438996,0.968742739458563,"dec.trend"
"X196900338",0,0.00472300061833156,0.00608721684462629,0,0,0.00174898750020496,0,0,0,0,0.00142368658556738,0.0022153694675592,0.00198643715778211,0.00451280800330422,0.00125289054222318,0.00156990062039535,0.0016273131080623,0.95854898399285,"X196900338",0.00283070965172836,0.992011650721173,"inc.trend"
"X196900146",0.015267935603683,0.0110466467572676,0,0.00931725464799119,0.0106205112246081,0.00593016074288244,0.129037196203932,0.00304991676398241,0.00579686215671987,0.00630422271012299,0.00310795866224307,0.00195554218432694,0,0,0,0.0230337027430433,0.0024520836733447,0.231522324445345,"X196900146",-0.201791409495604,0.470783447878911,"dec.trend"
"X196900186",0.00500850623574177,0.020475106673157,0,0.0213100882562883,0.00685558423490215,0.00300060668003913,0.0514505950141834,0.00183864635873481,0,0,0.00579643824123861,0,0,0,0,0.0137423916816308,0.00082806260589123,0.0727351721326077,"X196900186",-0.362801219681088,0.183831378883746,"dec.trend"
"X196900196",0.00406048301566619,0.0117307582674437,0.00157447138786326,0.0101965085112719,0.00989132358235549,0.00544372359438794,0.00604208457051541,0.00514324048997441,0.00152190065290974,0.00150278174493211,0,0,0,0,0,0.0067603241774348,0.000432097485405978,0.000428268182325682,"X196900196",-0.713936628428577,0.00279387327315575,"decreasing"
