"","Sf1","Sf2","Sf3","Sf4","Sf5","Sf6","Sf7","Sf8","Sf9","Sf10","Sf11","Sf12","Sf13","Sf14","Sf15","shallow_mean","deep_mean","ttest_pval","XOTU","inc_dec_estimate","inc_dec_p_val","classification"
"X196900155",0.324313298884961,0.198259450639108,0.182349741637204,0.0348109872178406,0.143323361435953,0.302148490617351,1,0.271144955126462,0.632988849605657,0.347022028827849,0.174870818602121,0.0875713897198803,0.152298069078053,0.122246396518901,0.461653521892847,0.30704378569486,0.282664439177901,0.857625981607296,"X196900155",-0.0394964358307927,0.888856315606557,"dec.trend"
"X196900156",0.235649846336869,0.361752751065728,0.0767324278774661,0.653415287003073,0.494894418558541,0.284028948151086,1,0.0639436898978884,0.275304847823932,0.226430058491127,0.0827798156042431,0.609596510359869,0.478239317933974,0.384851789431942,0.636859323882225,0.396302171111331,0.384865951932473,0.935880444516117,"X196900156",0.194515771061388,0.487255682836319,"inc.trend"
"X196900176",0.705673758865248,0.957953394123607,0.259371833839919,1,0.742147922998987,0.506079027355623,0.735055724417427,0.508611955420466,0.260385005065856,0.110942249240122,0.205673758865248,0.613475177304965,0.309017223910841,0.620567375886525,0.22644376899696,0.67686170212766,0.335214937038645,0.0121090425391244,"X196900176",-0.507215735579701,0.0536235897152097,"dec.trend"
"X196900185",0.375687232742822,0.247709224190593,0.259315821624924,0.297495418448381,0,0.0852168601099572,1,0.349419670128283,0.648442272449603,0.282834453268173,0.320708613317043,0.161270616982285,0.58094074526573,0.698839340256567,0.589492974954185,0.32685552840562,0.468932716641941,0.314862827892165,"X196900185",0.330155160946093,0.22943301856751,"inc.trend"
"X196900189",0.419683257918552,0.943061840120664,0.461538461538462,0.483785822021116,0.630844645550528,0.193815987933635,1,0.214177978883861,0.211915535444947,0.0916289592760181,0.128582202111614,0.289592760180996,0,0.243589743589744,0.211161387631976,0.543363499245852,0.168067226890756,0.00777324405449963,"X196900189",-0.611869294947977,0.0153442069342384,"decreasing"
"X196900198",0.403038138332256,0.231738849385908,0.842598577892696,0.236910148674855,0.671299288946348,0.483516483516484,0.861990950226244,0.267937944408533,0.664511958629606,0.508726567550097,0.195539754363284,1,0.902714932126697,0.674531351001939,0.557530704589528,0.499878797672915,0.643365038323021,0.312346363757901,"X196900198",0.371680105176815,0.172536195858338,"inc.trend"
"X196900214",0.335836462244472,0.102628285356696,0.546933667083855,0,0.586149353358365,0.545264914476429,1,0.242803504380476,0.375469336670839,0.33375052148519,0.303712974551523,0.588235294117647,0.676261994159366,0.678347934918648,0.129328327075511,0.419952023362537,0.440729483282675,0.885793573005116,"X196900214",0.21497455288872,0.441641125359288,"inc.trend"
"X196900219",0.430133657351154,0.883961117861482,0,0.835965978128797,0.996354799513973,0.308019441069259,0.780072904009721,0.441676792223572,0.459295261239368,0.339003645200486,0.291616038882138,0.565006075334143,0.53584447144593,1,0.624544349939247,0.584523086269745,0.545044263148759,0.801679418363825,"X196900219",0.10385604828477,0.712622796695398,"inc.trend"
"X196900221",0.492570579494799,0.87890044576523,0.513372956909361,0.606983655274889,0.676077265973254,0.388558692421991,0,0.666419019316493,0.417533432392273,0.323922734026746,0.210995542347697,1,0.692421991084695,0.611441307578009,0.665676077265973,0.527860326894502,0.560284440670771,0.814798530074053,"X196900221",0.108830414747976,0.699436134377534,"inc.trend"
"X196900239",0.345070422535211,0.476952624839949,0.455825864276569,0.25416133162612,0.699743918053777,0.2797695262484,0,0.524327784891165,0.533290653008963,0.416773367477593,0.204865556978233,0.759923175416133,0.780409731113957,1,0.743918053777209,0.379481434058899,0.634168648253155,0.0589035382246928,"X196900239",0.575158459144953,0.0248870984317719,"increasing"
"X196900274",0.194670280036134,0.554652213188799,0.113821138211382,0.259710930442638,0.434056007226739,0.185636856368564,1,0,0.365401987353207,0.189250225835592,0.290424570912376,0.486901535682023,0.1806684733514,0.552845528455285,0.437217705510388,0.342818428184282,0.357530003871467,0.91235851432073,"X196900274",0.122239506803569,0.664293296738733,"inc.trend"
"X196900330",0.0634730538922156,0.115568862275449,0.111676646706587,0,0.296706586826347,0.131736526946108,1,0.0577844311377246,0.248802395209581,0.212574850299401,0.200299401197605,0.30059880239521,0.377544910179641,0.175449101796407,0.161676646706587,0.222118263473054,0.23956372968349,0.892600438309791,"X196900330",0.174782713150927,0.533265040582995,"inc.trend"
"X196900337",0,0.0289487791802719,0.228008187533506,0.0881865587991617,0.0152785223451435,0.213485062624884,0.472683853988986,0.0446415517325406,0.244334519226083,0.267191383595692,0.159461962083922,0.560480530240265,0.617915103075199,1,0.435693747258638,0.136404064525562,0.469296749354257,0.0148892223138942,"X196900337",0.766305118212679,0.000862520368892273,"increasing"
"X196900141",0.514417812385935,0.0576712495437401,0.303199902664558,0.0513444457963256,0.447256357221073,0.312933446891349,1,0.157561747171189,0.307701666869449,0.129942815427668,0.355152694975058,0.482662124346028,0.164983574644117,0.244676968000973,0.12081761771505,0.355548120209271,0.257991065996906,0.455447952895774,"X196900141",-0.140584825995267,0.617257748295004,"dec.trend"
"X196900150",0.181476036459865,0.0892090561599529,0.188415172008233,0.154013525433696,0.092208174066451,0.112966774478095,1,0.0702146427521317,0.065745369009115,0.0575124963246104,0.130138194648633,0.102616877389003,0.0362246398118201,0.282269920611585,0.073860629226698,0.236062922669803,0.106909732431638,0.308933370326765,"X196900150",-0.129825160475527,0.644691069897403,"dec.trend"
