"","Wb1","Wb2","Wb3","Wb4","Wb5","Wb6","Wb7","Wb8","Wb9","Wb10","Wb11","Wb12","Wb13","Wb14","Wb15","Wb16","shallow_mean","deep_mean","ttest_pval","XOTU","inc_dec_estimate","inc_dec_p_val","classification"
"X19690029",0.153452685421995,0,0,0,0.203644501278772,0,0.614769820971867,0.453964194373402,0.17806905370844,0.33695652173913,0,0.192774936061381,0.161125319693095,0.796675191815857,0.168797953964194,1,0.177802642796249,0.531649616368286,0.0387117092471785,"X19690029",0.574507098157856,0.0199305062841746,"increasing"
"X19690088",0,0,0.149666348903718,0,0.565776930409914,0.125834127740705,0.228312678741659,0,1,0.151096282173499,0,0.238322211630124,0.198760724499523,0.681124880838894,0.161105815061964,0.65395614871306,0.204917381633302,0.42373689227836,0.220919997071528,"X19690088",0.402792487974894,0.121896443989883,"inc.trend"
"X1969001",0.944745103551682,0.0430254896448318,0.433195108237279,0,0,0.129263892793553,0,0.368604160809671,0.508082653921844,1,0,0,0.0828179177209259,0.122926623559179,0.651426764127073,0,0.285576367413238,0.214292826351795,0.734064106819203,"X1969001",-0.157296932454067,0.560707663070684,"dec.trend"
"X19690023",0.352476290832455,0.594309799789252,0.177555321390938,0,0,0,0,0,0.386722866174921,0.127502634351949,0.496311907270811,0.212328767123288,0.144889357218124,0.298208640674394,0,1,0.195600632244468,0.36077449947313,0.32396908281128,"X19690023",0.276450012260314,0.299979576943821,"inc.trend"
"X19690036",0.199092456040839,0.261486103233125,0,0,0.684628474191719,0.130459444129325,0.712989222915485,1,0,0.439024390243902,0,0,0.264322178105502,0.300056721497448,0.726035167328417,0,0.285640007562866,0.322603516732842,0.851893609478479,"X19690036",-0.0134662952452843,0.960522830077092,"dec.trend"
"X19690042",0.23205574912892,0,0.292682926829268,0,0,0,0,0,0.511498257839721,0.183275261324042,0.416724738675958,0.249477351916376,0.566550522648084,0.374912891986063,0.317770034843206,1,0.157142857142857,0.564808362369338,0.00581148755173551,"X19690042",0.710735807855527,0.00202796127310623,"increasing"
"X19690062",0,0,1,0,0.354527938342967,0.123314065510597,0,0,0.483622350674374,0,0.279383429672447,0.215799614643545,0.31888246628131,0.207129094412331,0,0.452793834296724,0.204720616570328,0.244701348747592,0.809016220985974,"X19690062",0.0833919214070124,0.758809567876172,"inc.trend"
"X19690041",0.838038632986627,0,0.534918276374443,0,0,0,0,0,0.950965824665676,0,0.419019316493314,0.526002971768202,0.482912332838039,0.87369985141159,0,1,0.272412085190688,0.589153046062407,0.174862060291226,"X19690041",0.335872487479896,0.203426390536546,"inc.trend"
"X19690083",0,0,0.380232558139535,0,0.898837209302326,0.17093023255814,0,0,0.938372093023256,0,0,0.513953488372093,0.337209302325581,0.490697674418605,0,1,0.241860465116279,0.456976744186047,0.334290068086367,"X19690083",0.329572937242638,0.212564243031574,"inc.trend"
"X19690059",0,0.635770234986945,0.473890339425587,0,1,0,0.872062663185379,0,0,0,0,0.973890339425587,0.456919060052219,0,0,0.903394255874674,0.329634464751958,0.340078328981723,0.967086125634364,"X19690059",0.0478039960752998,0.860447722227824,"inc.trend"
