"","XOTU","inc_dec_estimate","inc_dec_p_val","fdr","classification"
"46","X19690018",-0.646581707586423,0.00679624362279016,0.152915481512779,"decreasing"
"47","X19690037",-0.0721212537910813,0.790679155326628,0.874931852205694,"dec.trend"
"48","X19690054",-0.275799566104451,0.301164821055874,0.469825442976135,"dec.trend"
"49","X19690069",-0.425869069145993,0.100029059195165,0.259690826756679,"dec.trend"
"50","X19690095",-0.106187673636765,0.695497447150182,0.801207154435175,"dec.trend"
"51","X196900100",0.013198543247394,0.961307207085198,0.961307207085198,"inc.trend"
"52","X196900117",0.328783918892197,0.213726987648387,0.417793821364083,"inc.trend"
"53","X196900118",0.569483661924842,0.0212972467756862,0.158343925851723,"increasing"
"54","X196900124",0.652227681422016,0.00617698866373892,0.152915481512779,"increasing"
"55","X196900132",0.566004490596929,0.0222854414161684,0.158343925851723,"increasing"
"56","X1969003",-0.567231357274362,0.0219330228645223,0.158343925851723,"decreasing"
"57","X1969008",-0.570172745955386,0.0211056039774107,0.158343925851723,"decreasing"
"58","X19690013",-0.570365464029851,0.021052245693605,0.158343925851723,"decreasing"
"59","X19690017",-0.426905879420705,0.0991168554039947,0.259690826756679,"dec.trend"
"60","X19690025",-0.262095607938613,0.326776904673322,0.469825442976135,"dec.trend"
"61","X19690030",-0.568156456248934,0.0216701411564123,0.158343925851723,"decreasing"
"62","X19690034",-0.147524753054897,0.585595490975787,0.718685375288466,"dec.trend"
"63","X19690046",-0.135360703238484,0.617192636700586,0.750639693284496,"dec.trend"
"64","X19690049",0.204385038913453,0.447677328737887,0.610469084642573,"inc.trend"
"65","X19690050",-0.331937118044894,0.209104564308962,0.417793821364083,"dec.trend"
"66","X19690053",-0.441283035138251,0.0870683916189052,0.259690826756679,"dec.trend"
"67","X19690057",-0.446465846452304,0.0829941663516776,0.259690826756679,"dec.trend"
"68","X19690070",-0.182016525265399,0.499880560741119,0.671357904446714,"dec.trend"
"69","X19690074",-0.290454268201926,0.275133441249649,0.469825442976135,"dec.trend"
"70","X19690081",-0.181018176054327,0.50227517295643,0.671357904446714,"dec.trend"
"71","X19690087",-0.0266363074857816,0.921996631757365,0.950149200665986,"dec.trend"
"72","X19690096",-0.0228159988962181,0.933159018383237,0.954367177891947,"dec.trend"
"73","X196900106",0.0516842388987699,0.849236442668594,0.88873581209504,"inc.trend"
"74","X196900127",0.586099879188227,0.0170353133368879,0.158343925851723,"increasing"
"75","X196900129",0.589988436716624,0.0161412982314009,0.158343925851723,"increasing"
"76","X196900133",0.572682042394354,0.0204189664688622,0.158343925851723,"increasing"
"77","X19690014",-0.426905879420705,0.0991168554039947,0.259690826756679,"dec.trend"
"78","X19690016",-0.426905879420705,0.0991168554039947,0.259690826756679,"dec.trend"
"79","X19690022",-0.426905879420705,0.0991168554039947,0.259690826756679,"dec.trend"
