Wb1_RT;Wb1;Wb10_RT;Wb10;Wb11_RT;Wb11;Wb12_RT;Wb12;Wb13_RT;Wb13;Wb14_RT;Wb14;Wb15_RT;Wb15;Wb16_RT;Wb16;Wb17_RT;Wb17;Wb2_RT;Wb2;Wb3_RT;Wb3;Wb4_RT;Wb4;Wb5_RT;Wb5;Wb6_RT;Wb6;Wb7_RT;Wb7;Wb8_RT;Wb8
0.423;31014896;0.422;23968866;0.422;23880320;0.422;23207772;0.422;28985200;0.422;22348336;0.423;22030872;0.422;25045724;0.422;24013688;0.422;24285288;0.422;28090244;0.422;25068988;0.422;27609384;0.422;23331880;0.422;23168524;0.422;24060880
0.433;28176386;0.433;23156812;0.433;22202970;0.433;22409372;0.433;27172194;0.433;21290138;0.433;20661898;0.433;23219132;0.433;22308824;0.433;22423980;0.433;25706120;0.433;23569976;0.433;26025976;0.433;21454152;0.433;21639836;0.433;21770156
0.444;27600900;0.443;22216008;0.443;21680016;0.443;22644464;0.443;27135010;0.443;20177304;0.444;19683672;0.443;22162994;0.443;21616788;0.443;22699778;0.443;24631592;0.443;23036796;0.443;24711920;0.444;21197692;0.443;20176020;0.443;19644940
0.454;28979880;0.454;22030264;0.454;21286398;0.454;23437360;0.454;28053864;0.454;20613192;0.454;19725888;0.454;22258368;0.454;22384360;0.454;26893828;0.454;26577326;0.454;22843474;0.454;24277972;0.454;21436904;0.454;20102698;0.454;19033386
0.465;29044492;0.464;21435994;0.464;19628102;0.464;22923726;0.464;27668240;0.464;20806200;0.465;18798058;0.464;21682512;0.464;21864516;0.464;27846524;0.464;26487900;0.464;22697236;0.464;23641170;0.464;21451500;0.464;20087216;0.464;18557118
0.475;26026850;0.475;20369392;0.475;18154064;0.475;20226850;0.475;24090418;0.475;18959068;0.475;16982410;0.475;19198042;0.475;19563732;0.475;25700364;0.475;23926650;0.475;21551320;0.475;22692728;0.475;19452060;0.475;17652490;0.475;16741835
0.486;22182904;0.485;19406254;0.485;16262637;0.485;17497468;0.485;20300162;0.485;16112425;0.486;15513652;0.485;16885372;0.485;16742100;0.485;22949950;0.485;20368016;0.485;20310736;0.485;21927380;0.485;17619340;0.485;15328984;0.485;15070665
0.496;19822920;0.496;18266842;0.496;14904140;0.496;15224242;0.496;17313340;0.496;13992905;0.496;14555046;0.496;15119736;0.496;14818808;0.496;19633872;0.496;17078460;0.496;18567340;0.496;21044564;0.496;16047108;0.496;13240006;0.496;13727384
0.506;17985800;0.506;17609740;0.506;13477515;0.506;13985359;0.506;15512199;0.506;12707085;0.507;13105514;0.506;13378352;0.506;13155613;0.506;16889958;0.506;15126174;0.506;17129078;0.506;19937982;0.506;14573181;0.506;11785894;0.506;12371982
0.517;16370443;0.517;17079912;0.517;12600425;0.516;13081903;0.516;14338766;0.516;11660349;0.517;12055283;0.516;12287145;0.516;12262698;0.516;15049124;0.516;13876488;0.516;16409135;0.516;19795664;0.517;13194015;0.516;10686892;0.516;11413606
0.539;15886783;0.539;17469622;0.538;12388863;0.538;12727029;0.538;13698271;0.538;12059444;0.539;11460896;0.538;12014741;0.538;11897587;0.538;13533788;0.538;13478213;0.538;15947951;0.538;19787112;0.539;12882388;0.538;10785413;0.538;10754812
0.549;15942046;0.549;17683232;0.549;12759264;0.549;13086523;0.549;13873980;0.549;12492456;0.549;11638666;0.549;12053988;0.549;12234218;0.549;13320603;0.549;13816327;0.549;16029418;0.549;19419418;0.549;13128012;0.549;10736573;0.549;10645959
0.560;16509888;0.560;18000086;0.559;14270646;0.559;13673074;0.559;16108260;0.559;13216847;0.560;13424104;0.559;13356035;0.559;13255850;0.559;13732115;0.559;15567132;0.559;16233474;0.559;19803602;0.560;13721493;0.559;12041814;0.559;11744740
0.570;18932664;0.570;18652792;0.570;17641876;0.570;15800928;0.570;19663596;0.570;14863554;0.570;15987361;0.570;16062112;0.570;16806446;0.570;14924619;0.570;18661702;0.570;17689628;0.570;19744648;0.570;16390564;0.570;16064317;0.570;14868358
0.581;20048520;0.581;18330666;0.580;18128306;0.580;17140780;0.580;19737968;0.580;17216660;0.581;17492592;0.580;17503076;0.580;18256882;0.580;16158333;0.580;19063380;0.580;18421630;0.580;19796246;0.581;17290746;0.580;17872382;0.580;18131416
