"V1","label","hex"
638,"label","#ff633f"
509,"label","#b8c4f6"
668,"label","#b8c4f6"
406,"label","#b8c4f6"
458,"label","#b8c4f6"
450,"label","#b8c4f6"
229,"label","#b8c4f6"
316,"label","#b8c4f6"
469,"label","#b8c4f6"
248,"label","#b8c4f6"
599,"label","#b8c4f6"
590,"label","#b8c4f6"
205,"label","#AFA79D"
238,"label","#AFA79D"
167,"label","#01559d"
465,"label","#cf00aa"
142,"label","#cf00aa"
150,"label","#3d1349"
495,"label","#3d1349"
593,"label","#3d1349"
275,"label","#fce300"
401,"label","#CEC7C1"
692,"label","#01559d"
135,"label","#ec0040"
225,"label","#01559d"
669,"label","#ff633f"
623,"label","#000000"
634,"label","#000000"
625,"label","#aba900"
186,"label","#aba900"
626,"label","#aba900"
97,"label","#aba900"
4,"label","#aba900"
359,"label","#aba900"
454,"label","#aba900"
138,"label","#aba900"
146,"label","#aba900"
673,"label","#000000"
