"XOTU","barettin_estimate_P","barettin_p_val_P","barettin_estimate_S","barettin_p_val_S","barettin_fdr_P","barettin_fdr_S"
"X196900197",0.569523678268802,0.0856926386540922,0.151515151515151,0.681807643477163,0.218683162279599,0.788089423195662
"X196900210",-0.181558990773474,0.61567466617079,-0.0364743326208039,0.920318460275667,0.742209030077056,0.954314392845217
"X196900217",-0.358311697423019,0.309309114966269,-0.296969696969697,0.406950227375658,0.460966146820413,0.561976837210565
"X196900242",-0.807266506043645,0.00474964324599368,-0.442424242424242,0.204200583289326,0.0388877040765733,0.401254146163526
"X196900246",-0.595596940938549,0.0692442524389612,-0.248484848484848,0.491555497342584,0.185122389173549,0.642373411430507
"X196900280",-0.733134198284542,0.0158436548399635,-0.672727272727273,0.0393814092829061,0.0715696132425935,0.209147214164623
"X196900286",0.49613703425721,0.144705790951496,0.503030303030303,0.14336680194002,0.298435749092004,0.329492123756887
"X196900344",0.118864919537212,0.743625696069392,0.309090909090909,0.387054968154447,0.798483329385987,0.561976837210565
"X196900172",-0.465682806551464,0.174970493325674,-0.309090909090909,0.387054968154447,0.300837572287249,0.561976837210565
"X196900201",0.11738676771942,0.746725675271976,0.175757575757576,0.631967363906089,0.799627221749009,0.741382609000277
"X196900208",0.824624126082938,0.00332970822691437,0.903030303030303,0.000880224994754143,0.0297403484813033,0.071158610101074
"X196900218",0.426580682221554,0.218923659663966,0.745454545454545,0.0184138413143277,0.359048655224997,0.160814214145128
"X196900230",0.440794746276231,0.202282024802782,0.43030303030303,0.218028474590315,0.338284407436142,0.417976539092653
"X196900234",0.1699807534246,0.638725670092689,0.249241272908826,0.487410415615349,0.744494567321857,0.642373411430507
"X196900180",0.874219657155332,0.000938263299888531,0.454545454545455,0.190932019316111,0.0118947573179417,0.38878903415146
"X196900181",0.606939735830502,0.0627857722666839,0.551515151515151,0.10429776397167,0.17255110839725,0.313387355414331
"X196900184",0.07121982407356,0.844994457780871,0.261399383782428,0.465684706386463,0.880856291532845,0.620386744440271
"X196900195",0.367309340164351,0.296421129236178,0.595136825565653,0.0695150101530112,0.449781867914355,0.275953525152862
"X196900204",0.302236310842249,0.396013217775545,0.248484848484848,0.491555497342584,0.542596778650463,0.642373411430507
"X196900209",0.663520212601832,0.0364588079538328,0.607905543680065,0.0622548817089307,0.115550899402067,0.266460441182255
"X196900236",-0.896469979093131,0.000442833874520548,-0.56277485953265,0.0903239367688617,0.00751469281255071,0.30941862605326
"X196900237",0.132828194903662,0.71451075812022,0.236363636363636,0.513898326223936,0.786562263140746,0.660006673875839
"X196900241",-0.449945460872449,0.191969856671242,-0.43030303030303,0.218028474590315,0.325190317550854,0.417976539092653
"X196900249",-0.101050382896367,0.781195650044096,0.109422997862412,0.763482646374149,0.827962749753778,0.845207549366312
"X196900279",0.00524722720283505,0.988522006525388,0.00606060606060606,1,0.991043746337953,1
"X196900289",0.71014277707073,0.0213843959691353,0.43030303030303,0.218028474590315,0.0848320538321599,0.417976539092653
"X196900295",0.0666105563565365,0.854934201629041,-0.0181818181818182,0.972841176143636,0.88418195063214,0.987923985076096
"X196900356",-0.480618296366943,0.159695771218682,-0.454545454545455,0.190932019316111,0.300837572287249,0.38878903415146
"X196900377",-0.469012166341349,0.171493211963337,0.0909090909090909,0.811416953056797,0.300837572287249,0.890745426121009
"X196900140",-0.0198481603248258,0.956599249686053,0.121581108736013,0.737937971233609,0.968926559604688,0.829729598525382
"X196900192",0.73023424428015,0.0164799974439472,0.775378695356096,0.00840727627979755,0.0727712246682163,0.0991986029066784
"X196900227",-0.0261853787059315,0.942758743688983,0.0666666666666667,0.864753528804526,0.95737515831982,0.920331079629809
"X196900228",0.746251771261863,0.013177808639847,0.802435317657685,0.00521146176670641,0.0648648815628096,0.0796833018443491
"X196900287",-0.0148458556313284,0.967531847399625,0.115151515151515,0.758833070490857,0.972480859406784,0.842433324019511
"X196900354",-0.271536674922764,0.447905945988369,0.00613543119139849,0.986579249480659,0.588924283986247,0.99416832063051
"X196900158",0.31648151083223,0.372970381963297,0.492403490380852,0.148230415353717,0.521337617822161,0.332883161337205
"X196900182",0.506382313881212,0.13529842585169,0.669076777444373,0.0343690279218448,0.290558914533956,0.190882804633106
"X196900183",0.777565774539069,0.00810771277458814,0.938720972283969,5.72698665143589e-05,0.054936743455399,0.022507057540143
"X196900226",0.39319667536131,0.260978392179513,0.343917969714397,0.330526430920882,0.408623538352783,0.515499762440678
"X196900252",0.588949916242106,0.0732229774493893,0.612121212121212,0.0664691374895167,0.190310119644849,0.272108031597709
"X196900335",0.66798783494125,0.0347720056187681,0.516719712128055,0.12619736664662,0.113878318401466,0.314454594272015
"X196900338",-0.323488698454178,0.361884992715577,-0.236363636363636,0.513898326223936,0.513432498690331,0.660006673875839
"X196900146",0.705440983893338,0.0226626222963247,0.533782513651668,0.112025169291438,0.0881822827965903,0.313387355414331
"X196900186",0.173835572342378,0.631018998862223,0.321212121212121,0.367683999158498,0.744494567321857,0.557914330769458
"X196900196",0.780517099196591,0.00771554834300472,0.395138603392042,0.258418725231878,0.0537476686065589,0.441368214767804
"X196900202",0.662652617893388,0.0367926686420015,0.345454545454545,0.330549465992496,0.115676150210453,0.515499762440678
"X196900203",0.315779820099129,0.37408958836094,0.519003481569,0.124239368058506,0.521337617822161,0.314454594272015
"X196900225",0.683994915881905,0.0291632510512537,0.730554247733817,0.0164089210362846,0.09980746724312,0.146561499255906
"X196900341",-0.330689424005497,0.350667546132,-0.309090909090909,0.387054968154447,0.501135802290458,0.561976837210565
"X196900191",0.537918775011714,0.108747404124492,0.607681980379038,0.0623775078594592,0.251160106068901,0.266460441182255
"X196900211",0.899417149676182,0.00039597405636381,0.509240788886074,0.13274267581496,0.00751469281255071,0.314454594272015
"X196900229",-0.526536540766588,0.117915106208326,-0.544336728766419,0.103782165815215,0.261811507004926,0.313387355414331
"X196900255",0.372454854524991,0.289181927758841,0.345454545454545,0.330549465992496,0.443939443786034,0.515499762440678
"X196900263",0.770116795754426,0.00915992585927405,0.875383982899293,0.000905325828257939,0.0586349649526649,0.071158610101074
"X196900283",0.809923066560528,0.00450855979604108,0.877366660369984,0.000851188437288506,0.0376992340392371,0.071158610101074
"X196900161",0.68445025659379,0.0290134115555883,0.423344752206496,0.222818104283032,0.09980746724312,0.422654502137978
"X196900223",-0.170571204588927,0.637543179013021,-0.435615614589293,0.208257887001565,0.744494567321857,0.407190793988135
"X196900260",0.508972725968337,0.132981075599791,0.47416632407045,0.166191928081555,0.288737915528829,0.35886498756072
"X196900303",0.772082206707248,0.00887345822105645,0.717328541542476,0.019528343138303,0.0581211513479198,0.163290188369214
"X196900318",0.245670356821991,0.493872879734257,0.612121212121212,0.0664691374895167,0.625053001111151,0.272108031597709
"X196900347",0.288110389730515,0.419519330524786,0.0545454545454545,0.891638843953118,0.562699989406965,0.927021337760781
"X196900366",-0.830735076951469,0.00291200652872635,-0.595747432806463,0.0691558441520854,0.0272864634153217,0.275953525152862
"X196900401",0.744297875945613,0.0135533520686799,0.85106776115209,0.00179113003019505,0.0656940895156909,0.0796833018443491
"X196900149",-0.1141060265012,0.753617685447608,0.0671100076561338,0.853856238642188,0.804814539078559,0.920331079629809
"X196900163",-0.0298053268163033,0.934858736880053,0.216243358003098,0.548473517210847,0.952539959059771,0.695322878270526
"X196900292",-0.272524983789778,0.446189332386993,-0.0136557748399784,0.97013356245182,0.588924283986247,0.987923985076096
"X196900305",-0.738995790489358,0.0146100304449187,-0.672727272727273,0.0393814092829061,0.0685177383442249,0.209147214164623
"X196900339",-0.501391382388647,0.139832813906264,-0.454545454545455,0.190932019316111,0.296531419676292,0.38878903415146
"X196900349",0.800013795602372,0.00545459215031014,0.509240788886074,0.13274267581496,0.0430239188417043,0.314454594272015
"X196900458",-0.669912558417801,0.0340618914640698,-0.581534021517072,0.0778339502130639,0.112490112146046,0.284004685976699
"X196900190",0.339141984849245,0.337727862692908,0.493049331302298,0.147617019207234,0.486344185366294,0.332883161337205
"X196900193",0.358071842183066,0.309656648245773,0.305723368211276,0.390310467153048,0.460966146820413,0.561976837210565
"X196900205",0.60057332275946,0.0663597637113059,0.805690715558724,0.00489692091216166,0.17862593930509,0.0796833018443491
"X196900265",0.639732776223943,0.0463756845672877,0.627112938320179,0.0523027863969687,0.139127053701863,0.244702322071532
"X196900277",0.733755281255335,0.015709628613187,0.793939393939394,0.0098441361663116,0.0715696132425935,0.0991986029066784
"X196900302",0.550770596861365,0.0989508750880684,0.721212121212121,0.0241945875284697,0.249280089164172,0.166815314012081
"X196900323",-0.791948315502478,0.00632277071288774,-0.559886768439114,0.092353750747282,0.0477855555800939,0.311730028292771
"X196900340",0.444597436978739,0.197958481153629,0.466666666666667,0.178219329270541,0.33389563559389,0.379949395274627
"X196900348",0.302093562021083,0.396247520286725,0.357575757575757,0.312800267381167,0.542596778650463,0.508756403989106
"X196900370",-0.713995859502396,0.0203746911829557,-0.446090646846313,0.196275599147384,0.0836449623211267,0.391554875456457
"X196900475",-0.400610358627019,0.251281335723262,-0.357575757575757,0.312800267381167,0.401764515920884,0.508756403989106
"X196900496",-0.664829965018354,0.0359586884807464,-0.521511651268871,0.122110830318921,0.115550899402067,0.313387355414331
"X196900175",0.763437819114785,0.0101822089256954,0.831656181309361,0.0028524931568338,0.0593425776594661,0.0796833018443491
"X196900233",0.162602113067581,0.653563933145141,0.174077655955698,0.630536075556976,0.744494567321857,0.741382609000277
"X196900266",0.273794088725577,0.443989390345304,0.484881137876427,0.155488954782085,0.588924283986247,0.341805948347337
"X196900271",0.255199837358104,0.47670878986437,0.624242424242424,0.0602489828244726,0.608268033820446,0.263087225000197
"X196900291",0.610086585962051,0.0610668676169621,0.442424242424242,0.204200583289326,0.170207652294086,0.401254146163526
"X196900293",0.426361547123777,0.219186150916654,0.455929157760048,0.185396764453716,0.359048655224997,0.385894867573841
"X196900307",0.93936571918397,5.49408409509808e-05,0.533782513651668,0.112025169291438,0.00208106410747695,0.313387355414331
"X196900314",-0.81097577348687,0.00441549350276266,-0.58719831811907,0.0742956141355004,0.0376992340392371,0.278077870050016
"X196900316",-0.962192390401162,8.53991756642395e-06,-0.768036754286865,0.00947014489919614,0.00111872920120154,0.0991986029066784
"X196900320",0.793471576702914,0.00615177239953866,0.85282493560439,0.00171189499810632,0.0474048343729156,0.0796833018443491
"X196900350",0.905091699418622,0.000316121841683954,0.877366660369984,0.000851188437288506,0.006901993543433,0.071158610101074
"X196900398",0.853717587601454,0.0016726308792428,0.693012319795274,0.0262928781788051,0.0182595537650672,0.175137307191024
"X196900400",0.699263433455784,0.0244207251364404,0.818181818181818,0.0068111327718268,0.0922260740906108,0.0863475864299333
"X196900406",-0.0500811800203918,0.890721776978881,0.0840460638985807,0.817442414538981,0.913978220242037,0.89486035909142
"X196900465",-0.617215221766464,0.0572882279457449,-0.446090646846313,0.196275599147384,0.16081623987627,0.391554875456457
"X196900469",0.432237875097519,0.212209486376791,0.549531956259951,0.0998696630009896,0.351891679941261,0.313387355414331
"X196900507",-0.860776916531674,0.00138470554098824,-0.705574587010826,0.022625592848361,0.0158638248471711,0.166815314012081
"X196900137",0.602874348244188,0.0650530317948989,0.640043101996884,0.0462358799692174,0.17669979292307,0.230008871239271
"X196900144",0.89726476975853,0.000429817040765114,0.644220275096841,0.0443813663113081,0.00751469281255071,0.223957538913376
"X196900187",-0.78989508361168,0.00655857390952985,-0.510741465229836,0.131412925043708,0.0486324442725516,0.314454594272015
"X196900194",0.487070308550461,0.153354859136001,0.580370430699081,0.0785740587786048,0.298435749092004,0.284004685976699
"X196900319",-0.920793283294535,0.000156364241347494,-0.797863424356258,0.00567718181079332,0.00384069667809782,0.0796833018443491
"X196900355",0.206835477543784,0.566411941099863,0.406060606060606,0.247370787611931,0.693457610131608,0.426389120752145
"X196900361",0.511011352353316,0.131174653114615,0.595747432806463,0.0691558441520855,0.286397992633577,0.275953525152862
"X196900454",-0.688882117905476,0.0275823648959223,-0.559250063801115,0.0928051229268556,0.09980746724312,0.311730028292771
"X196900167",-0.0559483657138621,0.877995329373875,-0.0518999296107682,0.886774217724859,0.905648725574627,0.926867732887951
"X196900213",0.76498282886071,0.0099389282600091,0.582865963182856,0.0769923166663923,0.0593425776594661,0.284004685976699
"X196900222",0.688131456770715,0.0278212815872702,0.627112938320179,0.0523027863969687,0.09980746724312,0.244702322071532
"X196900262",0.879348193249822,0.000799479670198285,0.717845449393623,0.0193992890736001,0.0106272759767433,0.163290188369214
"X196900296",0.773798092740099,0.00862858365049894,0.669076777444373,0.0343690279218448,0.057475141943154,0.190882804633106
"X196900308",-0.672612275105182,0.033082510739407,-0.381818181818182,0.278965216116317,0.111123305304162,0.466524808228565
"X196900312",-0.743508541563478,0.0137071637157421,-0.588199202255373,0.0736814558838431,0.0656940895156909,0.278077870050016
"X196900383",-0.645021879733614,0.0440312752219295,-0.44788647697209,0.194262751286481,0.134141791955181,0.391514160285061
"X196900499",-0.466619595371335,0.173987884035991,-0.462008213196849,0.178856585561847,0.300837572287249,0.379949395274627
"X196900569",-0.35852780121461,0.308996171875537,-0.255320328345627,0.476493453351336,0.460966146820413,0.632641645834713
"X196900147",0.162602113067581,0.653563933145141,0.174077655955698,0.630536075556976,0.744494567321857,0.741382609000277
"X196900174",0.162602113067581,0.653563933145141,0.174077655955698,0.630536075556976,0.744494567321857,0.741382609000277
"X196900177",0.162602113067581,0.653563933145141,0.174077655955698,0.630536075556976,0.744494567321857,0.741382609000277
"X196900297",-0.155622232359752,0.667701731917897,-0.303952771840032,0.393201115143298,0.746871365794476,0.561976837210565
"X196900301",-0.464645190539638,0.176062701338594,-0.29012942659283,0.416120253507059,0.300837572287249,0.561976837210565
"X196900331",0.686263721424009,0.0284218650423754,0.509240788886074,0.13274267581496,0.09980746724312,0.314454594272015
"X196900390",-0.464645190539638,0.176062701338594,-0.29012942659283,0.416120253507059,0.300837572287249,0.561976837210565
"X196900429",0.0990934030382694,0.785349211765771,-0.00606060606060606,1,0.829683441462226,1
"X196900464",-0.697956151737685,0.0248044205002869,-0.612799291491108,0.0596101958644756,0.0922260740906108,0.263087225000197
"X196900492",-0.342630011362799,0.33246060809415,-0.35557950110938,0.313280024848254,0.482129221332107,0.508756403989106
"X196900529",-0.47534938683007,0.164989118913148,-0.475232103605349,0.165108126044703,0.300837572287249,0.358494439423028
"X196900253",0.881637218153758,0.000742642927807004,0.460157339354887,0.180833170911726,0.0105387969797217,0.382082990152195
"X196900268",0.860043384457552,0.00141280882862847,0.791470623690405,0.0063770841870566,0.0158638248471711,0.0835398028504414
"X196900275",-0.535619921415214,0.110561573409465,-0.522232967867094,0.121502918817113,0.251160106068901,0.313387355414331
"X196900310",0.666240744968575,0.0354252057010502,0.411073889823699,0.23794186616753,0.115058725954651,0.422654502137978
"X196900336",0.631291566208309,0.0502875633735819,0.509240788886074,0.13274267581496,0.145354485048801,0.314454594272015
"X196900352",-0.631263783345891,0.050300788719178,-0.544015697548228,0.104027059095355,0.145354485048801,0.313387355414331
"X196900450",0.0959524838477246,0.792025777321743,0.0204836622599676,0.955210784637922,0.834493647419423,0.980032345704245
"X196900500",0.212350852090174,0.555868307960147,0.1357667186054,0.708424318328075,0.682675765713556,0.809333596229457
"X196900605",-0.316879268481189,0.372336688325693,0.0181818181818182,0.972841176143636,0.521337617822161,0.987923985076096
"X196900606",-0.663946636604353,0.0362954681205845,-0.721212121212121,0.0241945875284697,0.115550899402067,0.166815314012081
"X196900142",0.476718550599306,0.163603633493504,0.394369992139494,0.259430172039091,0.300837572287249,0.441368214767804
"X196900231",0.867640874774308,0.00114101504700954,0.631949412714044,0.0499750874113387,0.0140130910460859,0.242471720403162
"X196900264",0.895511528639137,0.000458912538171036,0.693303724628029,0.0262034896771421,0.00751469281255071,0.175137307191024
"X196900276",0.500835948249634,0.140343114655955,0.603990068905204,0.0644255401655349,0.296531419676292,0.272108031597709
"X196900294",0.39880366541767,0.25362574590527,0.522232967867094,0.121502918817113,0.401764515920884,0.313387355414331
"X196900357",0.527589929796727,0.117047111184155,0.468979049610542,0.171527595563764,0.261360878950983,0.368362541292674
"X196900358",-0.100853315003237,0.781613689971124,0.0193952455150571,0.957588856871323,0.827962749753778,0.980032345704245
"X196900363",0.592712995771499,0.0709527289931998,0.536601792583246,0.10978440889895,0.187903019914163,0.313387355414331
"X196900418",0.838555946251768,0.00243416192554436,0.819150073319746,0.00373895098080803,0.0245288624804855,0.0796833018443491
"X196900425",-0.799825980701282,0.00547378102311759,-0.737411841358832,0.0149365307514968,0.0430239188417043,0.136512943845075
"X196900431",-0.0677651248687928,0.852442633145829,0.122836554928695,0.735312902555409,0.883931279225094,0.829729598525382
"X196900449",-0.191087457790516,0.596927863309497,-0.343917969714397,0.330526430920882,0.724051389755037,0.515499762440678
"X196900481",0.829615475686229,0.00298554179862298,0.781631749350903,0.00757099632304588,0.0272864634153217,0.0929812985924073
"X196900488",-0.527819266239618,0.116858667993922,-0.484683388627633,0.15568260751698,0.261360878950983,0.341805948347337
"X196900521",-0.683587241094087,0.0292978522630526,-0.57539228361336,0.0817917656825418,0.09980746724312,0.287001463511062
"X196900591",-0.0734824962134043,0.840122191232445,-0.0545454545454545,0.891638843953117,0.878106439240295,0.927021337760781
"X196900596",-0.863976379291954,0.00126684998574653,-0.503030303030303,0.14336680194002,0.015087031648436,0.329492123756887
"X196900597",0.921043304975536,0.000154446979412061,0.803741486073202,0.00508357798839518,0.00384069667809782,0.0796833018443491
"X196900207",0.162602113067581,0.653563933145141,0.174077655955698,0.630536075556976,0.744494567321857,0.741382609000277
"X196900251",-0.314597972159167,0.375978390002765,-0.121099835758459,0.738944935073495,0.52211840025119,0.829729598525382
"X196900284",0.93268481206413,8.27769575955543e-05,0.803741486073202,0.00508357798839518,0.00250241110269637,0.0796833018443491
"X196900327",0.226490184042545,0.529195382516606,0.290928682725856,0.41477828848822,0.656243553283899,0.561976837210565
"X196900329",0.78706348062704,0.00689392809029255,0.644064561465144,0.0444495878759372,0.0501724766571291,0.223957538913376
"X196900359",0.621812364246278,0.0549352801811661,0.668761999862435,0.0344851886232837,0.155320612310779,0.190882804633106
"X196900391",0.941280193827083,4.84374005093754e-05,0.570595100800059,0.084971725988948,0.00208106410747695,0.295521135519085
"X196900404",-0.126265103332859,0.728156624448339,-0.125061079896144,0.730667612045381,0.79364197438168,0.829729598525382
"X196900513",-0.533122917560671,0.112553522487001,-0.368509664786084,0.294723837125524,0.254215714582709,0.490790118603098
"X196900524",-0.439865617184215,0.203346672602221,-0.477952119399243,0.162361357324101,0.338623908189292,0.354488963490954
"X196900534",0.361607896912957,0.30455400052134,0.350463373315365,0.32078711710954,0.460345085403411,0.510402174186434
"X196900543",-0.632447516561205,0.0497393505261427,-0.381439828462789,0.276771473130731,0.145354485048801,0.466524808228565
"X196900559",0.565748060790621,0.0882643525762122,0.386532165058105,0.269868582576024,0.223792842338396,0.457148073070593
"X196900582",0.0351994829061311,0.923096462117268,0.364743326208039,0.300066969464665,0.944731535448142,0.49757940506166
"X196900589",0.88258219075012,0.000720061991802256,0.509240788886074,0.13274267581496,0.0105387969797217,0.314454594272015
"X196900618",0.332258337214914,0.348247074913453,0.343917969714397,0.330526430920882,0.499493067302873,0.515499762440678
"X196900170",0.394382806240549,0.259413291564612,0.493049331302298,0.147617019207234,0.407797694339569,0.332883161337205
"X196900238",0.162602113067581,0.653563933145141,0.174077655955698,0.630536075556976,0.744494567321857,0.741382609000277
"X196900248",0.321998048494629,0.364229276388918,0.449799389959991,0.192131997137238,0.514899660506636,0.389215849870797
"X196900315",0.215003561368298,0.550824607892288,0.0259499648053841,0.943272662504124,0.678602103140029,0.972942289744325
"X196900317",0.265998261723867,0.457580780847369,0.147049800563843,0.685194489856953,0.588924283986247,0.789681626140125
"X196900351",-0.42564602251357,0.220044495657685,-0.5052636690792,0.136306772174537,0.359048655224997,0.320769829129301
"X196900353",-0.756662430955047,0.0112987422819174,-0.562462119936655,0.0905423460461193,0.0632772226465356,0.30941862605326
"X196900365",-0.588322627301876,0.0736059495827407,-0.514510058697026,0.128109910932319,0.190310119644849,0.314454594272015
"X196900367",-0.847039208198649,0.00198276454867943,-0.682788741998919,0.0295627178838956,0.0210601748008383,0.178740740436477
"X196900382",-0.289962064573085,0.416401515725953,-0.121099835758459,0.738944935073495,0.560430807124313,0.829729598525382
"X196900387",-0.623324548793532,0.0541755189230279,-0.652973265673588,0.0406583713434465,0.154282456063406,0.210246578131243
"X196900392",-0.270180072502591,0.450267118095077,-0.116573192636571,0.748433303989289,0.588924283986247,0.837989425834161
"X196900409",-0.93845580961843,5.82486136952835e-05,-0.797863424356258,0.00567718181079332,0.00208106410747695,0.0796833018443491
"X196900424",0.293422367404971,0.410604500401375,0.276799624590764,0.438799196644896,0.555449858991923,0.58655810980083
"X196900445",-0.832536247857717,0.00279645393993512,-0.627112938320179,0.0523027863969687,0.0272864634153217,0.244702322071532
"X196900473",0.151274987456637,0.676555232119169,-0.058025885318566,0.873494892371295,0.746871365794476,0.920331079629809
"X196900476",0.151274987456637,0.676555232119169,-0.058025885318566,0.873494892371295,0.746871365794476,0.920331079629809
"X196900515",-0.660165587879588,0.0377611409316015,-0.618903403939901,0.0564165838425479,0.117778796715233,0.25195133466047
