Sf1_RT;Sf1;Sf10_RT;Sf10;Sf11_RT;Sf11;Sf12_RT;Sf12;Sf13_RT;Sf13;Sf14_RT;Sf14;Sf15_RT;Sf15;Sf2_RT;Sf2;Sf3_RT;Sf3;Sf4_RT;Sf4;Sf5_RT;Sf5;Sf6_RT;Sf6;Sf7_RT;Sf7
0.580;19042528;0.580;16949592;0.580;17992430;0.580;15209484;0.580;15367936;0.580;14774568;0.580;20175000;0.580;18027754;0.581;17052258;0.580;17398398;0.580;15502905;0.580;16331641;0.581;21380276
0.591;19530604;0.591;19135874;0.591;19045652;0.591;19154236;0.591;16749345;0.591;16478555;0.591;21377810;0.591;19050908;0.591;18084988;0.591;19356994;0.591;16914292;0.591;17087878;0.591;22894276
0.601;19755072;0.601;20015494;0.601;19946996;0.601;24770368;0.601;17256408;0.601;17035620;0.601;19965500;0.601;19456632;0.602;16110818;0.601;21043448;0.601;15601821;0.601;16858328;0.602;22993036
0.612;19753388;0.612;19061252;0.612;20480794;0.612;25282992;0.612;18955394;0.612;15654131;0.612;20212138;0.612;18449828;0.612;13728112;0.612;20712160;0.612;13654194;0.612;17197748;0.612;22229654
0.622;18652052;0.622;16686804;0.622;19190216;0.622;24552304;0.622;18863404;0.622;13414633;0.622;20898480;0.622;16729760;0.623;13700188;0.622;19007674;0.622;13046894;0.622;16341032;0.623;21490338
0.633;17478102;0.633;13987759;0.633;16902040;0.633;23503040;0.633;17689628;0.633;11429909;0.633;20506012;0.633;14503552;0.633;15212858;0.633;16913572;0.633;13417139;0.633;15047551;0.633;21089564
0.643;16209554;0.643;12253626;0.643;14869640;0.643;21898984;0.643;16031023;0.643;10075393;0.643;19684300;0.643;12351447;0.644;17108064;0.643;15210936;0.643;13585729;0.643;13304666;0.644;20758748
0.654;15294608;0.654;10594084;0.654;13406592;0.654;20053370;0.654;14745473;0.654;8739206;0.654;18692730;0.654;11106797;0.654;18259188;0.654;13757491;0.654;13508261;0.654;12030882;0.654;20289244
0.664;14826737;0.664;9114573;0.664;12279522;0.664;17923684;0.664;13861591;0.664;7775874;0.664;17964608;0.664;10121725;0.665;18997848;0.664;12265622;0.664;13172415;0.664;11202639;0.664;19977368
0.675;14450509;0.675;8198988;0.675;11429687;0.675;16231184;0.675;13093439;0.675;7125176;0.675;17210654;0.675;9478341;0.675;18609950;0.675;11038734;0.675;12296897;0.675;10537808;0.675;19646684
0.685;13669940;0.685;7346469;0.685;10514492;0.685;14928057;0.685;12379941;0.685;6804118;0.685;16281285;0.685;8759033;0.686;17717386;0.685;10186335;0.685;11664791;0.685;9634419;0.685;18816864
0.696;12263028;0.696;6927318;0.696;9363988;0.696;13576368;0.696;11536439;0.696;7056666;0.696;15270977;0.696;8349162;0.696;16846604;0.696;9505149;0.696;11143360;0.696;8922308;0.696;17786036
0.706;10969976;0.706;6346152;0.706;8276781;0.706;12561336;0.706;10637690;0.706;8116845;0.706;14324712;0.706;8005953;0.707;16097158;0.706;8681129;0.706;10839754;0.706;8092460;0.706;16448536
0.716;10023888;0.717;6141667;0.716;7607855;0.716;11824009;0.717;9620791;0.717;9882494;0.716;13283938;0.716;7790519;0.717;15165531;0.716;8294142;0.716;10216150;0.716;7317210;0.717;15372901
0.727;9531097;0.727;5914779;0.727;7041234;0.727;11297294;0.727;9211233;0.727;12288570;0.727;12460371;0.727;7579402;0.728;13840978;0.727;7862873;0.727;9400733;0.727;6921333;0.727;14405452
0.737;9195684;0.738;5767301;0.737;6640215;0.737;11246769;0.737;8655692;0.737;14553948;0.737;11862589;0.737;7318132;0.738;12486443;0.738;7564598;0.737;8686864;0.737;6770915;0.738;13607338
0.748;9021414;0.748;5640046;0.748;6546442;0.748;11939849;0.748;8495760;0.748;16037232;0.748;11251114;0.748;7266530;0.748;11313718;0.748;7273851;0.748;7779231;0.748;6488576;0.748;13107292
0.758;8469547;0.759;5507965;0.758;6427878;0.758;13234514;0.758;8286567;0.758;16875494;0.758;10865659;0.758;7056748;0.759;10102236;0.759;7041661;0.758;7161331;0.758;6166885;0.759;12585242
0.769;8361380;0.769;5435004;0.769;6082559;0.769;14689665;0.769;8036515;0.769;17603964;0.769;10415683;0.769;6703779;0.769;9438504;0.769;6703713;0.769;6535203;0.769;6083547;0.769;12070642
0.791;7822031;0.791;5294149;0.791;5857107;0.791;14129536;0.791;7908309;0.791;17874144;0.791;10321492;0.791;6375162;0.791;8153059;0.791;6318909;0.791;6205939;0.791;5832628;0.791;11346969
0.801;7444575;0.801;5306897;0.801;5808296;0.801;12709157;0.801;7836443;0.801;18111522;0.801;10062965;0.801;6267577;0.802;7979364;0.801;6282235;0.801;5942897;0.801;5798343;0.802;10645336
0.812;7473991;0.812;5447935;0.812;5860379;0.812;11256512;0.812;7970965;0.812;18004408;0.812;10082084;0.812;6210034;0.812;7655009;0.812;6346032;0.812;5768487;0.812;5766343;0.812;10022733
0.822;7349363;0.822;5465458;0.822;5885611;0.822;10608691;0.822;8150888;0.822;17696448;0.822;9899323;0.822;6206227;0.823;7742745;0.822;6255296;0.822;5433580;0.822;5708658;0.823;9548556
0.833;7263865;0.833;5605291;0.833;5913193;0.833;10438519;0.833;8148412;0.833;17238716;0.833;9780739;0.833;6074932;0.833;7661361;0.833;6286452;0.833;5290933;0.833;5690260;0.833;9361322
0.843;7116737;0.843;5800602;0.843;6048275;0.843;10473752;0.843;8481054;0.843;16828408;0.843;9793259;0.843;6212157;0.844;7758362;0.843;6401115;0.843;5357055;0.843;5761774;0.844;9313340
0.854;7062837;0.854;6002911;0.854;6075426;0.854;10270121;0.854;8837265;0.854;16599701;0.854;9803233;0.854;6287396;0.854;7709766;0.854;6357088;0.854;5311393;0.854;5914696;0.854;9067935
0.864;7085539;0.864;6037659;0.864;6108251;0.864;9676334;0.864;9576716;0.864;16279411;0.864;9894148;0.864;6241433;0.865;7234913;0.864;6506614;0.864;5397407;0.864;5959052;0.864;8853522
0.875;7120373;0.875;6147178;0.875;6329398;0.875;9024088;0.875;10044827;0.875;15879608;0.875;10244939;0.875;6172640;0.875;7150081;0.875;6470699;0.875;5408188;0.875;5970121;0.875;8519281
0.885;6933856;0.885;6266668;0.885;6409040;0.885;8540374;0.885;10906052;0.885;15854774;0.885;10907886;0.885;6240688;0.886;7041187;0.885;6373484;0.885;5452091;0.885;5998136;0.885;8217947
0.896;6825241;0.896;6286244;0.896;6482907;0.896;8221583;0.896;11382576;0.896;15858174;0.896;11836127;0.896;6321640;0.896;6758974;0.896;6274640;0.896;5572754;0.896;6055162;0.896;7848451
0.906;6818706;0.906;6205654;0.906;6440877;0.906;7970107;0.906;11949118;0.906;15851036;0.906;12778447;0.906;6472016;0.907;6489009;0.906;6336611;0.906;5506997;0.906;6020089;0.906;7776090
0.916;6612407;0.917;6092822;0.916;6143320;0.916;7832662;0.916;12194676;0.917;15644282;0.916;13762615;0.917;6575649;0.917;6487159;0.917;6171191;0.916;5367704;0.916;5864998;0.917;7603678
0.927;6652937;0.927;5799800;0.927;6001149;0.927;7965353;0.927;12192484;0.927;15598326;0.927;14526525;0.927;6863170;0.927;6400198;0.927;5937331;0.927;5351426;0.927;5728389;0.927;7608586
0.937;6673964;0.938;5736716;0.937;5891505;0.937;8317061;0.937;12208915;0.937;15325399;0.937;15197152;0.938;7142404;0.938;6393932;0.938;6045633;0.937;5485128;0.937;5663196;0.938;7787725
0.948;6797880;0.948;5642351;0.948;5936987;0.948;8946859;0.948;12379657;0.948;14908147;0.948;15694253;0.948;7194173;0.948;6406046;0.948;5987581;0.948;5508459;0.948;5657343;0.948;7831129
0.958;6817157;0.959;5555081;0.958;6213477;0.958;9874144;0.958;12336051;0.958;13895717;0.958;15715585;0.959;6946248;0.959;6511534;0.959;5960670;0.958;5432848;0.958;5715376;0.959;7817428
0.969;6782343;0.969;5606851;0.969;6109781;0.969;10854790;0.969;12007252;0.969;12639703;0.969;15692070;0.969;6526959;0.969;6495192;0.969;6151716;0.969;5485584;0.969;5886080;0.969;7860288
0.979;6882959;0.979;5640205;0.979;6104666;0.979;11772313;0.979;11787995;0.979;11204005;0.979;15724555;0.980;6515427;0.980;6468243;0.979;6382557;0.979;5439036;0.979;5749278;0.980;7762616
0.990;7094583;0.990;5931125;0.990;6395390;0.990;12562111;0.990;11403943;0.990;10262881;0.990;15515303;0.990;6529228;0.990;6703667;0.990;6827996;0.990;5557368;0.990;5769404;0.990;7829269
1.000;7456976;1.000;6371310;1.000;6429538;1.000;13208092;1.000;10843083;1.000;9831151;1.000;14942828;1.001;6684394;1.001;6898065;1.000;7666632;1.000;5684556;1.000;5703367;1.001;7850519
1.011;7915827;1.011;7030029;1.011;6671990;1.011;13274003;1.011;10156457;1.011;9598378;1.011;14254520;1.011;6877771;1.011;7136778;1.011;8591992;1.011;5764088;1.011;5941604;1.011;8045571
1.021;8158598;1.021;7639822;1.021;7200577;1.021;13221599;1.021;9687680;1.021;9597347;1.021;13622378;1.021;7132464;1.022;7700444;1.021;9566079;1.021;5983768;1.021;6175613;1.022;8561747
1.043;9270228;1.043;7703304;1.043;8116772;1.043;12169042;1.043;9823747;1.043;9551420;1.043;13062079;1.043;7328891;1.044;9447720;1.043;9771013;1.043;6587398;1.043;7264682;1.043;10144787
1.054;9604098;1.054;7396828;1.054;8369734;1.054;11473925;1.054;9958387;1.054;9610954;1.054;12816805;1.054;7180399;1.054;9919372;1.054;9565282;1.054;6732140;1.054;7584890;1.054;10688801
1.064;9632804;1.064;7135739;1.064;8533302;1.064;10885129;1.064;9718453;1.064;9504136;1.064;12655140;1.064;7110187;1.065;9914726;1.064;9183497;1.064;6786414;1.064;7286274;1.064;10557643
1.075;9284058;1.075;6895501;1.075;8491371;1.075;10400253;1.075;9180606;1.075;9533358;1.075;12202586;1.075;6978345;1.075;9770920;1.075;8858784;1.075;6547688;1.075;7092264;1.075;10252591
1.085;8825362;1.085;6521091;1.085;8018183;1.085;9836039;1.085;8655361;1.085;9661231;1.085;11662219;1.085;6665323;1.086;9441336;1.085;8373650;1.085;6198018;1.085;6652873;1.085;9802556
1.095;8635640;1.096;6290552;1.095;7380553;1.095;9267702;1.096;8151153;1.096;9882683;1.095;10817487;1.096;6449826;1.096;8780970;1.096;7936594;1.095;5489295;1.095;6304512;1.096;9171110
1.106;8191511;1.106;6217370;1.106;6869189;1.106;8661737;1.106;7867476;1.106;10070358;1.106;10463543;1.106;6282038;1.107;7898438;1.106;7639638;1.106;4946132;1.106;6001439;1.106;8692387
1.116;7503403;1.117;6289231;1.116;6303692;1.116;8308003;1.116;7624283;1.117;10134940;1.116;10113411;1.117;6161723;1.117;7258468;1.117;7381336;1.116;4686138;1.116;5765117;1.117;8186517
1.127;6615510;1.127;6280753;1.127;6048623;1.127;8063208;1.127;7427910;1.127;10220729;1.127;9984423;1.127;5932945;1.127;6746988;1.127;7248622;1.127;4579581;1.127;5460051;1.127;7735549
1.137;6092602;1.138;6441445;1.137;5983069;1.137;8132370;1.137;7340415;1.138;10436519;1.137;9856474;1.138;5753467;1.138;6627428;1.138;7222198;1.137;4501361;1.137;5150836;1.138;7481840
1.148;5828892;1.148;6396392;1.148;5921447;1.148;7950092;1.148;7091178;1.148;10859527;1.148;9880530;1.148;5346822;1.148;6640301;1.148;7085800;1.148;4472108;1.148;4886219;1.148;7188871
1.158;5711449;1.158;6350123;1.158;6079978;1.158;7931290;1.158;7100223;1.158;11367439;1.158;9809265;1.159;5111361;1.159;6660983;1.158;6999005;1.158;4467145;1.158;4830374;1.159;6930431
1.169;5724103;1.169;6194468;1.169;6131769;1.169;7932381;1.169;7286752;1.169;12328322;1.169;10143594;1.169;4960014;1.169;6631866;1.169;6752544;1.169;4290726;1.169;4773620;1.169;6900217
1.179;5861874;1.179;6142839;1.179;6408677;1.179;8216521;1.179;7795262;1.179;13399833;1.179;10653490;1.180;4803653;1.180;6631016;1.179;6670256;1.179;4139305;1.179;4748329;1.180;7005626
1.190;6005354;1.190;5920763;1.190;6367075;1.190;8724676;1.190;8520697;1.190;14259362;1.190;11787407;1.190;4804142;1.190;6628035;1.190;6498649;1.190;4159425;1.190;4931181;1.190;7346610
1.200;6237063;1.200;5919033;1.200;6663663;1.200;9294240;1.200;9459267;1.200;14507042;1.200;12793834;1.201;4774902;1.201;6580005;1.200;6417647;1.200;4139724;1.200;4942375;1.201;7868845
1.211;6371710;1.211;5749046;1.211;6730776;1.211;9921957;1.211;10091308;1.211;13614604;1.211;13418760;1.211;4845338;1.211;6503890;1.211;6287494;1.211;4281812;1.211;5008390;1.211;8448581
1.221;6509090;1.221;5485374;1.221;6805962;1.221;9806834;1.221;10094126;1.221;12155518;1.221;13460083;1.221;5075793;1.222;6619282;1.221;6277243;1.221;4301881;1.221;5007428;1.222;8914549
1.232;6805805;1.232;5277416;1.232;6821800;1.232;9088048;1.232;9463748;1.232;9935401;1.232;12865942;1.232;5576604;1.232;6611548;1.232;6177796;1.232;4401918;1.232;5066700;1.232;9325645
1.242;7034594;1.242;5385359;1.242;6714211;1.242;8364360;1.242;8423706;1.242;8114612;1.242;11967996;1.242;6302314;1.243;6438148;1.242;6171904;1.242;4428272;1.242;4939016;1.243;9687440
1.253;7120774;1.253;5765781;1.253;6371721;1.253;7633397;1.253;7539183;1.253;7273882;1.253;11541096;1.253;6986298;1.253;6223890;1.253;6402378;1.253;4433853;1.253;4776892;1.253;10084980
